Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NURIN AINA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ AHMAD FAUZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' TAJUL URUS HJ. MAT ZAIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
36,014/26/12,"SEKOLAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",2.0,624,172,223,221,616,8,0,SUNGAI LAYAR ,UNDI BIASA
36,014/26/12,"SEKOLAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",3.0,594,195,232,165,592,2,0,SUNGAI LAYAR ,UNDI BIASA
36,014/26/12,"SEKOLAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",4.0,542,188,233,117,538,4,0,SUNGAI LAYAR ,UNDI BIASA
37,014/26/13,"SEKOLAH KEBANGSAAN SEMELING, SEMELING",1.0,291,101,58,113,272,19,0,SEMELING KANAN ,UNDI BIASA
37,014/26/13,"SEKOLAH KEBANGSAAN SEMELING, SEMELING",2.0,560,175,178,199,552,8,0,SEMELING KANAN ,UNDI BIASA
37,014/26/13,"SEKOLAH KEBANGSAAN SEMELING, SEMELING",3.0,527,129,240,153,522,4,1,SEMELING KANAN ,UNDI BIASA
38,014/26/14,"SEKOLAH JENIS KEBANGSAAN (CINA) CHING CHONG, SEMELING",1.0,276,132,43,85,260,16,0,SEMELING KIRI ,UNDI BIASA
38,014/26/14,"SEKOLAH JENIS KEBANGSAAN (CINA) CHING CHONG, SEMELING",2.0,454,245,117,84,446,8,0,SEMELING KIRI ,UNDI BIASA
38,014/26/14,"SEKOLAH JENIS KEBANGSAAN (CINA) CHING CHONG, SEMELING",3.0,434,217,134,81,432,2,0,SEMELING KIRI ,UNDI BIASA
38,014/26/14,"SEKOLAH JENIS KEBANGSAAN (CINA) CHING CHONG, SEMELING",4.0,419,222,143,53,418,1,0,SEMELING KIRI ,UNDI BIASA
39,014/26/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) BEDONG, JALAN SEMELING",1.0,257,145,13,86,244,13,0,KAMPUNG BEDONG ,UNDI BIASA
39,014/26/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) BEDONG, JALAN SEMELING",2.0,565,320,64,168,552,13,0,KAMPUNG BEDONG ,UNDI BIASA
39,014/26/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) BEDONG, JALAN SEMELING",3.0,555,283,131,135,549,6,0,KAMPUNG BEDONG ,UNDI BIASA
39,014/26/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) BEDONG, JALAN SEMELING",4.0,515,325,84,102,511,4,0,KAMPUNG BEDONG ,UNDI BIASA
39,014/26/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) BEDONG, JALAN SEMELING",5.0,473,238,136,97,471,2,0,KAMPUNG BEDONG ,UNDI BIASA
40,014/26/16,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",1.0,307,142,79,85,306,0,1,TAMAN ORKID ,UNDI BIASA
40,014/26/16,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",2.0,432,228,136,67,431,1,0,TAMAN ORKID ,UNDI BIASA
40,014/26/16,"SEKOLAH MENENGAH KEBANGSAAN SUNGAI LAYAR, SUNGAI PETANI",3.0,419,224,141,53,418,1,0,TAMAN ORKID ,UNDI BIASA
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN AL-JAFFRI, SUNGAI LAYAR",1.0,292,90,62,136,288,4,0,TAMAN SRI TANJONG ,UNDI BIASA
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN AL-JAFFRI, SUNGAI LAYAR",2.0,619,231,159,221,611,8,0,TAMAN SRI TANJONG ,UNDI BIASA
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN AL-JAFFRI, SUNGAI LAYAR",3.0,594,295,163,134,592,2,0,TAMAN SRI TANJONG ,UNDI BIASA
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN AL-JAFFRI, SUNGAI LAYAR",4.0,553,282,152,116,550,3,0,TAMAN SRI TANJONG ,UNDI BIASA
41,014/26/17,"SEKOLAH KEBANGSAAN TUAN SYED JAN AL-JAFFRI, SUNGAI LAYAR",5.0,549,247,184,118,549,0,0,TAMAN SRI TANJONG ,UNDI BIASA
42,014/26/18,"SEKOLAH MENENGAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",1.0,252,166,9,77,252,0,0,BUNGA RAYA ,UNDI BIASA
42,014/26/18,"SEKOLAH MENENGAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",2.0,478,353,35,89,477,1,0,BUNGA RAYA ,UNDI BIASA
42,014/26/18,"SEKOLAH MENENGAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",3.0,434,347,37,48,432,2,0,BUNGA RAYA ,UNDI BIASA
43,014/26/19,"SEKOLAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",1.0,275,164,36,73,273,2,0,SEKOLAH IBRAHIM ,UNDI BIASA
43,014/26/19,"SEKOLAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",2.0,501,347,79,70,496,5,0,SEKOLAH IBRAHIM ,UNDI BIASA
43,014/26/19,"SEKOLAH KEBANGSAAN IBRAHIM, SUNGAI PETANI",3.0,451,354,67,29,450,0,1,SEKOLAH IBRAHIM ,UNDI BIASA
