Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KARUPAIYA MUTUSAMI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMAD SOBRI BIN OSMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' DR. LEONG YONG KONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",1.0,292,101,48,138,287,5,0,TAMAN SENANGIN ,UNDI BIASA
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",2.0,550,199,176,172,547,3,0,TAMAN SENANGIN ,UNDI BIASA
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",3.0,546,248,177,119,544,2,0,TAMAN SENANGIN ,UNDI BIASA
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",4.0,500,205,175,120,500,0,0,TAMAN SENANGIN ,UNDI BIASA
22,017/33/19,"SEKOLAH MENENGAH KEBANGSAAN SULTAN BADLISHAH, KULIM",5.0,498,204,216,74,494,4,0,TAMAN SENANGIN ,UNDI BIASA
23,017/33/20,"SEKOLAH KEBANGSAAN TUNKU ABDUL MALIK, KULIM",1.0,274,165,31,74,270,4,0,KAMPUNG BARU ,UNDI BIASA
23,017/33/20,"SEKOLAH KEBANGSAAN TUNKU ABDUL MALIK, KULIM",2.0,332,186,106,39,331,1,0,KAMPUNG BARU ,UNDI BIASA
24,017/33/21,"SEKOLAH JENIS KEBANGSAAN (CINA) KELANG LAMA, KULIM",1.0,286,198,15,70,283,3,0,JALAN SERDANG ,UNDI BIASA
24,017/33/21,"SEKOLAH JENIS KEBANGSAAN (CINA) KELANG LAMA, KULIM",2.0,378,249,50,75,374,4,0,JALAN SERDANG ,UNDI BIASA
24,017/33/21,"SEKOLAH JENIS KEBANGSAAN (CINA) KELANG LAMA, KULIM",3.0,364,196,114,54,364,0,0,JALAN SERDANG ,UNDI BIASA
25,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",1.0,274,175,25,65,265,9,0,PEKAN PADANG SERAI ,UNDI BIASA
25,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",2.0,471,318,69,81,468,3,0,PEKAN PADANG SERAI ,UNDI BIASA
25,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",3.0,442,288,102,51,441,1,0,PEKAN PADANG SERAI ,UNDI BIASA
25,017/34/01,"SEKOLAH JENIS KEBANGSAAN (CINA) SHANG CHENG, PADANG SERAI",4.0,424,240,134,49,423,1,0,PEKAN PADANG SERAI ,UNDI BIASA
26,017/34/02,"SEKOLAH MENENGAH KEBANGSAAN PADANG SERAI,PADANG SERAI",1.0,290,215,21,50,286,4,0,JALAN BALING ,UNDI BIASA
26,017/34/02,"SEKOLAH MENENGAH KEBANGSAAN PADANG SERAI,PADANG SERAI",2.0,429,288,77,62,427,2,0,JALAN BALING ,UNDI BIASA
26,017/34/02,"SEKOLAH MENENGAH KEBANGSAAN PADANG SERAI,PADANG SERAI",3.0,387,225,112,49,386,1,0,JALAN BALING ,UNDI BIASA
27,017/34/03,"SEKOLAH MENENGAH KEBANGSAAN KULIM,KULIM",1.0,270,119,66,77,262,8,0,JALAN LUNAS ,UNDI BIASA
27,017/34/03,"SEKOLAH MENENGAH KEBANGSAAN KULIM,KULIM",2.0,437,143,204,89,436,1,0,JALAN LUNAS ,UNDI BIASA
28,017/34/04,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HENRIETTA, PADANG SERAI",1.0,292,156,40,85,281,10,1,HENRIETTA ,UNDI BIASA
