Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD TAJUDIN BIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU RASHID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MOHD ISA B. SHAFIE Jumlah undian USTAZ MOHD ISA B. SHAFIE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) oleh pemilih Jumlah undian,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
6,013/23/04,"SEKOLAH KEBANGSAAN DANGLAU, KAMPUNG KUBANG KESOM",1.0,308,132,97,68,297,11,0,KUBANG KESOM ,UNDI BIASA
6,013/23/04,"SEKOLAH KEBANGSAAN DANGLAU, KAMPUNG KUBANG KESOM",2.0,332,134,125,61,320,12,0,KUBANG KESOM ,UNDI BIASA
6,013/23/04,"SEKOLAH KEBANGSAAN DANGLAU, KAMPUNG KUBANG KESOM",3.0,298,99,104,90,293,5,0,KUBANG KESOM ,UNDI BIASA
7,013/23/05,"SEKOLAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",1.0,320,98,3,211,312,8,0,CHEPIR ,UNDI BIASA
7,013/23/05,"SEKOLAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",2.0,651,160,21,462,643,7,1,CHEPIR ,UNDI BIASA
7,013/23/05,"SEKOLAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",3.0,585,121,24,435,580,5,0,CHEPIR ,UNDI BIASA
8,013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",1.0,293,116,36,126,278,15,0,KAMPUNG CHONG ,UNDI BIASA
8,013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",2.0,590,252,104,223,579,11,0,KAMPUNG CHONG ,UNDI BIASA
8,013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",3.0,565,179,115,266,560,5,0,KAMPUNG CHONG ,UNDI BIASA
8,013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",4.0,539,158,123,256,537,2,0,KAMPUNG CHONG ,UNDI BIASA
8,013/23/06,"SEKOLAH KEBANGSAAN PAYA TERENDAM, SIK",5.0,502,184,107,208,499,3,0,KAMPUNG CHONG ,UNDI BIASA
9,013/23/07,"SEKOLAH MENENGAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",1.0,324,137,6,170,313,11,0,BENDANG MAN ,UNDI BIASA
9,013/23/07,"SEKOLAH MENENGAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",2.0,528,197,14,312,523,5,0,BENDANG MAN ,UNDI BIASA
9,013/23/07,"SEKOLAH MENENGAH KEBANGSAAN CHEPIR, KAMPUNG CHEPIR",3.0,503,177,25,300,502,1,0,BENDANG MAN ,UNDI BIASA
