Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR ROBERT LING,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIK GU HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN KOK SEONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NUR HIDAYAH FOO,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
7,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",3.0,605,419,3,98,81,601,4,0,KAMPUNG RAJA ,UNDI BIASA
7,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",4.0,568,410,1,70,82,563,5,0,KAMPUNG RAJA ,UNDI BIASA
7,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",5.0,534,384,0,55,92,531,3,0,KAMPUNG RAJA ,UNDI BIASA
7,015/29/06,"SEKOLAH MENENGAH KEBANGSAAN DATO' BIJAYA SETIA, SUNGAI PETANI",6.0,526,347,2,68,103,520,6,0,KAMPUNG RAJA ,UNDI BIASA
8,015/29/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SCARBORO BAHAGIAN 2, SUNGAI PETANI",1.0,272,115,0,120,31,266,6,0,SCARBORO ,UNDI BIASA
8,015/29/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SCARBORO BAHAGIAN 2, SUNGAI PETANI",2.0,375,109,1,122,141,373,2,0,SCARBORO ,UNDI BIASA
9,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",1.0,217,130,2,60,18,210,7,0,PENGKALAN LEBAI MAN ,UNDI BIASA
9,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",2.0,564,360,0,121,73,554,10,0,PENGKALAN LEBAI MAN ,UNDI BIASA
9,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",3.0,581,414,2,114,47,577,4,0,PENGKALAN LEBAI MAN ,UNDI BIASA
9,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",4.0,571,390,0,100,77,567,4,0,PENGKALAN LEBAI MAN ,UNDI BIASA
9,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",5.0,543,373,2,73,90,538,5,0,PENGKALAN LEBAI MAN ,UNDI BIASA
9,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",6.0,507,338,2,69,97,506,1,0,PENGKALAN LEBAI MAN ,UNDI BIASA
9,015/29/08,"SEKOLAH  MENENGAH KEBANGSAAN PENGKALAN LEBAI MAN, SUNGAI PETANI",7.0,507,318,1,57,128,504,3,0,PENGKALAN LEBAI MAN ,UNDI BIASA
