Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' JOHARI ABDUL MUZAINI BIN AZIZAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' BOEY CHIN GAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) PALANIAPPAN A/L MARIMUTHU,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
12,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",1.0,264,158,23,80,0,261,3,0,PEKAN GURUN ,UNDI BIASA
12,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",2.0,529,293,69,163,1,526,2,1,PEKAN GURUN ,UNDI BIASA
12,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",3.0,512,344,61,97,2,504,8,0,PEKAN GURUN ,UNDI BIASA
12,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",4.0,501,334,71,88,4,497,4,0,PEKAN GURUN ,UNDI BIASA
12,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",5.0,462,300,77,76,4,457,5,0,PEKAN GURUN ,UNDI BIASA
12,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",6.0,487,307,102,77,1,487,0,0,PEKAN GURUN ,UNDI BIASA
13,012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",1.0,284,221,0,61,0,282,2,0,PEKAN BARU GURUN ,UNDI BIASA
13,012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",2.0,558,414,25,117,1,557,0,1,PEKAN BARU GURUN ,UNDI BIASA
13,012/22/11,"SEKOLAH KEBANGSAAN SRI JERAI, GURUN",3.0,540,404,54,76,1,535,5,0,PEKAN BARU GURUN ,UNDI BIASA
14,012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",1.0,270,118,41,103,0,262,8,0,KAMPUNG GURUN ,UNDI BIASA
14,012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",2.0,600,254,162,177,0,593,7,0,KAMPUNG GURUN ,UNDI BIASA
14,012/22/12,"SEKOLAH MENENGAH AGAMA PEKAN GURUN, GURUN",3.0,528,230,187,109,1,527,1,0,KAMPUNG GURUN ,UNDI BIASA
15,012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",1.0,280,113,48,106,2,269,11,0,TAMAN SERI JERAI ,UNDI BIASA
15,012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",2.0,456,185,106,150,4,445,11,0,TAMAN SERI JERAI ,UNDI BIASA
15,012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",3.0,437,217,115,86,6,424,13,0,TAMAN SERI JERAI ,UNDI BIASA
15,012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",4.0,406,206,109,84,5,404,2,0,TAMAN SERI JERAI ,UNDI BIASA
15,012/22/13,"SEKOLAH MENENGAH KEBANGSAAN GURUN, GURUN",5.0,416,197,137,81,0,415,1,0,TAMAN SERI JERAI ,UNDI BIASA
16,012/22/14,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HARVARD BAHAGIAN I, BEDONG",1.0,260,128,10,99,13,250,10,0,LADANG JERAI ,UNDI BIASA
16,012/22/14,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG HARVARD BAHAGIAN I, BEDONG",2.0,540,239,148,94,47,528,12,0,LADANG JERAI ,UNDI BIASA
17,012/22/15,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGAI PUNTAR, BEDONG",1.0,408,204,22,164,2,392,16,0,SUNGAI PUNTAR ,UNDI BIASA
18,012/22/16,"SEKOLAH KEBANGSAAN SUNGAI TOK PAWANG, BEDONG",1.0,281,140,22,102,4,268,12,1,SUNGAI TOK PAWANG ,UNDI BIASA
18,012/22/16,"SEKOLAH KEBANGSAAN SUNGAI TOK PAWANG, BEDONG",2.0,282,147,34,88,6,275,7,0,SUNGAI TOK PAWANG ,UNDI BIASA
19,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",1.0,268,110,32,114,6,262,6,0,KAMPUNG MESJID ,UNDI BIASA
19,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",2.0,557,275,57,214,2,548,9,0,KAMPUNG MESJID ,UNDI BIASA
19,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",3.0,554,306,88,146,11,551,3,0,KAMPUNG MESJID ,UNDI BIASA
19,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",4.0,517,297,98,102,11,508,9,0,KAMPUNG MESJID ,UNDI BIASA
19,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",5.0,456,278,67,96,13,454,2,0,KAMPUNG MESJID ,UNDI BIASA
19,012/22/17,"SEKOLAH KEBANGSAAN BEDONG, BEDONG",6.0,486,265,108,103,8,484,2,0,KAMPUNG MESJID ,UNDI BIASA
20,012/22/18,"SEKOLAH  MENENGAH KEBANGSAAN BEDONG, BEDONG",1.0,251,157,12,79,0,248,3,0,PEKAN BAHRU BEDONG ,UNDI BIASA
20,012/22/18,"SEKOLAH  MENENGAH KEBANGSAAN BEDONG, BEDONG",2.0,352,271,24,56,0,351,1,0,PEKAN BAHRU BEDONG ,UNDI BIASA
