Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ. MUNIR BIN HJ. ZAKARIA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) PAK TUAN SYED FADZIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ BADROL HISHAM BIN HASHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
15,007/07/13,"SEKOLAH KEBANGSAAN SERI BAKTI, KUALA NERANG",1.0,320,145,26,136,307,12,1,RAMBUTAN ,UNDI BIASA
15,007/07/13,"SEKOLAH KEBANGSAAN SERI BAKTI, KUALA NERANG",2.0,567,272,73,214,559,8,0,RAMBUTAN ,UNDI BIASA
16,007/07/14,"SEKOLAH KEBANGSAAN TOH PUAN SHARIFAH HANIFAH, KUALA NERANG",1.0,318,129,36,141,306,12,0,KAMPUNG NAI TEH ,UNDI BIASA
16,007/07/14,"SEKOLAH KEBANGSAAN TOH PUAN SHARIFAH HANIFAH, KUALA NERANG",2.0,422,203,69,147,419,3,0,KAMPUNG NAI TEH ,UNDI BIASA
16,007/07/14,"SEKOLAH KEBANGSAAN TOH PUAN SHARIFAH HANIFAH, KUALA NERANG",3.0,390,196,70,123,389,1,0,KAMPUNG NAI TEH ,UNDI BIASA
17,007/07/15,"SEKOLAH KEBANGSAAN BUKIT TEMBAGA, KUALA NERANG",1.0,287,89,25,159,273,14,0,BUKIT TEMBAGA ,UNDI BIASA
17,007/07/15,"SEKOLAH KEBANGSAAN BUKIT TEMBAGA, KUALA NERANG",2.0,477,183,87,204,474,3,0,BUKIT TEMBAGA ,UNDI BIASA
17,007/07/15,"SEKOLAH KEBANGSAAN BUKIT TEMBAGA, KUALA NERANG",3.0,428,210,85,131,426,2,0,BUKIT TEMBAGA ,UNDI BIASA
17,007/07/15,"SEKOLAH KEBANGSAAN BUKIT TEMBAGA, KUALA NERANG",4.0,428,196,97,135,428,0,0,BUKIT TEMBAGA ,UNDI BIASA
18,007/07/16,"SEKOLAH MENENGAH KEBANGSAAN KUALA NERANG, KUALA NERANG",1.0,308,178,22,101,301,6,1,KAMPUNG BAROKHAS ,UNDI BIASA
18,007/07/16,"SEKOLAH MENENGAH KEBANGSAAN KUALA NERANG, KUALA NERANG",2.0,436,245,69,116,430,6,0,KAMPUNG BAROKHAS ,UNDI BIASA
18,007/07/16,"SEKOLAH MENENGAH KEBANGSAAN KUALA NERANG, KUALA NERANG",3.0,384,258,46,80,384,0,0,KAMPUNG BAROKHAS ,UNDI BIASA
19,007/07/17,"SEKOLAH KEBANGSAAN PANGLIMA AWANG, KUALA NERANG",1.0,322,172,16,127,315,7,0,NAKO NAMBUA ,UNDI BIASA
19,007/07/17,"SEKOLAH KEBANGSAAN PANGLIMA AWANG, KUALA NERANG",2.0,456,245,49,155,449,7,0,NAKO NAMBUA ,UNDI BIASA
19,007/07/17,"SEKOLAH KEBANGSAAN PANGLIMA AWANG, KUALA NERANG",3.0,422,251,52,119,422,0,0,NAKO NAMBUA ,UNDI BIASA
