Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMAD RIDUAN BIN OTHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABDULLAH HASNAN BIN KAMARUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR AZMAN ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
44,010/17/05,"SEKOLAH KEBANGSAAN KEBUN PINANG, TANDOP",1.0,290,118,97,64,279,11,0,KEBUN PINANG ,UNDI BIASA
44,010/17/05,"SEKOLAH KEBANGSAAN KEBUN PINANG, TANDOP",2.0,417,188,78,150,416,1,0,KEBUN PINANG ,UNDI BIASA
45,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",1.0,286,111,120,37,268,18,0,TEBENGAU ,UNDI BIASA
45,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",2.0,494,208,195,89,492,2,0,TEBENGAU ,UNDI BIASA
45,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",3.0,468,200,155,108,463,5,0,TEBENGAU ,UNDI BIASA
45,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",4.0,445,222,127,92,441,4,0,TEBENGAU ,UNDI BIASA
46,010/17/07,"SEKOLAH JENIS KEBANGSAAN (CINA) EIK CHOON, SIMPANG EMPAT",1.0,303,74,145,78,297,6,0,KAMPUNG BENUA ,UNDI BIASA
46,010/17/07,"SEKOLAH JENIS KEBANGSAAN (CINA) EIK CHOON, SIMPANG EMPAT",2.0,340,96,111,132,339,1,0,KAMPUNG BENUA ,UNDI BIASA
47,010/17/08,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH MIN, SIMPANG EMPAT",1.0,282,10,32,235,277,5,0,TAMAN CENGKEH ,UNDI BIASA
47,010/17/08,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH MIN, SIMPANG EMPAT",2.0,484,7,62,411,480,4,0,TAMAN CENGKEH ,UNDI BIASA
47,010/17/08,"SEKOLAH JENIS KEBANGSAAN (CINA) YIH MIN, SIMPANG EMPAT",3.0,450,55,47,346,448,2,0,TAMAN CENGKEH ,UNDI BIASA
48,010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",1.0,280,11,77,189,277,3,0,SIMPANG EMPAT ,UNDI BIASA
48,010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",2.0,488,53,121,309,483,4,1,SIMPANG EMPAT ,UNDI BIASA
48,010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",3.0,474,73,66,332,471,3,0,SIMPANG EMPAT ,UNDI BIASA
48,010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",4.0,445,94,59,292,445,0,0,SIMPANG EMPAT ,UNDI BIASA
48,010/17/09,"SEKOLAH KEBANGSAAN HJ HASSAN ITAM, SIMPANG EMPAT",5.0,455,110,66,277,453,2,0,SIMPANG EMPAT ,UNDI BIASA
49,010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",1.0,280,98,106,65,269,11,0,SELARONG PANJANG ,UNDI BIASA
49,010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",2.0,546,160,205,177,542,4,0,SELARONG PANJANG ,UNDI BIASA
49,010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",3.0,518,195,139,180,514,4,0,SELARONG PANJANG ,UNDI BIASA
49,010/17/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU ABDUL AZIZ, SIMPANG EMPAT",4.0,467,161,126,179,466,1,0,SELARONG PANJANG ,UNDI BIASA
50,010/17/11,"SEKOLAH KEBANGSAAN KANGKONG, SIMPANG EMPAT",1.0,310,155,117,27,299,11,0,PERMATANG IBUS ,UNDI BIASA
50,010/17/11,"SEKOLAH KEBANGSAAN KANGKONG, SIMPANG EMPAT",2.0,429,245,103,75,423,6,0,PERMATANG IBUS ,UNDI BIASA
50,010/17/11,"SEKOLAH KEBANGSAAN KANGKONG, SIMPANG EMPAT",3.0,422,261,91,65,417,5,0,PERMATANG IBUS ,UNDI BIASA
51,010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",1.0,285,94,143,36,273,12,0,KUALA SALA ,UNDI BIASA
51,010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",2.0,527,183,214,125,522,5,0,KUALA SALA ,UNDI BIASA
51,010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",3.0,466,176,145,144,465,1,0,KUALA SALA ,UNDI BIASA
51,010/17/12,"SEKOLAH KEBANGSAAN SRI MAHAWANGSA, KUALA SALA",4.0,459,170,147,140,457,2,0,KUALA SALA ,UNDI BIASA
52,010/17/13,"SEKOLAH KEBANGSAAN KAMPUNG JAWA, KOTA SARANG SEMUT",1.0,307,197,56,51,304,3,0,SALA KECHIL ,UNDI BIASA
52,010/17/13,"SEKOLAH KEBANGSAAN KAMPUNG JAWA, KOTA SARANG SEMUT",2.0,448,302,52,92,446,2,0,SALA KECHIL ,UNDI BIASA
53,010/17/14,"SEKOLAH MENENGAH AGAMA IHYA UL-ULUM AD DINIAH, SIMPANG EMPAT",1.0,567,264,126,175,565,2,0,SELARONG BATANG ,UNDI BIASA
54,010/17/15,"SEKOLAH KEBANGSAAN BULUH LIMA, KOTA SARANG SEMUT",1.0,293,120,89,80,289,3,1,BULOH LIMA ,UNDI BIASA
54,010/17/15,"SEKOLAH KEBANGSAAN BULUH LIMA, KOTA SARANG SEMUT",2.0,492,240,103,147,490,2,0,BULOH LIMA ,UNDI BIASA
55,010/17/16,"SEKOLAH MENENGAH KEBANGSAAN MUADZAM SHAH, KOTA SARANG SEMUT",1.0,262,50,73,134,257,5,0,TAMAN IMPIAN ,UNDI BIASA
55,010/17/16,"SEKOLAH MENENGAH KEBANGSAAN MUADZAM SHAH, KOTA SARANG SEMUT",2.0,548,165,111,266,542,6,0,TAMAN IMPIAN ,UNDI BIASA
55,010/17/16,"SEKOLAH MENENGAH KEBANGSAAN MUADZAM SHAH, KOTA SARANG SEMUT",3.0,465,190,71,200,461,4,0,TAMAN IMPIAN ,UNDI BIASA
56,010/17/17,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN SIN, KOTA SARANG SEMUT",1.0,284,50,59,174,283,1,0,KOTA SARANG SEMUT ,UNDI BIASA
56,010/17/17,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN SIN, KOTA SARANG SEMUT",2.0,388,71,65,251,387,1,0,KOTA SARANG SEMUT ,UNDI BIASA
56,010/17/17,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN SIN, KOTA SARANG SEMUT",3.0,376,128,41,207,376,0,0,KOTA SARANG SEMUT ,UNDI BIASA
