Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU AZHAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ ABU HASAN BIN SARIF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AZIZ MOHAMOD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
17,005/04/15,"SEKOLAH KEBANGSAAN AYER HITAM, AYER HITAM",2.0,585,154,210,211,575,10,0,LUBOK PINANG ,UNDI BIASA
17,005/04/15,"SEKOLAH KEBANGSAAN AYER HITAM, AYER HITAM",3.0,501,187,142,170,499,2,0,LUBOK PINANG ,UNDI BIASA
18,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",1.0,282,55,96,125,276,6,0,PEKAN AYER HITAM ,UNDI BIASA
18,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",2.0,470,95,112,251,458,12,0,PEKAN AYER HITAM ,UNDI BIASA
18,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",3.0,429,132,69,223,424,5,0,PEKAN AYER HITAM ,UNDI BIASA
18,005/04/16,"SEKOLAH JENIS KEBANGSAAN (CINA) YUH MIN, AYER HITAM",4.0,413,158,74,179,411,2,0,PEKAN AYER HITAM ,UNDI BIASA
19,005/04/17,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",1.0,286,154,74,50,278,8,0,KAMPUNG GANDAI ,UNDI BIASA
19,005/04/17,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",2.0,432,217,105,105,427,5,0,KAMPUNG GANDAI ,UNDI BIASA
19,005/04/17,"SEKOLAH MENENGAH KEBANGSAAN AYER HITAM, AYER HITAM",3.0,385,180,91,114,385,0,0,KAMPUNG GANDAI ,UNDI BIASA
20,005/04/18,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",1.0,301,78,150,66,294,7,0,KUBANG NIPAH ,UNDI BIASA
20,005/04/18,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",2.0,448,86,214,143,443,5,0,KUBANG NIPAH ,UNDI BIASA
20,005/04/18,"SEKOLAH MENENGAH KEBANGSAAN JERLUN, AYER HITAM",3.0,401,113,144,141,398,3,0,KUBANG NIPAH ,UNDI BIASA
