Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR. CHEAH SOON HAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TUAN HAJI YAHYA SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN KOK YEW,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
5,008/11/03,"KOLEJ VOKASIONAL ALOR SETAR, JALAN STADIUM",1.0,264,81,33,148,262,2,0,KAMPUNG TELOK SENA ,UNDI BIASA
5,008/11/03,"KOLEJ VOKASIONAL ALOR SETAR, JALAN STADIUM",2.0,322,74,79,169,322,0,0,KAMPUNG TELOK SENA ,UNDI BIASA
5,008/11/03,"KOLEJ VOKASIONAL ALOR SETAR, JALAN STADIUM",3.0,301,48,99,154,301,0,0,KAMPUNG TELOK SENA ,UNDI BIASA
6,008/11/04,"SEKOLAH KEBANGSAAN TUNKU ABDUL HALIM, JALAN STADIUM",1.0,261,52,18,190,260,1,0,JALAN STADIUM ,UNDI BIASA
6,008/11/04,"SEKOLAH KEBANGSAAN TUNKU ABDUL HALIM, JALAN STADIUM",2.0,480,79,94,305,478,2,0,JALAN STADIUM ,UNDI BIASA
7,008/11/05,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",1.0,237,66,19,150,235,2,0,SENTOSA ,UNDI BIASA
7,008/11/05,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",2.0,382,74,46,260,380,2,0,SENTOSA ,UNDI BIASA
7,008/11/05,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",3.0,350,52,63,231,346,4,0,SENTOSA ,UNDI BIASA
8,008/11/06,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",4.0,254,76,4,168,248,6,0,JALAN AMBAR ,UNDI BIASA
8,008/11/06,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",5.0,420,87,8,324,419,1,0,JALAN AMBAR ,UNDI BIASA
8,008/11/06,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",6.0,407,73,19,314,406,1,0,JALAN AMBAR ,UNDI BIASA
9,008/11/07,"SEKOLAH KEBANGSAAN TUNKU RAUDZAH, JALAN LANGGAR",1.0,254,80,53,117,250,4,0,DERGA ,UNDI BIASA
9,008/11/07,"SEKOLAH KEBANGSAAN TUNKU RAUDZAH, JALAN LANGGAR",2.0,487,111,136,236,483,3,1,DERGA ,UNDI BIASA
9,008/11/07,"SEKOLAH KEBANGSAAN TUNKU RAUDZAH, JALAN LANGGAR",3.0,442,72,200,169,441,1,0,DERGA ,UNDI BIASA
