Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HABSHAH BINTI BAKAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJAH HALIMATON SHAADIAH BINTI SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HAJI AHMAD ZAINI JAPAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,995,205,251,417,873,41,81,UNDI POS,UNDI POS
2,006/05/00,"BILIK LATIHAN, UPP BUKIT KAYU HITAM",1.0,180,20,42,117,179,1,0,UNDI AWAL ,UNDI AWAL
2,006/05/00,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",1.0,238,59,31,141,231,7,0,UNDI AWAL ,UNDI AWAL
2,006/05/00,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",2.0,338,76,59,194,329,9,0,UNDI AWAL ,UNDI AWAL
2,006/05/00,"BILIK KULIAH 2 , PALAPES UUM",1.0,35,5,9,21,35,0,0,UNDI AWAL ,UNDI AWAL
3,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",1.0,290,37,80,167,284,6,0,BUKIT KAYU HITAM ,UNDI BIASA
3,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",2.0,423,84,149,186,419,4,0,BUKIT KAYU HITAM ,UNDI BIASA
3,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",3.0,372,77,180,113,370,2,0,BUKIT KAYU HITAM ,UNDI BIASA
3,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",4.0,383,72,213,98,383,0,0,BUKIT KAYU HITAM ,UNDI BIASA
4,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",1.0,328,22,86,208,316,12,0,FELDA BUKIT TANGGA ,UNDI BIASA
4,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",2.0,433,43,153,232,428,5,0,FELDA BUKIT TANGGA ,UNDI BIASA
4,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",3.0,420,79,190,150,419,1,0,FELDA BUKIT TANGGA ,UNDI BIASA
4,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",4.0,398,81,181,134,396,2,0,FELDA BUKIT TANGGA ,UNDI BIASA
5,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",1.0,303,87,120,85,292,11,0,TEMIN ,UNDI BIASA
5,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",2.0,313,98,149,65,312,1,0,TEMIN ,UNDI BIASA
5,006/05/03,"SEKOLAH KEBANGSAAN DATO'  WAN KEMARA, CHANGLUN",3.0,291,82,139,69,290,1,0,TEMIN ,UNDI BIASA
6,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",1.0,296,32,86,161,279,17,0,FELDA LAKA SELATAN ,UNDI BIASA
6,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",2.0,468,118,180,167,465,3,0,FELDA LAKA SELATAN ,UNDI BIASA
6,006/05/04,"SEKOLAH KEBANGSAAN FELDA LAKA SELATAN, CHANGLUN",3.0,426,92,186,140,418,8,0,FELDA LAKA SELATAN ,UNDI BIASA
7,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",1.0,296,72,81,135,288,8,0,FELDA BATU LAPAN ,UNDI BIASA
7,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",2.0,429,91,165,169,425,4,0,FELDA BATU LAPAN ,UNDI BIASA
7,006/05/05,"SEKOLAH KEBANGSAAN BATU 8, CHANGLUN",3.0,378,88,170,119,377,1,0,FELDA BATU LAPAN ,UNDI BIASA
8,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",1.0,266,23,134,104,261,5,0,PEKAN BARU CHANGLUN ,UNDI BIASA
8,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",2.0,603,100,302,195,597,6,0,PEKAN BARU CHANGLUN ,UNDI BIASA
8,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",3.0,588,141,303,142,586,2,0,PEKAN BARU CHANGLUN ,UNDI BIASA
8,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",4.0,563,124,330,103,557,6,0,PEKAN BARU CHANGLUN ,UNDI BIASA
8,006/05/06,"SEKOLAH JENIS KEBANGSAAN (CINA) YIT MIN, CHANGLUN",5.0,535,147,295,87,529,6,0,PEKAN BARU CHANGLUN ,UNDI BIASA
9,006/05/07,"SEKOLAH JENIS KEBANGSAAN (TAMIL) CHANGLUN, CHANGLUN",1.0,260,35,169,53,257,3,0,PEKAN LAMA CHANGLUN ,UNDI BIASA
10,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",1.0,282,75,93,105,273,9,0,SINTOK ,UNDI BIASA
10,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",2.0,448,131,170,138,439,8,1,SINTOK ,UNDI BIASA
10,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",3.0,389,121,152,113,386,3,0,SINTOK ,UNDI BIASA
10,006/05/08,"SEKOLAH KEBANGSAAN BANDAR BARU SINTOK, SINTOK",4.0,388,149,161,75,385,3,0,SINTOK ,UNDI BIASA
11,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",1.0,277,60,63,134,257,20,0,KAMPUNG DARAT ,UNDI BIASA
11,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",2.0,501,107,173,210,490,11,0,KAMPUNG DARAT ,UNDI BIASA
11,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",3.0,444,140,184,117,441,3,0,KAMPUNG DARAT ,UNDI BIASA
11,006/05/09,"SEKOLAH MENENGAH KEBANGSAAN CHANGLUN, CHANGLUN",4.0,417,127,197,91,415,2,0,KAMPUNG DARAT ,UNDI BIASA
12,006/05/10,"SEKOLAH MENENGAH KEBANGSAAN HOSBA, CHANGLUN",1.0,301,24,100,168,292,9,0,KUBANG PASU ,UNDI BIASA
12,006/05/10,"SEKOLAH MENENGAH KEBANGSAAN HOSBA, CHANGLUN",2.0,474,87,221,159,467,7,0,KUBANG PASU ,UNDI BIASA
13,006/05/11,"SEKOLAH KEBANGSAAN GUAR NAPAI, KODIANG",1.0,451,65,197,183,445,6,0,GUAR NAPAI ,UNDI BIASA
14,006/05/12,"SEKOLAH KEBANGSAAN HOSBA, JITRA",1.0,301,57,117,122,296,5,0,HUSBA ,UNDI BIASA
14,006/05/12,"SEKOLAH KEBANGSAAN HOSBA, JITRA",2.0,449,84,235,127,446,3,0,HUSBA ,UNDI BIASA
15,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",3.0,350,49,100,116,265,6,79,KAMPUNG NAPOH ,UNDI BIASA
15,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",4.0,545,95,236,206,537,8,0,KAMPUNG NAPOH ,UNDI BIASA
15,006/05/13,"SEKOLAH KEBANGSAAN HOSBA, JITRA",5.0,464,119,217,125,461,2,1,KAMPUNG NAPOH ,UNDI BIASA
16,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,1.0,296,92,81,117,290,6,0,BINJAL ,UNDI BIASA
16,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,2.0,430,129,149,147,425,4,1,BINJAL ,UNDI BIASA
16,006/05/14,PERTUBUHAN PELADANG KAWASAN ASUN,3.0,404,160,159,84,403,1,0,BINJAL ,UNDI BIASA
17,006/05/15,"SEKOLAH KEBANGSAAN GELONG, JITRA",1.0,308,40,150,112,302,6,0,KAMPUNG BEMBAN ,UNDI BIASA
17,006/05/15,"SEKOLAH KEBANGSAAN GELONG, JITRA",2.0,503,120,264,115,499,4,0,KAMPUNG BEMBAN ,UNDI BIASA
18,006/05/16,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",1.0,295,79,79,130,288,7,0,PULAU PISANG ,UNDI BIASA
