Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HABSHAH BINTI BAKAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJAH HALIMATON SHAADIAH BINTI SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HAJI AHMAD ZAINI JAPAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
18,006/05/16,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",2.0,445,136,166,140,442,3,0,PULAU PISANG ,UNDI BIASA
18,006/05/16,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",3.0,406,140,176,85,401,5,0,PULAU PISANG ,UNDI BIASA
19,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",1.0,273,25,161,82,268,5,0,PEKAN TUNJANG ,UNDI BIASA
19,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",2.0,429,48,273,100,421,8,0,PEKAN TUNJANG ,UNDI BIASA
19,006/05/17,"SEKOLAH KEBANGSAAN TUNJANG, JITRA",3.0,382,63,230,87,380,2,0,PEKAN TUNJANG ,UNDI BIASA
20,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",1.0,257,65,93,86,244,13,0,PULAU TIMBOL ,UNDI BIASA
20,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",2.0,593,153,249,187,589,4,0,PULAU TIMBOL ,UNDI BIASA
20,006/05/18,"SEKOLAH KEBANGSAAN HAKIM TEH, PULAU TIMBUL",3.0,550,195,228,125,548,2,0,PULAU TIMBOL ,UNDI BIASA
21,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,1.0,293,147,58,78,283,10,0,PADANG LIMAU ,UNDI BIASA
21,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,2.0,419,209,122,83,414,5,0,PADANG LIMAU ,UNDI BIASA
21,006/05/19,BANGUNAN PERSATUAN PELADANG (MADA) D-11 TUNJANG,3.0,386,191,131,55,377,9,0,PADANG LIMAU ,UNDI BIASA
22,006/05/20,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",1.0,283,71,83,123,277,6,0,PULAU NYIOR ,UNDI BIASA
22,006/05/20,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",2.0,547,110,265,169,544,3,0,PULAU NYIOR ,UNDI BIASA
22,006/05/20,"SEKOLAH KEBANGSAAN PULAU NYIOR, JITRA",3.0,500,136,245,114,495,5,0,PULAU NYIOR ,UNDI BIASA
23,006/05/21,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",4.0,301,69,120,110,299,2,0,KAMPUNG PULAU KETAM ,UNDI BIASA
23,006/05/21,"SEKOLAH MENENGAH KEBANGSAAN PULAU NYIOR, JITRA",5.0,431,106,210,114,430,1,0,KAMPUNG PULAU KETAM ,UNDI BIASA
24,006/05/22,"SEKOLAH JENIS KEBANGSAAN. (CINA) HWA MIN, TUNJANG",1.0,289,113,67,94,274,15,0,GELONG RAMBAI ,UNDI BIASA
24,006/05/22,"SEKOLAH JENIS KEBANGSAAN. (CINA) HWA MIN, TUNJANG",2.0,339,129,99,106,334,5,0,GELONG RAMBAI ,UNDI BIASA
24,006/05/22,"SEKOLAH JENIS KEBANGSAAN. (CINA) HWA MIN, TUNJANG",3.0,318,122,120,70,312,6,0,GELONG RAMBAI ,UNDI BIASA
