Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZUBIR BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR MAHATHIR BIN MOHAMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' IR. NAWAWI BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
14,004/01/11,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PUTRA, LANGKAWI",1.0,284,37,142,103,282,2,0,KAMPUNG ATAS ,UNDI BIASA
14,004/01/11,"SEKOLAH MENENGAH KEBANGSAAN TUNKU PUTRA, LANGKAWI",2.0,515,92,308,113,513,2,0,KAMPUNG ATAS ,UNDI BIASA
15,004/01/12,MAKTAB MAHMUD LANGKAWI,1.0,298,45,112,126,283,15,0,BUKIT KEMBOJA ,UNDI BIASA
15,004/01/12,MAKTAB MAHMUD LANGKAWI,2.0,559,91,282,179,552,7,0,BUKIT KEMBOJA ,UNDI BIASA
15,004/01/12,MAKTAB MAHMUD LANGKAWI,3.0,510,100,306,103,509,0,1,BUKIT KEMBOJA ,UNDI BIASA
15,004/01/12,MAKTAB MAHMUD LANGKAWI,4.0,497,93,307,96,496,1,0,BUKIT KEMBOJA ,UNDI BIASA
16,004/01/13,MAKTAB MAHMUD LANGKAWI,5.0,303,39,126,126,291,12,0,MAKAM MAHSURI ,UNDI BIASA
16,004/01/13,MAKTAB MAHMUD LANGKAWI,6.0,439,62,256,112,430,9,0,MAKAM MAHSURI ,UNDI BIASA
16,004/01/13,MAKTAB MAHMUD LANGKAWI,7.0,395,49,265,80,394,1,0,MAKAM MAHSURI ,UNDI BIASA
17,004/02/01,"SEKOLAH KEBANGSAAN SERI NEGERI, LANGKAWI",1.0,268,39,149,78,266,2,0,BENDANG BARU ,UNDI BIASA
17,004/02/01,"SEKOLAH KEBANGSAAN SERI NEGERI, LANGKAWI",2.0,335,34,240,58,332,3,0,BENDANG BARU ,UNDI BIASA
17,004/02/01,"SEKOLAH KEBANGSAAN SERI NEGERI, LANGKAWI",3.0,290,36,208,44,288,2,0,BENDANG BARU ,UNDI BIASA
18,004/02/02,"SEKOLAH MENENGAH KEBANGSAAN KEDAWANG, LANGKAWI",1.0,304,62,98,141,301,3,0,KAMPUNG GELAM ,UNDI BIASA
18,004/02/02,"SEKOLAH MENENGAH KEBANGSAAN KEDAWANG, LANGKAWI",2.0,371,102,177,89,368,2,1,KAMPUNG GELAM ,UNDI BIASA
18,004/02/02,"SEKOLAH MENENGAH KEBANGSAAN KEDAWANG, LANGKAWI",3.0,331,78,178,72,328,3,0,KAMPUNG GELAM ,UNDI BIASA
19,004/02/03,"SEKOLAH KEBANGSAAN KEDAWANG, LANGKAWI",1.0,310,39,134,132,305,5,0,KEDAWANG ,UNDI BIASA
19,004/02/03,"SEKOLAH KEBANGSAAN KEDAWANG, LANGKAWI",2.0,396,60,232,100,392,4,0,KEDAWANG ,UNDI BIASA
19,004/02/03,"SEKOLAH KEBANGSAAN KEDAWANG, LANGKAWI",3.0,361,57,237,66,360,1,0,KEDAWANG ,UNDI BIASA
20,004/02/04,"LANGKAWI LANGKAWI TOURISM ACADEMY @ KOLEJ KOMUNITI LANGKAWI, JALAN PANTAI CHENANG,",1.0,297,56,110,115,281,16,0,PANTAI CHENANG ,UNDI BIASA
20,004/02/04,"LANGKAWI LANGKAWI TOURISM ACADEMY @ KOLEJ KOMUNITI LANGKAWI, JALAN PANTAI CHENANG,",2.0,503,148,265,88,501,2,0,PANTAI CHENANG ,UNDI BIASA
20,004/02/04,"LANGKAWI LANGKAWI TOURISM ACADEMY @ KOLEJ KOMUNITI LANGKAWI, JALAN PANTAI CHENANG,",3.0,460,114,268,75,457,3,0,PANTAI CHENANG ,UNDI BIASA
21,004/02/05,"SEKOLAH KEBANGSAAN TEMONYONG, LANGKAWI",1.0,312,55,99,146,300,12,0,TEMONYONG ,UNDI BIASA
21,004/02/05,"SEKOLAH KEBANGSAAN TEMONYONG, LANGKAWI",2.0,361,83,170,104,357,4,0,TEMONYONG ,UNDI BIASA
21,004/02/05,"SEKOLAH KEBANGSAAN TEMONYONG, LANGKAWI",3.0,321,82,177,59,318,3,0,TEMONYONG ,UNDI BIASA
22,004/02/06,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",1.0,288,38,135,107,280,8,0,KAMPUNG BAYAS ,UNDI BIASA
22,004/02/06,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",2.0,363,71,193,96,360,3,0,KAMPUNG BAYAS ,UNDI BIASA
22,004/02/06,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",3.0,329,68,206,54,328,1,0,KAMPUNG BAYAS ,UNDI BIASA
23,004/02/07,KOLEJ VOKASIONAL PULAU LANGKAWI,1.0,285,11,186,80,277,8,0,SUNGAI MENGHULU ,UNDI BIASA
23,004/02/07,KOLEJ VOKASIONAL PULAU LANGKAWI,2.0,482,19,368,92,479,3,0,SUNGAI MENGHULU ,UNDI BIASA
23,004/02/07,KOLEJ VOKASIONAL PULAU LANGKAWI,3.0,462,25,371,64,460,2,0,SUNGAI MENGHULU ,UNDI BIASA
23,004/02/07,KOLEJ VOKASIONAL PULAU LANGKAWI,4.0,433,23,351,58,432,1,0,SUNGAI MENGHULU ,UNDI BIASA
23,004/02/07,KOLEJ VOKASIONAL PULAU LANGKAWI,5.0,438,33,349,55,437,1,0,SUNGAI MENGHULU ,UNDI BIASA
24,004/02/08,"SEKOLAH KEBANGSAAN KELIBANG, LANGKAWI",1.0,279,17,152,83,252,27,0,KELIBANG ,UNDI BIASA
24,004/02/08,"SEKOLAH KEBANGSAAN KELIBANG, LANGKAWI",2.0,539,45,335,154,534,5,0,KELIBANG ,UNDI BIASA
24,004/02/08,"SEKOLAH KEBANGSAAN KELIBANG, LANGKAWI",3.0,501,53,319,125,497,4,0,KELIBANG ,UNDI BIASA
24,004/02/08,"SEKOLAH KEBANGSAAN KELIBANG, LANGKAWI",4.0,485,53,309,121,483,2,0,KELIBANG ,UNDI BIASA
25,004/02/09,"SEKOLAH MENENGAH KEBANGSAAN MAHSURI, LANGKAWI",1.0,279,9,168,96,273,6,0,DUNDONG ,UNDI BIASA
25,004/02/09,"SEKOLAH MENENGAH KEBANGSAAN MAHSURI, LANGKAWI",2.0,496,34,352,108,494,2,0,DUNDONG ,UNDI BIASA
25,004/02/09,"SEKOLAH MENENGAH KEBANGSAAN MAHSURI, LANGKAWI",3.0,423,41,309,73,423,0,0,DUNDONG ,UNDI BIASA
26,004/02/10,"SEKOLAH KEBANGSAAN SELAT BAGAN NYIOR, LANGKAWI",1.0,334,18,117,196,331,3,0,PULAU DAYANG BUNTING ,UNDI BIASA
27,004/02/11,"SEKOLAH KEBANGSAAN LUBUK CHEMPEDAK, LANGKAWI",1.0,400,13,139,240,392,8,0,LUBOK CHEMPEDAK ,UNDI BIASA
28,004/02/12,"SEKOLAH KEBANGSAAN PULAU TUBA, LANGKAWI",1.0,319,4,108,200,312,7,0,KAMPUNG TUBA ,UNDI BIASA
28,004/02/12,"SEKOLAH KEBANGSAAN PULAU TUBA, LANGKAWI",2.0,616,24,331,259,614,2,0,KAMPUNG TUBA ,UNDI BIASA
29,004/02/13,"SEKOLAH KEBANGSAAN LANGKAWI, LANGKAWI",1.0,246,31,131,82,244,2,0,KUAH ,UNDI BIASA
29,004/02/13,"SEKOLAH KEBANGSAAN LANGKAWI, LANGKAWI",2.0,514,50,333,124,507,7,0,KUAH ,UNDI BIASA
29,004/02/13,"SEKOLAH KEBANGSAAN LANGKAWI, LANGKAWI",3.0,516,69,373,72,514,2,0,KUAH ,UNDI BIASA
29,004/02/13,"SEKOLAH KEBANGSAAN LANGKAWI, LANGKAWI",4.0,476,60,338,77,475,0,1,KUAH ,UNDI BIASA
29,004/02/13,"SEKOLAH KEBANGSAAN LANGKAWI, LANGKAWI",5.0,461,44,336,77,457,4,0,KUAH ,UNDI BIASA
30,004/02/14,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",4.0,269,17,94,119,230,39,0,KAMPUNG BUKIT MALUT ,UNDI BIASA
30,004/02/14,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",5.0,362,4,179,166,349,13,0,KAMPUNG BUKIT MALUT ,UNDI BIASA
30,004/02/14,"SEKOLAH KEBANGSAAN BAYAS, LANGKAWI",6.0,326,21,143,154,318,8,0,KAMPUNG BUKIT MALUT ,UNDI BIASA
