Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZUBIR BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR MAHATHIR BIN MOHAMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' IR. NAWAWI BIN AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,915,81,265,397,743,99,73,UNDI POS,UNDI POS
2,004/01/00,"PUSAT LATIHAN POLIS (PULAPOL), PANTAI CHENANG",1.0,208,27,82,98,207,1,0,UNDI AWAL ,UNDI AWAL
3,004/02/00,"PUSAT LATIHAN POLIS (PULAPOL), PANTAI CHENANG",1.0,359,23,86,239,348,11,0,UNDI AWAL ,UNDI AWAL
3,004/02/00,"DEWAN TUN RAHAH, TENTERA LAUT DIRAJA MALAYSIA",1.0,391,91,205,91,387,4,0,UNDI AWAL ,UNDI AWAL
4,004/01/01,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",1.0,314,76,85,149,310,4,0,KUALA TERIANG ,UNDI BIASA
4,004/01/01,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",2.0,469,134,209,118,461,8,0,KUALA TERIANG ,UNDI BIASA
4,004/01/01,"SEKOLAH KEBANGSAAN KUALA TERIANG, LANGKAWI",3.0,426,115,195,113,423,3,0,KUALA TERIANG ,UNDI BIASA
5,004/01/02,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",1.0,277,36,144,89,269,8,0,EWA ,UNDI BIASA
5,004/01/02,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",2.0,511,84,298,125,507,4,0,EWA ,UNDI BIASA
5,004/01/02,"SEKOLAH KEBANGSAAN EWA, LANGKAWI",3.0,475,79,321,72,472,3,0,EWA ,UNDI BIASA
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",1.0,280,61,99,111,271,9,0,PADANG LALANG ,UNDI BIASA
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",2.0,618,93,327,182,602,16,0,PADANG LALANG ,UNDI BIASA
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",3.0,578,117,331,120,568,10,0,PADANG LALANG ,UNDI BIASA
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",4.0,529,94,341,92,527,2,0,PADANG LALANG ,UNDI BIASA
6,004/01/03,"SEKOLAH KEBANGSAAN PENGHULU AHMAD, LANGKAWI",5.0,499,101,320,76,497,2,0,PADANG LALANG ,UNDI BIASA
7,004/01/04,"SEKOLAH KEBANGSAAN KILIM, LANGKAWI",1.0,304,26,138,132,296,8,0,KILIM ,UNDI BIASA
7,004/01/04,"SEKOLAH KEBANGSAAN KILIM, LANGKAWI",2.0,308,47,162,99,308,0,0,KILIM ,UNDI BIASA
7,004/01/04,"SEKOLAH KEBANGSAAN KILIM, LANGKAWI",3.0,294,40,201,52,293,1,0,KILIM ,UNDI BIASA
8,004/01/05,"SEKOLAH KEBANGSAAN SERI LAGENDA, LANGKAWI",1.0,298,26,131,126,283,15,0,LADANG SUNGAI RAYA ,UNDI BIASA
8,004/01/05,"SEKOLAH KEBANGSAAN SERI LAGENDA, LANGKAWI",2.0,444,37,224,148,409,35,0,LADANG SUNGAI RAYA ,UNDI BIASA
8,004/01/05,"SEKOLAH KEBANGSAAN SERI LAGENDA, LANGKAWI",3.0,413,27,236,141,404,0,9,LADANG SUNGAI RAYA ,UNDI BIASA
8,004/01/05,"SEKOLAH KEBANGSAAN SERI LAGENDA, LANGKAWI",4.0,396,59,218,111,388,8,0,LADANG SUNGAI RAYA ,UNDI BIASA
9,004/01/06,"DEWAN HOMESTAY DESA WANG TOK RENDONG, LANGKAWI",1.0,325,19,150,150,319,6,0,WANG TOK RENDONG ,UNDI BIASA
9,004/01/06,"DEWAN HOMESTAY DESA WANG TOK RENDONG, LANGKAWI",2.0,331,23,202,104,329,2,0,WANG TOK RENDONG ,UNDI BIASA
10,004/01/07,"SEKOLAH KEBANGSAAN ULU MELAKA, LANGKAWI",1.0,289,35,125,124,284,5,0,ULU MELAKA ,UNDI BIASA
10,004/01/07,"SEKOLAH KEBANGSAAN ULU MELAKA, LANGKAWI",2.0,455,56,274,123,453,2,0,ULU MELAKA ,UNDI BIASA
10,004/01/07,"SEKOLAH KEBANGSAAN ULU MELAKA, LANGKAWI",3.0,402,65,258,76,399,3,0,ULU MELAKA ,UNDI BIASA
10,004/01/07,"SEKOLAH KEBANGSAAN ULU MELAKA, LANGKAWI",4.0,391,60,268,59,387,4,0,ULU MELAKA ,UNDI BIASA
11,004/01/08,"SEKOLAH KEBANGSAAN NYIOR CHABANG, LANGKAWI",1.0,309,55,95,141,291,18,0,NYIOR CHABANG ,UNDI BIASA
11,004/01/08,"SEKOLAH KEBANGSAAN NYIOR CHABANG, LANGKAWI",2.0,560,106,270,180,556,4,0,NYIOR CHABANG ,UNDI BIASA
11,004/01/08,"SEKOLAH KEBANGSAAN NYIOR CHABANG, LANGKAWI",3.0,501,103,278,118,499,2,0,NYIOR CHABANG ,UNDI BIASA
12,004/01/09,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN NAM, LANGKAWI",1.0,350,158,37,107,302,14,34,PADANG KANDANG ,UNDI BIASA
12,004/01/09,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN NAM, LANGKAWI",2.0,530,244,144,140,528,2,0,PADANG KANDANG ,UNDI BIASA
12,004/01/09,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN NAM, LANGKAWI",3.0,501,243,154,102,499,2,0,PADANG KANDANG ,UNDI BIASA
12,004/01/09,"SEKOLAH JENIS KEBANGSAAN (CINA) MIN NAM, LANGKAWI",4.0,470,202,175,90,467,3,0,PADANG KANDANG ,UNDI BIASA
13,004/01/10,"SEKOLAH KEBANGSAAN PADANG MATSIRAT, LANGKAWI",1.0,589,121,335,129,585,4,0,PADANG MATSIRAT ,UNDI BIASA
