Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD SABRI BIN OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AHMAD BASHAH BIN MD HANIPAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ZAMRI YUSUF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
6,009/12/05,"SEKOLAH KEBANGSAAN HJ MOHD SHARIFF, JALAN STADIUM",1.0,255,15,94,139,248,7,0,ALOR SEMADOM ,UNDI BIASA
6,009/12/05,"SEKOLAH KEBANGSAAN HJ MOHD SHARIFF, JALAN STADIUM",2.0,559,48,136,372,556,3,0,ALOR SEMADOM ,UNDI BIASA
7,009/12/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PUMPONG, JALAN SUKA MENANTI",1.0,279,74,103,85,262,17,0,SEBERANG PUMPONG ,UNDI BIASA
7,009/12/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PUMPONG, JALAN SUKA MENANTI",2.0,475,122,152,199,473,2,0,SEBERANG PUMPONG ,UNDI BIASA
7,009/12/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PUMPONG, JALAN SUKA MENANTI",3.0,433,132,103,195,430,3,0,SEBERANG PUMPONG ,UNDI BIASA
7,009/12/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PUMPONG, JALAN SUKA MENANTI",4.0,384,83,94,203,380,4,0,SEBERANG PUMPONG ,UNDI BIASA
7,009/12/06,"SEKOLAH JENIS KEBANGSAAN (CINA) PUMPONG, JALAN SUKA MENANTI",5.0,430,109,88,233,430,0,0,SEBERANG PUMPONG ,UNDI BIASA
8,009/12/07,"SEKOLAH KEBANGSAAN SUKA MENANTI, JALAN SUKA MENANTI",1.0,277,85,113,70,268,0,9,SUKA MENANTI ,UNDI BIASA
8,009/12/07,"SEKOLAH KEBANGSAAN SUKA MENANTI, JALAN SUKA MENANTI",2.0,413,126,140,143,409,4,0,SUKA MENANTI ,UNDI BIASA
8,009/12/07,"SEKOLAH KEBANGSAAN SUKA MENANTI, JALAN SUKA MENANTI",3.0,364,118,114,132,364,0,0,SUKA MENANTI ,UNDI BIASA
8,009/12/07,"SEKOLAH KEBANGSAAN SUKA MENANTI, JALAN SUKA MENANTI",4.0,355,94,94,164,352,3,0,SUKA MENANTI ,UNDI BIASA
9,009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",1.0,281,29,138,80,247,34,0,TAMAN WIRA ,UNDI BIASA
9,009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",2.0,597,57,313,218,588,9,0,TAMAN WIRA ,UNDI BIASA
9,009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",3.0,593,71,236,278,585,8,0,TAMAN WIRA ,UNDI BIASA
9,009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",4.0,547,61,160,323,544,3,0,TAMAN WIRA ,UNDI BIASA
9,009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",5.0,552,74,164,310,548,4,0,TAMAN WIRA ,UNDI BIASA
9,009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",6.0,516,78,164,273,515,1,0,TAMAN WIRA ,UNDI BIASA
9,009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",7.0,495,78,154,262,494,1,0,TAMAN WIRA ,UNDI BIASA
9,009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",8.0,512,89,124,297,510,2,0,TAMAN WIRA ,UNDI BIASA
9,009/12/08,"SEKOLAH MENENGAH KEBANGSAAN MERGONG, LEBUHRAYA SULTANAH BAHIYAH",9.0,547,90,176,279,545,2,0,TAMAN WIRA ,UNDI BIASA
10,009/12/09,"SEKOLAH KEBANGSAAN SERI PERDANA, LEBUHRAYA SULTANAH BAHIYAH",1.0,256,15,65,168,248,8,0,GUNONG SALI ,UNDI BIASA
