Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ MOHD REJAB MD AKHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AHMAD AZHAR BIN ABDULLAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR SALMEE SAID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
15,005/03/13,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",4.0,402,158,88,156,402,0,0,SG KOROK 2 MK SANGLANG ,UNDI BIASA
16,005/03/14,"SEKOLAH KEBANGSAAN HAJI WAN YAHYA, JALAN SANGLANG",5.0,418,146,138,120,404,14,0,SG KOROK ,UNDI BIASA
17,005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",1.0,273,39,89,128,256,17,0,KAMPUNG SANGLANG ,UNDI BIASA
17,005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",2.0,510,95,156,258,509,1,0,KAMPUNG SANGLANG ,UNDI BIASA
17,005/03/15,"SEKOLAH KEBANGSAAN SANGLANG, AYER HITAM",3.0,449,97,118,231,446,3,0,KAMPUNG SANGLANG ,UNDI BIASA
18,005/03/16,"SEKOLAH JENIS KEBANGSAAN (CINA) LAM MIN, KERPAN",1.0,306,49,147,106,302,4,0,KERPAN ,UNDI BIASA
18,005/03/16,"SEKOLAH JENIS KEBANGSAAN (CINA) LAM MIN, KERPAN",2.0,376,63,144,168,375,1,0,KERPAN ,UNDI BIASA
19,005/03/17,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",1.0,288,35,131,108,274,14,0,KUALA SANGLANG ,UNDI BIASA
19,005/03/17,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",2.0,408,76,158,172,406,2,0,KUALA SANGLANG ,UNDI BIASA
19,005/03/17,"SEKOLAH MENENGAH KEBANGSAAN SANGLANG, AYER HITAM",3.0,378,67,134,175,376,2,0,KUALA SANGLANG ,UNDI BIASA
