Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RAZAK KHAMIS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SAIFUL SYAZWAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SURAYA BINTI YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
11,011/19/09,"SEKOLAH BAHASA SIAM, WATT SIAM TITI AKAR, PENDANG",2.0,525,407,14,100,521,4,0,TITI AKAR ,UNDI BIASA
12,011/19/10,PUSAT KOKURIKULUM DAERAH PENDANG (KEM SUNGAI TIANG),1.0,286,27,72,182,281,5,0,SUNGAI TIANG BLOK B ,UNDI BIASA
12,011/19/10,PUSAT KOKURIKULUM DAERAH PENDANG (KEM SUNGAI TIANG),2.0,370,71,102,192,365,5,0,SUNGAI TIANG BLOK B ,UNDI BIASA
12,011/19/10,PUSAT KOKURIKULUM DAERAH PENDANG (KEM SUNGAI TIANG),3.0,338,64,121,143,328,10,0,SUNGAI TIANG BLOK B ,UNDI BIASA
12,011/19/10,PUSAT KOKURIKULUM DAERAH PENDANG (KEM SUNGAI TIANG),4.0,323,85,123,115,323,0,0,SUNGAI TIANG BLOK B ,UNDI BIASA
13,011/19/11,"SEKOLAH KEBANGSAAN SUNGAI TIANG , SUNGAI TIANG",1.0,267,46,74,139,259,8,0,SUNGAI TIANG BLOK A ,UNDI BIASA
13,011/19/11,"SEKOLAH KEBANGSAAN SUNGAI TIANG , SUNGAI TIANG",2.0,548,137,181,226,544,4,0,SUNGAI TIANG BLOK A ,UNDI BIASA
13,011/19/11,"SEKOLAH KEBANGSAAN SUNGAI TIANG , SUNGAI TIANG",3.0,441,119,175,143,437,4,0,SUNGAI TIANG BLOK A ,UNDI BIASA
14,011/19/12,"SEKOLAH KEBANGSAAN SUNGAI SIPUT, LUBOK MERBAU",1.0,211,71,44,95,210,1,0,KAMPUNG MAHAWANGSA PENDANG ,UNDI BIASA
15,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",1.0,289,59,92,122,273,16,0,KAMPUNG BAHRU ,UNDI BIASA
15,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",2.0,550,159,142,232,533,17,0,KAMPUNG BAHRU ,UNDI BIASA
15,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",3.0,517,184,137,183,504,13,0,KAMPUNG BAHRU ,UNDI BIASA
15,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",4.0,491,149,177,159,485,6,0,KAMPUNG BAHRU ,UNDI BIASA
15,011/19/13,"SEKOLAH KEBANGSAAN KAMPONG BARU, SUNGAI TIANG",5.0,437,126,169,137,432,5,0,KAMPUNG BAHRU ,UNDI BIASA
16,011/19/14,"MA'HAD AL-IMAM AS-SYAFIE, SAWA KECHIL",1.0,314,35,163,106,304,10,0,SAWA KECHIL ,UNDI BIASA
16,011/19/14,"MA'HAD AL-IMAM AS-SYAFIE, SAWA KECHIL",2.0,380,63,195,120,378,2,0,SAWA KECHIL ,UNDI BIASA
16,011/19/14,"MA'HAD AL-IMAM AS-SYAFIE, SAWA KECHIL",3.0,356,68,184,103,355,1,0,SAWA KECHIL ,UNDI BIASA
17,011/19/15,SEKOLAH MENENGAH KEBANGSAAN SYED IBRAHIM PADANG PUSING,1.0,262,68,75,107,250,12,0,PADANG PUSING ,UNDI BIASA
17,011/19/15,SEKOLAH MENENGAH KEBANGSAAN SYED IBRAHIM PADANG PUSING,2.0,618,174,204,234,612,6,0,PADANG PUSING ,UNDI BIASA
17,011/19/15,SEKOLAH MENENGAH KEBANGSAAN SYED IBRAHIM PADANG PUSING,3.0,564,197,196,157,550,14,0,PADANG PUSING ,UNDI BIASA
17,011/19/15,SEKOLAH MENENGAH KEBANGSAAN SYED IBRAHIM PADANG PUSING,4.0,518,165,194,158,517,1,0,PADANG PUSING ,UNDI BIASA
18,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",1.0,294,27,115,118,260,34,0,AYER PUTEH ,UNDI BIASA
18,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",2.0,482,72,196,210,478,4,0,AYER PUTEH ,UNDI BIASA
18,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",3.0,447,78,209,159,446,1,0,AYER PUTEH ,UNDI BIASA
18,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",4.0,407,77,211,117,405,2,0,AYER PUTEH ,UNDI BIASA
18,011/19/16,"SEKOLAH KEBANGSAAN HJ MOHAMAD ARIFF, JALAN JENUN",5.0,422,85,231,104,420,2,0,AYER PUTEH ,UNDI BIASA
19,011/19/17,"SEKOLAH KEBANGSAAN BUKIT JAMBUL, JALAN JENUN",1.0,298,50,155,89,294,4,0,BUKIT JAMBOL ,UNDI BIASA
19,011/19/17,"SEKOLAH KEBANGSAAN BUKIT JAMBUL, JALAN JENUN",2.0,498,94,255,142,491,7,0,BUKIT JAMBOL ,UNDI BIASA
19,011/19/17,"SEKOLAH KEBANGSAAN BUKIT JAMBUL, JALAN JENUN",3.0,459,91,269,97,457,2,0,BUKIT JAMBOL ,UNDI BIASA
19,011/19/17,"SEKOLAH KEBANGSAAN BUKIT JAMBUL, JALAN JENUN",4.0,432,73,233,79,385,47,0,BUKIT JAMBOL ,UNDI BIASA
20,011/19/18,"SEKOLAH KEBANGSAAN BUKIT JENUN , PEKAN BUKIT JENUN",1.0,278,70,142,61,273,5,0,JUNUN ,UNDI BIASA
20,011/19/18,"SEKOLAH KEBANGSAAN BUKIT JENUN , PEKAN BUKIT JENUN",2.0,593,326,139,123,588,5,0,JUNUN ,UNDI BIASA
20,011/19/18,"SEKOLAH KEBANGSAAN BUKIT JENUN , PEKAN BUKIT JENUN",3.0,565,127,344,93,564,1,0,JUNUN ,UNDI BIASA
20,011/19/18,"SEKOLAH KEBANGSAAN BUKIT JENUN , PEKAN BUKIT JENUN",4.0,524,77,361,80,518,6,0,JUNUN ,UNDI BIASA
21,011/19/19,"SEKOLAH MODEL KHAS BUKIT JENUN , BUKIT JENUN",1.0,302,42,73,174,289,13,0,TANJONG SETOL ,UNDI BIASA
21,011/19/19,"SEKOLAH MODEL KHAS BUKIT JENUN , BUKIT JENUN",2.0,478,126,128,220,474,4,0,TANJONG SETOL ,UNDI BIASA
21,011/19/19,"SEKOLAH MODEL KHAS BUKIT JENUN , BUKIT JENUN",3.0,425,111,166,143,420,5,0,TANJONG SETOL ,UNDI BIASA
22,011/19/20,"SEKOLAH KEBANGSAAN BUKIT GENTING, BUKIT JENUN",1.0,316,37,90,181,308,8,0,BUKIT GENTING ,UNDI BIASA
22,011/19/20,"SEKOLAH KEBANGSAAN BUKIT GENTING, BUKIT JENUN",2.0,579,92,223,263,578,1,0,BUKIT GENTING ,UNDI BIASA
23,011/19/21,"SEKOLAH KEBANGSAAN POKOK TAI, KAMPUNG POKOK TAI",1.0,302,33,93,170,296,6,0,POKOK TAI ,UNDI BIASA
23,011/19/21,"SEKOLAH KEBANGSAAN POKOK TAI, KAMPUNG POKOK TAI",2.0,500,95,194,203,492,8,0,POKOK TAI ,UNDI BIASA
23,011/19/21,"SEKOLAH KEBANGSAAN POKOK TAI, KAMPUNG POKOK TAI",3.0,452,84,206,159,449,3,0,POKOK TAI ,UNDI BIASA
24,011/19/22,"SEKOLAH KEBANGSAAN PAYA MAK INSUN, RTP BUKIT MAT INSUN",1.0,304,53,67,174,294,10,0,PAYA MAK INSON ,UNDI BIASA
24,011/19/22,"SEKOLAH KEBANGSAAN PAYA MAK INSUN, RTP BUKIT MAT INSUN",2.0,602,148,171,273,592,10,0,PAYA MAK INSON ,UNDI BIASA
24,011/19/22,"SEKOLAH KEBANGSAAN PAYA MAK INSUN, RTP BUKIT MAT INSUN",3.0,545,137,203,203,543,2,0,PAYA MAK INSON ,UNDI BIASA
25,011/19/23,"SEKOLAH KEBANGSAAN PAYA MENGKUANG, PADANG LEMBU",1.0,322,31,171,119,321,1,0,PAYA MENGKUANG ,UNDI BIASA
25,011/19/23,"SEKOLAH KEBANGSAAN PAYA MENGKUANG, PADANG LEMBU",2.0,500,74,251,170,495,5,0,PAYA MENGKUANG ,UNDI BIASA
