Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' US NAJMI HJ AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CIKGU JOHARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HARUN AZIZ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
14,016/31/12,"SEKOLAH  KEBANGSAAN KUALA KUPANG, PEKAN KUPANG",1.0,449,151,114,180,445,4,0,KAMPUNG RAJA ,UNDI BIASA
15,016/31/13,"SEKOLAH  JENIS KEBANGSAAN  (CINA) SENG YOK, KUPANG",1.0,300,106,46,141,293,7,0,KAMPUNG LANDAK ,UNDI BIASA
15,016/31/13,"SEKOLAH  JENIS KEBANGSAAN  (CINA) SENG YOK, KUPANG",2.0,574,249,104,215,568,6,0,KAMPUNG LANDAK ,UNDI BIASA
15,016/31/13,"SEKOLAH  JENIS KEBANGSAAN  (CINA) SENG YOK, KUPANG",3.0,538,285,101,150,536,2,0,KAMPUNG LANDAK ,UNDI BIASA
16,016/31/14,"SEKOLAH  KEBANGSAAN KAMPUNG KEDA, KUPANG",1.0,283,67,101,111,279,4,0,PEKAN KUPANG ,UNDI BIASA
16,016/31/14,"SEKOLAH  KEBANGSAAN KAMPUNG KEDA, KUPANG",2.0,340,143,103,89,335,5,0,PEKAN KUPANG ,UNDI BIASA
16,016/31/14,"SEKOLAH  KEBANGSAAN KAMPUNG KEDA, KUPANG",3.0,311,127,76,106,309,2,0,PEKAN KUPANG ,UNDI BIASA
17,016/31/15,"SEKOLAH  JENIS KEBANGSAAN  (CINA) CHIN HWA, PEKAN KUALA PEGANG",1.0,308,74,34,198,306,2,0,KUALA CHENERAI ,UNDI BIASA
17,016/31/15,"SEKOLAH  JENIS KEBANGSAAN  (CINA) CHIN HWA, PEKAN KUALA PEGANG",2.0,408,141,77,189,407,1,0,KUALA CHENERAI ,UNDI BIASA
18,016/31/16,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",4.0,302,90,32,164,286,16,0,KETEMBA ,UNDI BIASA
18,016/31/16,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",5.0,387,178,37,169,384,3,0,KETEMBA ,UNDI BIASA
18,016/31/16,"SEKOLAH  KEBANGSAAN KUALA PEGANG, KUALA PEGANG",6.0,378,148,41,184,373,5,0,KETEMBA ,UNDI BIASA
19,016/31/17,"SEKOLAH  KEBANGSAAN KAMPUNG SADEK, KAMPUNG SADEK",1.0,331,162,11,152,325,6,0,KAMPUNG SADEK ,UNDI BIASA
19,016/31/17,"SEKOLAH  KEBANGSAAN KAMPUNG SADEK, KAMPUNG SADEK",2.0,569,314,49,202,565,4,0,KAMPUNG SADEK ,UNDI BIASA
19,016/31/17,"SEKOLAH  KEBANGSAAN KAMPUNG SADEK, KAMPUNG SADEK",3.0,517,303,46,166,515,2,0,KAMPUNG SADEK ,UNDI BIASA
20,016/31/18,"SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH, KUPANG",1.0,286,92,35,156,283,3,0,BUKIT TERABAK ,UNDI BIASA
20,016/31/18,"SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH, KUPANG",2.0,439,165,54,206,425,14,0,BUKIT TERABAK ,UNDI BIASA
20,016/31/18,"SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH, KUPANG",3.0,419,173,72,166,411,8,0,BUKIT TERABAK ,UNDI BIASA
20,016/31/18,"SEKOLAH MENENGAH AGAMA (ARAB) DINIAH ISLAMIYAH, KUPANG",4.0,422,154,63,201,418,4,0,BUKIT TERABAK ,UNDI BIASA
21,016/31/19,"SEKOLAH  MENENGAH KEBANGSAAN  JERAI, KUPANG",1.0,316,224,17,73,314,2,0,SIMPANG JERAI ,UNDI BIASA
21,016/31/19,"SEKOLAH  MENENGAH KEBANGSAAN  JERAI, KUPANG",2.0,338,256,22,57,335,3,0,SIMPANG JERAI ,UNDI BIASA
21,016/31/19,"SEKOLAH  MENENGAH KEBANGSAAN  JERAI, KUPANG",3.0,328,240,29,57,326,2,0,SIMPANG JERAI ,UNDI BIASA
22,016/31/20,"SEKOLAH  KEBANGSAAN SYED SHEH, KAMPUNG JERAI",1.0,327,186,12,125,323,4,0,KAMPUNG TANJONG ,UNDI BIASA
22,016/31/20,"SEKOLAH  KEBANGSAAN SYED SHEH, KAMPUNG JERAI",2.0,583,363,33,185,581,2,0,KAMPUNG TANJONG ,UNDI BIASA
22,016/31/20,"SEKOLAH  KEBANGSAAN SYED SHEH, KAMPUNG JERAI",3.0,523,322,41,158,521,2,0,KAMPUNG TANJONG ,UNDI BIASA
23,016/31/21,"DEWAN ORANG RAMAI (TOKONG HINDU) KAMPUNG DARA, LADANG SUNGAI TAWAR",1.0,434,44,105,264,413,21,0,LADANG SUNGAI TAWAR ,UNDI BIASA
24,016/31/22,"SEKOLAH MENENGAH KEBANGSAAN BAKAI, MUKIM BAKAI",1.0,285,36,51,192,279,6,0,BADENOCH ,UNDI BIASA
24,016/31/22,"SEKOLAH MENENGAH KEBANGSAAN BAKAI, MUKIM BAKAI",2.0,390,138,79,164,381,9,0,BADENOCH ,UNDI BIASA
