UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE SEX,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED),,,
P.134_N.01_134/01/03_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/03,KAMPUNG TENGAH,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,2,287,UMNO,ROSLI BIN ABDULLAH,MALE,53,150,PAN,USTAZ JULAS,MALE,52,41,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,86,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,1,,,,,,,,,,,278,9,0,1,1,,,
P.134_N.01_134/01/03_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/03,KAMPUNG TENGAH,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,3,280,UMNO,ROSLI BIN ABDULLAH,MALE,53,140,PAN,USTAZ JULAS,MALE,52,29,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,109,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,1,,,,,,,,,,,279,1,0,1,1,,,
P.134_N.01_134/01/04_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/04,PERMATANG,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,1,230,UMNO,ROSLI BIN ABDULLAH,MALE,53,135,PAN,USTAZ JULAS,MALE,52,35,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,49,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,3,,,,,,,,,,,222,8,0,1,1,,,
P.134_N.01_134/01/04_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/04,PERMATANG,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,2,261,UMNO,ROSLI BIN ABDULLAH,MALE,53,143,PAN,USTAZ JULAS,MALE,52,48,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,66,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,1,,,,,,,,,,,258,3,0,1,1,,,
P.134_N.01_134/01/04_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/04,PERMATANG,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,3,372,UMNO,ROSLI BIN ABDULLAH,MALE,53,177,PAN,USTAZ JULAS,MALE,52,65,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,124,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,2,,,,,,,,,,,368,4,0,1,1,,,
P.134_N.01_134/01/04_4,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/04,PERMATANG,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,4,314,UMNO,ROSLI BIN ABDULLAH,MALE,53,152,PAN,USTAZ JULAS,MALE,52,49,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,101,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,3,,,,,,,,,,,305,9,0,1,1,,,
P.134_N.01_134/01/05_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/05,KUALA SUNGAI BARU,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,1,241,UMNO,ROSLI BIN ABDULLAH,MALE,53,85,PAN,USTAZ JULAS,MALE,52,127,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,20,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,2,,,,,,,,,,,234,7,0,1,1,,,
P.134_N.01_134/01/05_2,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/05,KUALA SUNGAI BARU,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,2,236,UMNO,ROSLI BIN ABDULLAH,MALE,53,71,PAN,USTAZ JULAS,MALE,52,138,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,25,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,1,,,,,,,,,,,235,1,0,1,1,,,
P.134_N.01_134/01/05_3,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/05,KUALA SUNGAI BARU,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,3,248,UMNO,ROSLI BIN ABDULLAH,MALE,53,81,PAN,USTAZ JULAS,MALE,52,111,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,48,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,2,,,,,,,,,,,242,6,0,1,1,,,
P.134_N.01_134/01/06_1,MELAKA,NORMAL VOTE,P.134,MASJID TANAH,N.01,KUALA LINGGI,134/01/06,PAYA MENGKUANG,SEKOLAH KEBANGSAAN SUNGAI TUANG,1,172,UMNO,ROSLI BIN ABDULLAH,MALE,53,56,PAN,USTAZ JULAS,MALE,52,99,PAS,AZIAH BINTI MOHD SA'AD,FEMALE,60,14,,,,,,INDEPENDENT - BOOK,DATO KAMISAN BIN PALIL,MALE,36,1,,,,,,,,,,,170,2,0,1,1,,,
