ID,BALLOT_NAME,JOB,PID,JANTINA,DUN_ID,TYPE (PAR/DUN),IND_SYMBOL_ID,STATUS (WIN/LOSE/DEPOSIT),LAST_UPDATED,BALLOT_ID,TOTAL_VOTES,MAJORITY,??,,UNIQ PID,FULL_NAME,COALITION
245,DATUK NIZAM MAHSHAR,PERUNDING,25,L,01200,parlimen,,HD,2022-11-05T11:14:01.083Z,4,973,33192,837,,,,
546,MAIZA,AHLI PERNIAGAAN,1,P,01300,parlimen,,KLH,2022-11-05T11:13:33.927Z,1,12819,21787,416,,,,
100,DATO' LATIFAH,PESARA KERAJAAN,31,P,01300,parlimen,,HD,2022-11-05T11:13:33.927Z,2,3736,21787,416,,,,
382,AHMAD TARMIZI SULAIMAN,TIADA,27,L,01300,parlimen,,MNG,2022-11-05T11:13:33.927Z,3,34606,21787,416,,,,
80,KHAIRUL ANUAR,TIADA,54,L,01400,parlimen,,HD,2022-11-05T11:38:36.397Z,1,525,21019,1027,,,,
737,DATO' SHAIFUL HAZIZY,AHLI PERNIAGAAN,1,L,01400,parlimen,,KLH,2022-11-05T11:38:36.397Z,2,16691,21019,1027,,,,
165,NURIN AINA,PESARA,31,P,01400,parlimen,,KLH,2022-11-05T11:38:36.397Z,3,31554,21019,1027,,,,
666,MOHD NAZRI,USAHAWAN,27,L,01400,parlimen,,MNG,2022-11-05T11:38:36.397Z,4,52573,21019,1027,,,,
496,DATUK MOSIN RAZAK,AHLI PERNIAGAAN,25,L,01400,parlimen,,HD,2022-11-05T11:38:36.397Z,5,1201,21019,1027,,,,
1155,DR. TAUFIQ BIN DATO' JOHARI,AHLI PERNIAGAAN,31,L,01500,parlimen,,MNG,2022-11-05T12:15:28.133Z,1,50580,1115,1187,,,,
400,TAN JOON LONG @ TAN CHOW KANG,BEKERJA SENDIRI,7,L,01500,parlimen,,HD,2022-11-05T12:15:28.133Z,2,226,1115,1187,,,,
1167,HJ. MARZUKI YAHYA,AHLI PERNIAGAAN,25,L,01500,parlimen,,HD,2022-11-05T12:15:28.133Z,3,2342,1115,1187,,,,
783,DR. ROBERT LING,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI,27,L,01500,parlimen,,KLH,2022-11-05T12:15:28.133Z,4,49465,1115,1187,,,,
619,DATO' SHAHANIM BINTI MOHAMAD YUSOFF,TIADA,1,P,01500,parlimen,,KLH,2022-11-05T12:15:28.133Z,5,27391,1115,1187,,,,
215,CIKGU JOHARI ABDULLAH,PESARA ADUN,31,L,01600,parlimen,,HD,2022-11-05T10:58:53.823Z,1,8636,29137,1141,,,,
419,LT KOL (B) BASIR,TIADA,25,L,01600,parlimen,,HD,2022-11-05T10:58:53.823Z,2,579,29137,1141,,,,
539,DATUK AZEEZ RAHIM,AHLI PERNIAGAAN,1,L,01600,parlimen,,KLH,2022-11-05T10:58:53.823Z,3,35356,29137,1141,,,,
588,USTAZ HASSAN,PESARA GURU,27,L,01600,parlimen,,MNG,2022-11-05T10:58:53.823Z,4,64493,29137,1141,,,,
1412,DATO' CIKGU AZMAN,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI KEDAH,27,L,01700,parlimen,,MNG,2022-11-24T11:10:05.090Z,1,51637,16260,753,,,,
1411,DATO SIVARAJ CHANDRAN,AHLI PERNIAGAAN,1,L,01700,parlimen,,HD,2022-11-24T11:10:05.090Z,2,2983,16260,753,,,,
1410,HAMZAH ABD RAHMAN,,25,L,01700,parlimen,,HD,2022-11-24T11:10:05.090Z,3,424,16260,753,,,,
1416,DR. SOFEE RAZAK,PEGUAM,31,L,01700,parlimen,,KLH,2022-11-24T11:10:05.090Z,4,35377,16260,753,,,,
1414,ANANDA AK,,20,L,01700,parlimen,24,HD,2022-11-24T11:10:05.090Z,5,846,16260,753,,,,
1413,MOHD BAKHRI BIN HAJI HASHIM,BERNIAGA,54,L,01700,parlimen,,HD,2022-11-24T11:10:05.090Z,6,149,16260,753,,,,
318,DATUK SERI SAIFUDDIN NASUTION ISMAIL,AHLI POLITIK SEPENUH MASA,31,L,01800,parlimen,,KLH,2022-11-05T11:12:53.497Z,1,21408,13061,938,,,,
837,CIKGU ROSLAN HASHIM,PESARA,27,L,01800,parlimen,,MNG,2022-11-05T11:12:53.497Z,2,34469,13061,938,,,,
779,RIZAL,AHLI PERNIAGAAN,25,L,01800,parlimen,,HD,2022-11-05T11:12:53.497Z,3,591,13061,938,,,,
861,DATUK MUHAR BIN HUSSAIN,BERNIAGA,1,L,01800,parlimen,,KLH,2022-11-05T11:12:53.497Z,4,13872,13061,938,,,,
