SOURCE_URL,NAME,AGE,RAW_AGE,PARTY,RAW_PARTY
http://pru.sinarharian.com.my/calon/2255/dr-muhammad-daud,PROFESSOR DR IR HJ MAT,,,PUTRA,PUTRA
http://pru.sinarharian.com.my/calon/8084/zahari-kechik,POK ZAHARI,,,PPBM,PPBM/BERSATU
http://pru.sinarharian.com.my/calon/8081/norwahida-patuan,NORWAHIDA PATUAN,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/8083/md-radzi-wahab,MD RADZI,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/2487/abdul-latiff-abdul-rahman,USTAZ LATIFF,,,PAS,PAS
http://pru.sinarharian.com.my/calon/8485/mohamed-zulkepli-bin-omar,ZUKI,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/8098/norashikin-che-omar,NORASHIKIN,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/5212/mohd-hisyamuddin-ghazali,SYAM GHAZ,,,PAN,AMANAH
http://pru.sinarharian.com.my/calon/28/tengku-razaleigh-hamzah,TENGKU RAZALEIGH HAMZAH,,,UMNO,UMNO
http://pru.sinarharian.com.my/calon/7972/mohd-azizi-abu-naim,MOHD AZIZI ABU NAIM,,,PPBM,PPBM/BERSATU
http://pru.sinarharian.com.my/calon/6400/samsu-adabi-mamat,DATO' DR. ADABI,,,PEJUANG,PEJUANG
http://pru.sinarharian.com.my/calon/7973/asharun-uji,ABE YO,,,PKR,PKR
