07801,HO CHI YANG,L,2022,http://pru.sinarharian.com.my/calon/8182/ho-chi-yang
07801,WONG YAP WAH,L,2022,http://pru.sinarharian.com.my/calon/8170/wong-yap-wah
07801,LAI CHII,L,2022,http://pru.sinarharian.com.my/calon/8241/lai-chii-wen
07802,ISMAIL BIN MOHD HUSSIN,L,2022,http://pru.sinarharian.com.my/calon/8242/ismail-bin-mohd-hussin
07802,DATO' SRI WAN ROSDY BIN WAN ISMAIL,L,64,http://pru.sinarharian.com.my/calon/1096/wan-rosdy-wan-ismail
07802,DR. ABDUL RASID,L,2022,http://pru.sinarharian.com.my/calon/2033/abdul-rasid
07903,RUZI @ NATA BIN YUSUFF,L,2022,http://pru.sinarharian.com.my/calon/8263/ruzi-nata-yusuff
07903,MUSTAPA LONG,L,61,http://pru.sinarharian.com.my/calon/1097/mustapa-long
07903,MOHD ROSTAM BIN MUSTAPHA,L,2022,http://pru.sinarharian.com.my/calon/8270/mohd-rostam-bin-mustapha
07903,KHAIDER KAMIL,L,2022,http://pru.sinarharian.com.my/calon/8266/khaider-kamil
07904,TUAN IBRAHIM,L,62,http://pru.sinarharian.com.my/calon/5364/tuan-ibrahim-tuan-man
07904,RASID BIN MUHAMAD,L,22,http://pru.sinarharian.com.my/calon/5345/rasid-muhamad
07904,AISHATON BINTI ABU BAKAR,P,2022,http://pru.sinarharian.com.my/calon/4096/aishaton-abu-bakar
07904,HO FONG MEE,L,58,http://pru.sinarharian.com.my/calon/8273/ho-fong-mee
07905,RIZAL BIN JAMIN,L,2022,http://pru.sinarharian.com.my/calon/3405/rizal-jamin
07905,DATO SRI SOFFI TAN SRI RAZAK,L,2022,http://pru.sinarharian.com.my/calon/470/mohd-soffi-abd-razak
07905,CIKGU EMBONG LIAS,L,2022,http://pru.sinarharian.com.my/calon/8304/embong-lias
08006,ABD AZIZ BIN MAT KIRAM,L,2022,http://pru.sinarharian.com.my/calon/8312/shahuddin-bin-abdul-rahman
08006,SHAHUDDIN BIN ABDUL RAHMAN,L,2022,http://pru.sinarharian.com.my/calon/8312/shahuddin-bin-abdul-rahman
08006,AHMAD SABRI BIN MAT DUI,L,2022,http://pru.sinarharian.com.my/calon/8318/ahmad-sabri-bin-mat-dui
08007,TENGKU ZULPURI SHAH BIN RAJA PUJI,L,58,http://pru.sinarharian.com.my/calon/3849/tengku-zulpuri-shah-raja-puji
08007,AMIRUL KUEK,L,2022,http://pru.sinarharian.com.my/calon/8327/amirul-mukminin-kuek-abdullah
08007,LIM TECK HOE,L,46,http://pru.sinarharian.com.my/calon/8320/lim-teck-hoe
08007,USTAZ TAHIR,L,2022,http://pru.sinarharian.com.my/calon/6598/mohd-tahir-kassim
08008,FADZLI BIN MOHAMAD KAMAL,L,2022,http://pru.sinarharian.com.my/calon/8340/fadzli-bin-mohamad-kamal
08008,MOHD JAWAAD,L,2022,http://pru.sinarharian.com.my/calon/8349/mohd-abd-jawaad-abd-ghafar-razmin
08008,TENGKU AMIR,L,2022,http://pru.sinarharian.com.my/calon/2761/tengku-shah-amir-tengku-perang
08109,TALIB TAHAR,L,2022,http://pru.sinarharian.com.my/calon/8375/mohd-abd-talib-mohd-tahar
08109,FAEZAH ISHAK,P,2022,http://pru.sinarharian.com.my/calon/8370/faezah-ishak
08109,USTAZ ZAKUAN,L,,
08110,FASAL JAMLUS,L,2022,http://pru.sinarharian.com.my/calon/8380/muhamad-fasal-jamlus
08110,MOHAMAD RAFLY BIN MOHD SATAR,L,2022,http://pru.sinarharian.com.my/calon/8386/mohamad-rafly-bin-mohd-satar
08110,IZZUDDIN BIN ISMAIL,L,2022,http://pru.sinarharian.com.my/calon/8393/izzuddin-bin-ismail
08110,ZURIDAN BIN MOHD DAUD,L,51,http://pru.sinarharian.com.my/calon/6631/zuridan-mohd-daud
08111,NORANI IJAM,L,2022,http://pru.sinarharian.com.my/calon/8402/norani-ijam
08111,MOHD ROSIDI BIN HASSAN,L,2022,http://pru.sinarharian.com.my/calon/8406/ridzuan-bin-mansor
08111,DATO' RIDZUAN BIN MANSOR,L,2022,http://pru.sinarharian.com.my/calon/8406/ridzuan-bin-mansor
08111,USTAZ YOHANIS,L,2022,http://pru.sinarharian.com.my/calon/2763/yohanis-ahmad
08111,DATO' HJ. NAZRI BIN NGAH,L,2022,http://pru.sinarharian.com.my/calon/8406/ridzuan-bin-mansor
08212,HAJI ZULKIFLI MOHAMED,L,2022,http://pru.sinarharian.com.my/calon/7750/zulkifli-mohamed
08212,JOSEPH TANG,L,2022,http://pru.sinarharian.com.my/calon/7773/joseph-yang-sain-yew
08212,DATO' INDERA HAJI MUSTAFFAR KAMAL BIN HAJI AB HAMID,L,2022,http://pru.sinarharian.com.my/calon/7755/mustaffar-kamal-ab-hamid
08212,ANDANSURA RABU,L,2022,http://pru.sinarharian.com.my/calon/2764/andansura-rabu
08212,CIKGU MOHD PAUZI,L,2022,http://pru.sinarharian.com.my/calon/7770/mohd-pauzi-taib
08213,CHAN CHUN KUANG,L,2022,http://pru.sinarharian.com.my/calon/7723/chan-chun-kuang
08213,HAJI KHAIRUL HISHAM B. OMAR,L,2022,http://pru.sinarharian.com.my/calon/7727/khairul-hisham-omar
08213,ZULFADLI ZAKARIAH,L,2022,http://pru.sinarharian.com.my/calon/7730/zulfadhli-zakariah
08213,DR RASHIDAH BINTI ABDUL RAHMAN,P,2022,http://pru.sinarharian.com.my/calon/7740/rashidah-abdul-rahman
08314,MISTY@TEE CHOON SER,P,41,http://pru.sinarharian.com.my/calon/5937/tee-choon-ser
08314,RANNDY YAP,L,2022,http://pru.sinarharian.com.my/calon/8418/ranndy-yap
08314,KHAIRUL AFIFIE BIN ABDULLAH,L,2022,http://pru.sinarharian.com.my/calon/8423/khairul-afifie-bin-abdullah
08314,SIM CHON SIANG,L,2022,http://pru.sinarharian.com.my/calon/3409/sim-chon-siang
08315,USTAZ ROSLI ABDUL JABAR,L,2022,http://pru.sinarharian.com.my/calon/2339/rosli-abdul-jabar
08315,NARA NORDIN,L,2022,http://pru.sinarharian.com.my/calon/8425/nara-nordin
08315,AB 'ALIM BIN RUSLAM AHMAD,L,2022,http://pru.sinarharian.com.my/calon/5621/sabrina-md-yusof
08315,HAJAH SABRINA,P,2022,http://pru.sinarharian.com.my/calon/5621/sabrina-md-yusof
08316,NORASHIKIN BINTI ISMAIL,P,2022,http://pru.sinarharian.com.my/calon/8453/norashikin-binti-ismail
08316,DATO' SRI HAJI SHAFIK FAUZAN BIN SHARIF,L,2022,http://pru.sinarharian.com.my/calon/5943/shafik-fauzan-sharif
08316,HAJI FAKHRUL ANUAR BIN ZULKAWI,L,2022,http://pru.sinarharian.com.my/calon/8453/norashikin-binti-ismail
08316,TOK HAFIZAL,L,2022,http://pru.sinarharian.com.my/calon/8451/mohd-hafizal-mohamed-shah
08417,MEJAR ANUAR TAJUDDIN (B),L,2022,http://pru.sinarharian.com.my/calon/7989/mejar-anuar-tajuddin-b
08417,DATO' HAJI UMOR ARBAIN BIN DOLLAH,L,2022,http://pru.sinarharian.com.my/calon/8247/umor-arbain-bin-dollah
08417,DATO SRI AHMAD OMAR,L,2022,http://pru.sinarharian.com.my/calon/8257/ahmad-omar
08417,AYUB ASHRI,L,2022,http://pru.sinarharian.com.my/calon/8260/ayub-ashri
08418,MOHD YAZID BIN MOHD YUNUS,L,2022,http://pru.sinarharian.com.my/calon/8262/mohd-yazid-bin-mohd-yunus
08418,Ir. ROSMINAHAR,L,2022,http://pru.sinarharian.com.my/calon/8020/rosminahar-bin-mohd-amin
08418,IBROHIM MAZALAN,L,39,http://pru.sinarharian.com.my/calon/8275/ibrohim-mazalan
08418,DATO' ABD RAHIM BIN MUDA,L,2022,http://pru.sinarharian.com.my/calon/8020/rosminahar-bin-mohd-amin
08419,FAUZIAH BINTI ABD WAHAB,P,2022,http://pru.sinarharian.com.my/calon/8289/fauziah-abd-wahab
08419,USTAZ MOHD TARMIZI YAHAYA,L,2022,http://pru.sinarharian.com.my/calon/6190/mohd-tarmizi-yahaya
08419,HASLINDALINA HASHIM,P,2022,http://pru.sinarharian.com.my/calon/8306/haslindalina-hashim
08419,AFIF SYAIROL,L,2022,http://pru.sinarharian.com.my/calon/6649/afif-syairol-abdul-rahim
08520,KHAIRUDDIN BIN MAHMUD,L,2022,http://pru.sinarharian.com.my/calon/1109/khairuddin-mahmud
08520,RAFIQ KHAN,L,2022,http://pru.sinarharian.com.my/calon/8325/mohammad-rafiq-khan-ahmad-khan
08520,KHAIRIL KHALID,L,2022,http://pru.sinarharian.com.my/calon/8334/khairil-khalid
08521,TUGIMON BIN ABDUL HAMID,L,2022,http://pru.sinarharian.com.my/calon/8339/tugimon-abdul-hamid
