Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HUSAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ FADHLI SHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO GHANI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NASRUL ALI HASAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
21,KUBANG BEMBAN 022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,1,288,16,187,76,1,280,8,0
21,KUBANG BEMBAN 022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,2,342,37,201,95,4,337,5,0
21,KUBANG BEMBAN 022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,3,491,41,350,96,1,488,3,0
21,KUBANG BEMBAN 022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,4,422,43,300,67,3,413,9,0
21,KUBANG BEMBAN 022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,5,405,32,293,78,0,403,2,0
21,KUBANG BEMBAN 022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,6,437,43,322,68,1,434,3,0
21,KUBANG BEMBAN 022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,7,454,52,325,74,1,452,2,0
21,KUBANG BEMBAN 022/12/03,SEKOLAH MENENGAH KEBANGSAAN KUBANG BEMBAN,8,532,60,374,94,1,529,3,0
22,KAMPUNG BHARU 022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),1,243,43,112,83,3,241,2,0
22,KAMPUNG BHARU 022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),2,324,68,161,84,6,319,5,0
22,KAMPUNG BHARU 022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),3,397,54,246,83,8,391,6,0
22,KAMPUNG BHARU 022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),4,363,48,243,61,4,356,7,0
22,KAMPUNG BHARU 022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),5,338,47,228,54,5,334,4,0
22,KAMPUNG BHARU 022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),6,369,37,269,58,4,368,1,0
22,KAMPUNG BHARU 022/12/04,SEKOLAH MENENGAH KEBANGSAAN SULTAN IBRAHIM (2),7,442,70,300,70,2,442,0,0
23,KAMPUNG DANGAR 022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),1,288,35,148,96,4,283,5,0
23,KAMPUNG DANGAR 022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),2,328,64,181,80,1,326,2,0
23,KAMPUNG DANGAR 022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),3,410,70,257,79,3,409,1,0
23,KAMPUNG DANGAR 022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),4,357,60,240,54,0,354,3,0
23,KAMPUNG DANGAR 022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),5,443,79,283,70,7,439,4,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.022 PASIR MAS
JUMLAH PEMILIH: 94,544                                                                                                                                                                                               MUKASURAT: 6/10",KAMPUNG DANGAR 022/12/05,SEKOLAH KEBANGSAAN SULTAN IBRAHIM (3),5,443,79,283,70,7,439,4,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",283,70,7,439,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK HUSAM,USTAZ FADHLI SHAARI,DATO GHANI,NASRUL ALI HASAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
24,PENGKALAN PASIR 022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),1,243,35,142,57,6,240,3,0
24,PENGKALAN PASIR 022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),2,331,70,176,69,10,325,6,0
24,PENGKALAN PASIR 022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),3,495,91,276,107,14,488,7,0
24,PENGKALAN PASIR 022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),4,455,58,320,66,11,455,0,0
24,PENGKALAN PASIR 022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),5,431,67,280,68,13,428,3,0
24,PENGKALAN PASIR 022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),6,501,70,321,99,8,498,3,0
25,BANDAR PASIR MAS 022/12/07,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (1),1,269,128,74,58,4,264,5,0
25,BANDAR PASIR MAS 022/12/07,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (1),2,279,107,113,55,3,278,1,0
25,BANDAR PASIR MAS 022/12/07,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (1),3,411,130,199,73,7,409,2,0
26,SLOW MACHANG 022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,1,289,19,196,66,3,284,5,0
26,SLOW MACHANG 022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,2,361,36,244,75,3,358,3,0
26,SLOW MACHANG 022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,3,339,38,219,75,4,336,3,0
26,SLOW MACHANG 022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,4,522,47,374,94,1,516,6,0
26,SLOW MACHANG 022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,5,473,41,344,81,4,470,3,0
26,SLOW MACHANG 022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,6,451,38,348,59,3,448,3,0
26,SLOW MACHANG 022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,7,498,38,382,73,2,495,3,0
26,SLOW MACHANG 022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,8,597,38,462,95,0,595,2,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.022 PASIR MAS
JUMLAH PEMILIH: 94,544                                                                                                                                                                                               MUKASURAT: 7/10",SLOW MACHANG 022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,8,597,38,462,95,0,595,2,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",462,95,0,595,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK HUSAM,USTAZ FADHLI SHAARI,DATO GHANI,NASRUL ALI HASAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
27,KASA 022/12/09,SEKOLAH KEBANGSAAN MEKASAR,5,236,24,151,52,3,230,6,0
27,KASA 022/12/09,SEKOLAH KEBANGSAAN MEKASAR,6,332,66,195,59,3,323,9,0
27,KASA 022/12/09,SEKOLAH KEBANGSAAN MEKASAR,7,336,51,228,51,3,333,3,0
27,KASA 022/12/09,SEKOLAH KEBANGSAAN MEKASAR,8,477,58,338,64,8,468,9,0
27,KASA 022/12/09,SEKOLAH KEBANGSAAN MEKASAR,9,451,72,308,62,5,447,4,0
27,KASA 022/12/09,SEKOLAH KEBANGSAAN MEKASAR,10,419,51,330,34,3,418,1,0
