Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK JAZLAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MEJAR (B) MAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) WAN AHMAD FAYHSAL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DR ROSLI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
33,BUKIT TIU 029/35/06,SEKOLAH KEBANGSAAN BUKIT TIU,1,355,192,2,147,10,351,0,4
33,BUKIT TIU 029/35/06,SEKOLAH KEBANGSAAN BUKIT TIU,2,473,239,0,206,20,465,8,0
33,BUKIT TIU 029/35/06,SEKOLAH KEBANGSAAN BUKIT TIU,3,454,236,0,195,18,449,5,0
33,BUKIT TIU 029/35/06,SEKOLAH KEBANGSAAN BUKIT TIU,4,503,240,0,220,39,499,4,0
34,ULU SAT 029/35/07,SEKOLAH KEBANGSAAN BELUKAR,1,342,149,3,164,15,331,11,0
34,ULU SAT 029/35/07,SEKOLAH KEBANGSAAN BELUKAR,2,489,203,1,259,21,484,5,0
34,ULU SAT 029/35/07,SEKOLAH KEBANGSAAN BELUKAR,3,509,216,0,257,29,502,7,0
35,BANGGOL JUDAH 029/35/08,SMU (A) AHMADIAH BANGGOL JUDAH,1,358,164,1,167,17,349,9,0
35,BANGGOL JUDAH 029/35/08,SMU (A) AHMADIAH BANGGOL JUDAH,2,431,173,1,230,18,422,9,0
35,BANGGOL JUDAH 029/35/08,SMU (A) AHMADIAH BANGGOL JUDAH,3,384,162,1,205,5,373,11,0
35,BANGGOL JUDAH 029/35/08,SMU (A) AHMADIAH BANGGOL JUDAH,4,441,186,1,231,21,439,2,0
36,BAKAR 029/35/09,SEKOLAH KEBANGSAAN AYER MERAH,1,357,141,1,197,10,349,8,0
36,BAKAR 029/35/09,SEKOLAH KEBANGSAAN AYER MERAH,2,459,189,1,249,12,451,8,0
36,BAKAR 029/35/09,SEKOLAH KEBANGSAAN AYER MERAH,3,437,169,0,246,14,429,8,0
36,BAKAR 029/35/09,SEKOLAH KEBANGSAAN AYER MERAH,4,494,225,1,256,9,491,2,1
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.029 MACHANG
JUMLAH PEMILIH: 88,825                                                                                                                                                                                                 MUKASURAT: 9/9",BAKAR 029/35/09,SEKOLAH KEBANGSAAN AYER MERAH,4,494,225,1,256,9,491,2,1
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",1,256,9,491,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK JAZLAN,MEJAR (B) MAT,WAN AHMAD FAYHSAL,DR ROSLI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
37,KEMUNING 029/35/10,SEKOLAH KEBANGSAAN AYER MERAH,5,315,128,0,168,13,309,6,0
37,KEMUNING 029/35/10,SEKOLAH KEBANGSAAN AYER MERAH,6,342,131,1,180,26,338,4,0
37,KEMUNING 029/35/10,SEKOLAH KEBANGSAAN AYER MERAH,7,482,157,0,293,28,478,4,0
37,KEMUNING 029/35/10,SEKOLAH KEBANGSAAN AYER MERAH,8,440,150,1,261,21,433,7,0
37,KEMUNING 029/35/10,SEKOLAH KEBANGSAAN AYER MERAH,9,505,204,1,275,23,503,2,0
38,CHERANG HANGUS 029/35/11,SEKOLAH KEBANGSAAN JAMBU LAWAR,1,292,137,0,142,9,288,4,0
38,CHERANG HANGUS 029/35/11,SEKOLAH KEBANGSAAN JAMBU LAWAR,2,295,112,1,170,10,293,2,0
38,CHERANG HANGUS 029/35/11,SEKOLAH KEBANGSAAN JAMBU LAWAR,3,330,142,1,172,15,330,0,0
39,KAMPUNG PEK 029/35/12,SEKOLAH MENENGAH KEBANGSAAN SERI INTAN,1,362,164,0,174,18,356,6,0
39,KAMPUNG PEK 029/35/12,SEKOLAH MENENGAH KEBANGSAAN SERI INTAN,2,434,166,1,236,21,424,10,0
39,KAMPUNG PEK 029/35/12,SEKOLAH MENENGAH KEBANGSAAN SERI INTAN,3,378,141,0,222,8,371,7,0
39,KAMPUNG PEK 029/35/12,SEKOLAH MENENGAH KEBANGSAAN SERI INTAN,4,443,187,0,232,19,438,5,0
40,KAMPUNG BUNUT 029/35/13,SEKOLAH MENENGAH KEBANGSAAN SERI INTAN,5,365,212,1,128,16,357,8,0
40,KAMPUNG BUNUT 029/35/13,SEKOLAH MENENGAH KEBANGSAAN SERI INTAN,6,361,152,0,184,14,350,11,0
40,KAMPUNG BUNUT 029/35/13,SEKOLAH MENENGAH KEBANGSAAN SERI INTAN,7,343,171,0,162,7,340,3,0
40,KAMPUNG BUNUT 029/35/13,SEKOLAH MENENGAH KEBANGSAAN SERI INTAN,8,393,199,0,176,14,389,4,0
JUMLAH,JUMLAH,JUMLAH,162,66024,25449,128,35603,3934,65114,733,177
