Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) PROFESSOR DR IR HJ MAT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) POK ZAHARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NORWAHIDA PATUAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) MD RADZI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
10,BATU GAJAH 030/36/06,SEKOLAH KEBANGSAAN BATU GAJAH,4,344,0,277,58,9,344,0,0
10,BATU GAJAH 030/36/06,SEKOLAH KEBANGSAAN BATU GAJAH,5,372,1,270,84,17,372,0,0
10,BATU GAJAH 030/36/06,SEKOLAH KEBANGSAAN BATU GAJAH,6,410,1,311,85,12,409,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.030 JELI
JUMLAH PEMILIH: 59,798                                                                                                                                                                                                 MUKASURAT: 3/6",BATU GAJAH 030/36/06,SEKOLAH KEBANGSAAN BATU GAJAH,6,410,1,311,85,12,409,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",311,85,12,409,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),PROFESSOR DR IR HJ MAT,POK ZAHARI,NORWAHIDA PATUAN,MD RADZI,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
11,ASAHAN 030/36/07,SEKOLAH MENENGAH KEBANGSAAN TAN SRI MOHAMED YAACOB,1,302,0,206,80,9,295,7,0
11,ASAHAN 030/36/07,SEKOLAH MENENGAH KEBANGSAAN TAN SRI MOHAMED YAACOB,2,337,0,255,64,8,327,10,0
11,ASAHAN 030/36/07,SEKOLAH MENENGAH KEBANGSAAN TAN SRI MOHAMED YAACOB,3,311,0,244,55,11,310,1,0
11,ASAHAN 030/36/07,SEKOLAH MENENGAH KEBANGSAAN TAN SRI MOHAMED YAACOB,4,365,0,283,76,6,365,0,0
12,LAWANG 030/36/08,SEKOLAH KEBANGSAAN LAWANG,1,346,0,204,129,10,343,3,0
12,LAWANG 030/36/08,SEKOLAH KEBANGSAAN LAWANG,2,345,0,212,124,5,341,4,0
12,LAWANG 030/36/08,SEKOLAH KEBANGSAAN LAWANG,3,517,0,331,170,11,512,5,0
12,LAWANG 030/36/08,SEKOLAH KEBANGSAAN LAWANG,4,494,0,324,145,15,484,10,0
12,LAWANG 030/36/08,SEKOLAH KEBANGSAAN LAWANG,5,476,1,326,123,18,468,8,0
12,LAWANG 030/36/08,SEKOLAH KEBANGSAAN LAWANG,6,533,1,380,134,16,531,2,0
