13401,13400,N.01,KUALA LINGGI,D,10912,15,1,603,1318,1209,1017,698,347,94,11,740,1318,1148,978,751,508,159,29
13402,13400,N.02,TANJUNG BIDARA,D,10130,0,3,740,1217,997,951,591,257,54,11,806,1248,1053,994,676,393,123,22
13403,13400,N.03,AYER LIMAU,D,11213,11,3,816,1357,943,951,767,283,95,26,872,1480,989,1120,846,445,211,26
13404,13400,N.04,LENDU,D,10226,333,2,810,1288,942,869,727,282,87,12,808,1363,979,981,758,443,181,31
13405,13400,N.05,TABOH NANING,D,8641,19,1,543,922,819,789,560,282,116,22,589,972,833,862,691,439,187,35
13506,13500,N.06,REMBIA,D,15679,75,2,1085,1981,1536,1310,982,457,125,20,1123,2016,1604,1452,1242,584,210,29
13507,13500,N.07,GADEK,D,12598,43,0,738,1342,1113,1117,957,461,182,44,735,1385,1127,1247,1154,685,296,58
13508,13500,N.08,MACHAP JAYA,D,12109,378,0,708,1582,1271,1355,925,383,136,26,697,1308,1153,1225,943,500,238,37
13509,13500,N.09,DURIAN TUNGGAL,D,13253,57,2,923,1688,1438,1203,789,338,112,20,945,1716,1437,1137,911,479,148,28
13510,13500,N.10,ASAHAN,D,15717,27,1,855,1879,1743,1341,982,552,213,28,953,1933,1664,1400,1153,718,291,40
13611,13600,N.11,SUNGAI UDANG,D,13217,9574,2,3476,5395,2389,1159,651,223,66,7,1359,3768,2078,1119,733,260,95,15
13612,13600,N.12,PANTAI KUNDOR,D,15461,5,3,992,1890,1618,1295,1015,487,134,27,1022,1954,1570,1395,1181,613,242,34
13613,13600,N.13,PAYA RUMPUT,D,26429,18,8,2231,3315,2791,2380,1428,529,131,12,2490,3490,2969,2431,1466,579,189,24
13614,13600,N.14,KELEBANG,D,19953,14,9,1170,2484,2029,1705,1361,709,180,37,1320,2429,1979,1772,1585,864,301,51
13715,13700,N.15,PENGKALAN BATU,D,20819,0,2,1224,2654,2031,1708,1404,716,167,31,1260,2611,2076,1957,1771,900,272,39
13716,13700,N.16,AYER KEROH,D,25198,739,8,1909,3416,2443,2202,1785,754,188,17,1908,3312,2576,2377,1914,849,261,34
13717,13700,N.17,BUKIT KATIL,D,25074,329,7,1775,3322,2534,2022,1598,763,218,25,1881,3280,2682,2267,1776,896,299,72
13718,13700,N.18,AYER MOLEK,D,17844,15,4,1388,2330,1703,1516,1054,429,125,15,1553,2414,1755,1629,1169,547,205,31
13819,13800,N.19,KESIDANG,D,37267,28,9,2230,4719,3947,3203,2388,1102,255,30,2542,4836,4153,3488,2718,1244,382,67
13820,13800,N.20,KOTA LAKSAMANA,D,28750,18,9,901,2517,2738,2796,2676,1508,487,115,928,2464,2760,2977,3027,1860,858,165
13821,13800,N.21,DUYONG,D,18228,0,9,1304,2185,1703,1541,1261,571,140,22,1418,2256,1751,1717,1438,656,237,37
13822,13800,N.22,BANDAR HILIR,D,19349,555,5,497,1630,1806,1994,1987,1200,375,141,453,1468,1777,2033,2191,1530,676,151
13823,13800,N.23,TELOK MAS,D,20693,13,6,1483,2550,2078,1747,1228,593,167,33,1676,2575,2152,1863,1510,786,235,36
13924,13900,N.24,BEMBAN,D,18332,238,3,1372,2325,1778,1605,1151,534,195,35,1453,2284,1843,1734,1275,668,281,40
13925,13900,N.25,RIM,D,13657,11,4,907,1481,1264,1330,977,401,146,29,969,1498,1293,1399,1088,581,268,41
13926,13900,N.26,SERKAM,D,15976,0,1,1302,1928,1676,1320,916,427,86,14,1388,2017,1658,1435,1042,543,188,37
13927,13900,N.27,MERLIMAU,D,13996,18,0,999,1652,1388,1279,843,366,119,18,1123,1648,1500,1343,968,547,192,29
13928,13900,N.28,SUNGAI RAMBAI,D,11828,7,2,824,1418,1196,1081,710,308,119,17,916,1444,1205,1078,822,439,225,35
