id,t,jp,pid,s,kid,kt,i,st,mi,nc,ju,mj,ut
4,ZAINAL BIN HASSAN,PESARA TENTERA,50,L,13402,dun,,HD,2021-11-08T10:51:12.437Z,2,489,364,77
50,DATUK SERI AB RAUF,,1,L,13402,dun,,MNG,2021-11-08T10:51:12.437Z,3,3559,364,77
90,MAS ERMIEYATI,TIMBALAN MENTERI,44,P,13402,dun,,KLH,2021-11-08T10:51:12.437Z,1,3195,364,77
1,YONG FUN JUAN,,1,L,13716,dun,,KLH,2021-11-08T10:52:14.027Z,3,3835,5624,201
19,KERK CHEE YEE,,50,L,13716,dun,,MNG,2021-11-08T10:52:14.027Z,2,9459,5624,201
22,MICHAEL GAN,,44,L,13716,dun,,KLH,2021-11-08T10:52:14.027Z,1,2479,5624,201
2,PATRICK NG CHIN KAE,AHLI PERNIAGAAN,44,L,13819,dun,,KLH,2021-11-08T10:53:43.653Z,2,3124,10237,269
3,SEAH SHOO CHIN (ALLEX SEAH),,50,L,13819,dun,,MNG,2021-11-08T10:53:43.653Z,1,14769,10237,269
7,LEONG HUI YING,TIADA,1,P,13819,dun,,KLH,2021-11-08T10:53:43.653Z,3,4532,10237,269
52,FONG KHAI LING,,44,P,13820,dun,,HD,2021-11-08T10:55:00.300Z,1,1190,11494,163
68,LOW CHEE LEONG,,50,L,13820,dun,,MNG,2021-11-08T10:55:00.300Z,3,13508,11494,163
76,BENJAMIN LOW CHIN HONG,,1,L,13820,dun,,HD,2021-11-08T10:55:00.300Z,2,2014,11494,163
113,CLARICE CHAN MING WANG,PENGURUS HARTANAH,44,P,13822,dun,,HD,2021-11-08T10:55:38.600Z,4,634,7778,226
70,MAK CHEE KIN,,20,L,13822,dun,004,HD,2021-11-08T10:55:38.600Z,1,159,7778,226
11,LEE KAH SEAN,,1,L,13822,dun,,HD,2021-11-08T10:55:38.600Z,3,1313,7778,226
24,LENG CHAU YEN,TIADA,50,P,13822,dun,,MNG,2021-11-08T10:55:38.600Z,2,9091,7778,226
6,DATUK WIRA MOHD RAFIQ NAIZAMOHIDEEN,,44,L,13823,dun,,KLH,2021-11-08T10:56:36.063Z,1,3976,2076,245
58,ARIFF ADLY,BERNIAGA,20,L,13823,dun,004,HD,2021-11-08T10:56:36.063Z,2,153,2076,245
54,DATUK ASHRAF MINGHAT,PESARA,50,L,13823,dun,,KLH,2021-11-08T10:56:36.063Z,3,3891,2076,245
82,ABDUL RAZAK BIN ABDUL RAHMAN,,1,L,13823,dun,,MNG,2021-11-08T10:56:36.063Z,4,6052,2076,245
78,DATUK KOH CHIN HAN,,1,L,13924,dun,,KLH,2021-11-08T10:57:43.103Z,5,3883,328,197
67,TEY KOK KIEW,TIADA,50,L,13924,dun,,KLH,2021-11-08T10:57:43.103Z,4,3095,328,197
47,AZMI KAMIS,PENGURUS BESAR,20,L,13924,dun,005,HD,2021-11-08T10:57:43.103Z,2,130,328,197
62,DR MOHD YADZIL BIN YAAKUB,TIADA,44,L,13924,dun,,MNG,2021-11-08T10:57:43.103Z,1,4211,328,197
23,NG CHOON KOON,,20,L,13924,dun,029,HD,2021-11-08T10:57:43.103Z,3,850,328,197
59,MOHAMAD ALI BIN MOHAMAD,TIADA,1,L,13611,dun,,KLH,2021-11-08T11:01:34.510Z,1,6259,530,409
72,DR. MOHD ALEEF BIN YUSOF,DOKTOR,44,L,13611,dun,,MNG,2021-11-08T11:01:34.510Z,2,6789,530,409
48,HASMORNI BINTI TAMBY,BEKERJA SENDIRI,50,P,13611,dun,,KLH,2021-11-08T11:01:34.510Z,3,2035,530,409
55,MOHD ZAHAR BIN HASHIM,,20,L,13611,dun,004,HD,2021-11-08T11:01:34.510Z,4,471,530,409
21,ZULKIFLEE BIN MOHD ZIN,TIADA,1,L,13405,dun,,MNG,2021-11-08T11:03:05.817Z,2,3170,1825,109
18,CIKGU HASHIM,,44,L,13405,dun,,KLH,2021-11-08T11:03:05.817Z,1,1345,1825,109
8,ZAIRI BIN SUBOH,BERNIAGA,50,L,13405,dun,,KLH,2021-11-08T11:03:05.817Z,3,1024,1825,109
13,DATO' DR AZLAN,,20,L,13926,dun,027,HD,2021-11-08T11:04:51.117Z,1,99,79,200
39,USTAZ MUHAMMAD,BERNIAGA,50,L,13926,dun,,KLH,2021-11-08T11:04:51.117Z,3,1535,79,200
43,USTAZ HAJI AHMAD BILAL,SENDIRI,44,L,13926,dun,,KLH,2021-11-08T11:04:51.117Z,2,4959,79,200
81,ZAIDI ATTAN,,1,L,13926,dun,,MNG,2021-11-08T11:04:51.117Z,4,5038,79,200
64,PRASANTH KUMAR BRAKASAM,TIADA,50,L,13925,dun,,KLH,2021-11-08T11:07:12.910Z,2,2163,1327,143
34,AZALINA ABDUL RAHMAN,TIADA,44,P,13925,dun,,KLH,2021-11-08T11:07:12.910Z,1,2710,1327,143
26,KHAIDHIRAH BINTI ABU ZAHAR,,1,P,13925,dun,,MNG,2021-11-08T11:07:12.910Z,3,4037,1327,143
