UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.194_N.21___1,SARAWAK,POSTAL VOTE,P.194,PETRA JAYA,N.21,TEBEDU,,UNDI POS,UNDI POS,1,109,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,74,,,,,0,74,1,34,,
P.194_N.21_199_21_00_1,SARAWAK,EARLY VOTE,P.194,PETRA JAYA,N.21,TEBEDU,199/21/00,UNDI AWAL,"DEWAN MUTIARA TEBEDU, BALAI POLIS TEBEDU",1,14,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,14,,,,,0,14,0,0,,
P.194_N.21_199_21_01_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.21,TEBEDU,199/21/01,BENTANG,SEK. KEB. ALL ST. PLAMAN NYABET,1,184,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,183,,,,,0,183,1,0,,
P.194_N.21_199_21_01_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.21,TEBEDU,199/21/01,BENTANG,SEK. KEB. ST. JOHN TAEE,1,266,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,263,,,,,0,263,3,0,,
P.194_N.21_199_21_01_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.21,TEBEDU,199/21/01,BENTANG,SEK. KEB. ST. JOHN TAEE,2,400,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,397,,,,,0,397,3,0,,
P.194_N.21_199_21_01_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.21,TEBEDU,199/21/01,BENTANG,SEK. KEB. PARUN SUAN,1,248,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,236,,,,,0,236,12,0,,
P.194_N.21_199_21_01_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.21,TEBEDU,199/21/01,BENTANG,SEK. KEB. PARUN SUAN,2,325,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,324,,,,,0,324,1,0,,
P.194_N.21_199_21_02_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.21,TEBEDU,199/21/02,LANCHANG,SEK. KEB. ST. MATHEW LANCHANG,1,382,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,379,,,,,0,379,3,0,,
P.194_N.21_199_21_02_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.21,TEBEDU,199/21/02,LANCHANG,SEK. KEB. ST. DOMINIC PICHIN,1,306,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,296,,,,,0,296,10,0,,
P.194_N.21_199_21_02_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.21,TEBEDU,199/21/02,LANCHANG,SEK. KEB. ST. DOMINIC PICHIN,2,321,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,321,,,,,0,321,0,0,,
