UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.193_N.05_193_05_04_3,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/04,BAKO,SEK. KEB. BAKO,3,330,BN,HAZLAND BIN ABG HIPNI,,,286,,,,,,,,PH (2),FIDZUAN ZAIDI,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,2,0,,
P.193_N.05_193_05_04_4,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/04,BAKO,SEK. KEB. BAKO,4,284,BN,HAZLAND BIN ABG HIPNI,,,251,,,,,,,,PH (2),FIDZUAN ZAIDI,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,1,0,,
P.193_N.05_193_05_04_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/04,BAKO,DEWAN HIJRAH 2008,1,422,BN,HAZLAND BIN ABG HIPNI,,,394,,,,,,,,PH (2),FIDZUAN ZAIDI,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,3,0,,
P.193_N.05_193_05_05_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/05,SEJINGKAT,SEK. KEB. SEJINGKAT,1,259,BN,HAZLAND BIN ABG HIPNI,,,230,,,,,,,,PH (2),FIDZUAN ZAIDI,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,3,0,,
P.193_N.05_193_05_05_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/05,SEJINGKAT,SEK. KEB. SEJINGKAT,2,292,BN,HAZLAND BIN ABG HIPNI,,,244,,,,,,,,PH (2),FIDZUAN ZAIDI,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,3,0,,
P.193_N.05_193_05_05_3,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/05,SEJINGKAT,SEK. KEB. SEJINGKAT,3,268,BN,HAZLAND BIN ABG HIPNI,,,234,,,,,,,,PH (2),FIDZUAN ZAIDI,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,8,0,,
P.193_N.05_193_05_05_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/05,SEJINGKAT,TADIKA KEMAS KPG. SEPAKAT JAYA,1,110,BN,HAZLAND BIN ABG HIPNI,,,96,,,,,,,,PH (2),FIDZUAN ZAIDI,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,1,0,,
P.193_N.05_193_05_06_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/06,SENARI,SEK. KEB. SENARI,1,407,BN,HAZLAND BIN ABG HIPNI,,,331,,,,,,,,PH (2),FIDZUAN ZAIDI,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,10,0,,
P.193_N.05_193_05_07_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/07,TANJONG BAKO,SEK. KEB. KPG. TANJONG BAKO,1,429,BN,HAZLAND BIN ABG HIPNI,,,364,,,,,,,,PH (2),FIDZUAN ZAIDI,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,1,0,,
P.193_N.05_193_05_08_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.05,DEMAK LAUT,193/05/08,PINGGAN JAYA,SEK. KEB. MUHIBBAH (SEBERANG PENDING),1,404,BN,HAZLAND BIN ABG HIPNI,,,369,,,,,,,,PH (2),FIDZUAN ZAIDI,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,12,0,,
