UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.195_N.09__1,SARAWAK,POSTAL VOTE,P.195,BANDAR KUCHING,N.09,PADUNGAN,,UNDI POS,UNDI POS,1,72,,,,,,,,PH (2),WONG KING WEI,,,7,BN,TEO KUANG KIM,,,0,PBDSB,PAU KIU SUNG,,,47,,,,,,,,,,,,,,,,,,,,,,,,54,4,14,,
P.195_N.09_195_09_00_1,SARAWAK,EARLY VOTE,P.195,BANDAR KUCHING,N.09,PADUNGAN,195/09/00,UNDI AWAL,"RUANG C, DEWAN BADMINTON, KOMPLEKS PERUMAHAN POLIS TABUAN JAYA",1,212,,,,,,,,PH (2),WONG KING WEI,,,6,BN,TEO KUANG KIM,,,2,PBDSB,PAU KIU SUNG,,,199,,,,,,,,,,,,,,,,,,,,,,,,207,5,0,,
P.195_N.09_195_09_01_1,SARAWAK,ORDINARY VOTE,P.195,BANDAR KUCHING,N.09,PADUNGAN,195/09/01,MARKET,SEK. MEN. KEB. ST. THOMAS KUCHING,1,174,,,,,,,,PH (2),WONG KING WEI,,,86,BN,TEO KUANG KIM,,,1,PBDSB,PAU KIU SUNG,,,83,,,,,,,,,,,,,,,,,,,,,,,,170,4,0,,
P.195_N.09_195_09_01_2,SARAWAK,ORDINARY VOTE,P.195,BANDAR KUCHING,N.09,PADUNGAN,195/09/01,MARKET,SEK. MEN. KEB. ST. THOMAS KUCHING,2,333,,,,,,,,PH (2),WONG KING WEI,,,187,BN,TEO KUANG KIM,,,5,PBDSB,PAU KIU SUNG,,,138,,,,,,,,,,,,,,,,,,,,,,,,330,3,0,,
P.195_N.09_195_09_01_3,SARAWAK,ORDINARY VOTE,P.195,BANDAR KUCHING,N.09,PADUNGAN,195/09/01,MARKET,SEK. MEN. KEB. ST. THOMAS KUCHING,3,329,,,,,,,,PH (2),WONG KING WEI,,,206,BN,TEO KUANG KIM,,,9,PBDSB,PAU KIU SUNG,,,113,,,,,,,,,,,,,,,,,,,,,,,,328,1,0,,
P.195_N.09_195_09_01_4,SARAWAK,ORDINARY VOTE,P.195,BANDAR KUCHING,N.09,PADUNGAN,195/09/01,MARKET,SEK. MEN. KEB. ST. THOMAS KUCHING,4,332,,,,,,,,PH (2),WONG KING WEI,,,251,BN,TEO KUANG KIM,,,6,PBDSB,PAU KIU SUNG,,,75,,,,,,,,,,,,,,,,,,,,,,,,332,0,0,,
P.195_N.09_195_09_01_5,SARAWAK,ORDINARY VOTE,P.195,BANDAR KUCHING,N.09,PADUNGAN,195/09/01,MARKET,SEK. MEN. KEB. ST. THOMAS KUCHING,5,331,,,,,,,,PH (2),WONG KING WEI,,,241,BN,TEO KUANG KIM,,,4,PBDSB,PAU KIU SUNG,,,82,,,,,,,,,,,,,,,,,,,,,,,,327,4,0,,
P.195_N.09_195_09_02_1,SARAWAK,ORDINARY VOTE,P.195,BANDAR KUCHING,N.09,PADUNGAN,195/09/02,BAZAAR,SEK. KEB. ST. MARY KUCHING,1,185,,,,,,,,PH (2),WONG KING WEI,,,100,BN,TEO KUANG KIM,,,1,PBDSB,PAU KIU SUNG,,,82,,,,,,,,,,,,,,,,,,,,,,,,183,2,0,,
P.195_N.09_195_09_02_2,SARAWAK,ORDINARY VOTE,P.195,BANDAR KUCHING,N.09,PADUNGAN,195/09/02,BAZAAR,SEK. KEB. ST. MARY KUCHING,2,362,,,,,,,,PH (2),WONG KING WEI,,,214,BN,TEO KUANG KIM,,,0,PBDSB,PAU KIU SUNG,,,148,,,,,,,,,,,,,,,,,,,,,,,,362,0,0,,
P.195_N.09_195_09_02_3,SARAWAK,ORDINARY VOTE,P.195,BANDAR KUCHING,N.09,PADUNGAN,195/09/02,BAZAAR,SEK. KEB. ST. MARY KUCHING,3,370,,,,,,,,PH (2),WONG KING WEI,,,251,BN,TEO KUANG KIM,,,3,PBDSB,PAU KIU SUNG,,,116,,,,,,,,,,,,,,,,,,,,,,,,370,0,0,,
