UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.192_N.02_192/02/06_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/06,BAU,SEK. JENIS KEB. CHUNG HUA BAU,1,208,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"87",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"115",,,,,,,,,,,202,6,0,,
P.192_N.02_192/02/06_2,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/06,BAU,SEK. JENIS KEB. CHUNG HUA BAU,2,406,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"200",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"202",,,,,,,,,,,402,4,0,,
P.192_N.02_192/02/06_3,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/06,BAU,SEK. JENIS KEB. CHUNG HUA BAU,3,403,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"226",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"176",,,,,,,,,,,402,1,0,,
P.192_N.02_192/02/06_4,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/06,BAU,SEK. JENIS KEB. CHUNG HUA BAU,4,383,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"210",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"171",,,,,,,,,,,381,2,0,,
P.192_N.02_192/02/06_5,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/06,BAU,SEK. JENIS KEB. CHUNG HUA BAU,5,335,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"195",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"138",,,,,,,,,,,333,2,0,,
P.192_N.02_192/02/07_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/07,SKIAT,BALAI RAYA KPG. SKIAT BARU,1,340,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"111",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"223",,,,,,,,,,,334,6,0,,
P.192_N.02_192/02/07_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/07,SKIAT,"SEK. KEB. BAU TAMAN MUTIara, BAU",1,324,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"191",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"126",,,,,,,,,,,317,7,0,,
P.192_N.02_192/02/08_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/08,JAGOI,BALAI RAYA KPG. DUYOH,1,479,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"149",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"320",,,,,,,,,,,469,10,0,,
P.192_N.02_192/02/09_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/09,DAUN,BALAI RAYA KPG. DAUN,1,305,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"115",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"184",,,,,,,,,,,299,6,0,,
P.192_N.02_192/02/09_2,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/09,DAUN,BALAI RAYA KPG. DAUN,2,312,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"113",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"195",,,,,,,,,,,308,4,0,,
P.192_N.02_192/02/10_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/10,TANJONG POTING,BALAI RAYA KPG. TANJONG POTING,1,302,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"112",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"183",,,,,,,,,,,295,7,0,,
P.192_N.02_192/02/10_2,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/10,TANJONG POTING,BALAI RAYA KPG. TANJONG POTING,2,257,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"91",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"162",,,,,,,,,,,253,4,0,,
P.192_N.02_192/02/11_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/11,ATAS,SEK. KEB. ATAS,1,395,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"171",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"217",,,,,,,,,,,388,7,0,,
P.192_N.02_192/02/12_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/12,BARIENG,BALAI RAYA KPG. BARIENG,1,161,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"69",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"90",,,,,,,,,,,159,2,0,,
P.192_N.02_192/02/13_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/13,SUDOH,DEWAN SERBAGUNA KPG. SUDOH,1,348,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"134",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"210",,,,,,,,,,,344,4,0,,
P.192_N.02_192/02/14_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/14,SEGONG,BALAI RAYA KPG. SEGONG,1,526,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"194",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"324",,,,,,,,,,,518,8,0,,
P.192_N.02_192/02/15_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/15,MUSI,SEK. JENIS KEB. CHUNG HUA MUSI,1,135,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"60",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"73",,,,,,,,,,,133,2,0,,
P.192_N.02_192/02/16_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/16,SUBA BUAN,SEK. KEB. SUBA BUAN,1,296,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"61",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"232",,,,,,,,,,,293,3,0,,
P.192_N.02_192/02/17_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/17,SUBA BAU,BALAI RAYA SUBA BANDAR,1,337,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"155",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"178",,,,,,,,,,,333,4,0,,
P.192_N.02_192/02/18_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/18,SIBULOH,BALAI RAYA KPG. SIBULOH,1,522,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"348",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"167",,,,,,,,,,,515,7,0,,
P.192_N.02_192/02/19_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/19,SEBUKU,SEK. JENIS KEB. CHUNG HUA SEBUKU,1,247,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"129",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"116",,,,,,,,,,,245,2,0,,
P.192_N.02_192/02/20_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/20,TAI TON,SEK. JENIS KEB. CHUNG HUA TAITON,1,367,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"237",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"129",,,,,,,,,,,366,1,0,,
P.192_N.02_192/02/21_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/21,STASS,SEK. KEB. STASS,1,529,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"331",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"192",,,,,,,,,,,523,6,0,,
P.192_N.02_192/02/22_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/22,SKIBANG,BALAI RAYA KPG. SKIBANG,1,338,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"146",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"185",,,,,,,,,,,331,7,0,,
P.192_N.02_192/02/23_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/23,SIBOBOG,SEK. KEB. KPG. SIBOBOG,1,206,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"117",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"85",,,,,,,,,,,202,4,0,,
P.192_N.02_192/02/24_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/24,SERASOT,SEK. KEB. KPG. SERASOT,1,558,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"279",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"270",,,,,,,,,,,549,9,0,,
P.192_N.02_192/02/25_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/25,SERIKIN,SEK. KEB. SERIKIN,1,332,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"130",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"197",,,,,,,,,,,327,5,0,,
P.192_N.02_192/02/26_1,SARAWAK,ORDINARY VOTE,P.192,MAS GADING,N.02,TASIK BIRU,192/02/26,BOGAG,BALAI RAYA KPG. BOGAG,1,357,,,,,"PKR","MORDI ANAK BIMOL","MALE",,"118",,,,,,,,,,,,,,"PBDSB","HENRY @ HARRY ANAK JINEP","MALE",,"230",,,,,,,,,,,348,9,0,,
