UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE NAME,BN CANDIDATE SEX,BN CANDIDATE AGE,PH (1),PH (1) CANDIDATE NAME,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (2),PH (2) CANDIDATE NAME,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PAS,PAS CANDIDATE NAME,PAS CANDIDATE SEX,PAS CANDIDATE AGE,STAR,STAR CANDIDATE NAME,STAR CANDIDATE SEX,STAR CANDIDATE AGE,PBDSB,PBDSB CANDIDATE NAME,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE NAME,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE NAME,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.193_N.03_193_03_07_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/07,LUNDU,DEWAN SUARAH LUNDU,1,270,258,ADENAN BIN SATEM,,,,,,,,,,,,11,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,269,1,0,,
P.193_N.03_193_03_07_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/07,LUNDU,DEWAN SUARAH LUNDU,2,266,252,ADENAN BIN SATEM,,,,,,,,,,,,14,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,266,0,0,,
P.193_N.03_193_03_07_3,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/07,LUNDU,DEWAN SUARAH LUNDU,3,305,288,ADENAN BIN SATEM,,,,,,,,,,,,13,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,301,4,0,,
P.193_N.03_193_03_07_4,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/07,LUNDU,DEWAN SUARAH LUNDU,4,324,297,ADENAN BIN SATEM,,,,,,,,,,,,25,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,322,2,0,,
P.193_N.03_193_03_08_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/08,PERIGI,SK NANGA DURI,1,213,211,ADENAN BIN SATEM,,,,,,,,,,,,1,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,212,1,0,,
P.193_N.03_193_03_09_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/09,SEKAMBAL,SK LUNDU,1,276,273,ADENAN BIN SATEM,,,,,,,,,,,,2,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,275,1,0,,
P.193_N.03_193_03_09_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/09,SEKAMBAL,SK LUNDU,2,313,306,ADENAN BIN SATEM,,,,,,,,,,,,6,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,312,1,0,,
P.193_N.03_193_03_10_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/10,BAJO,SK ST PATRICK,1,229,226,ADENAN BIN SATEM,,,,,,,,,,,,3,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,229,0,0,,
P.193_N.03_193_03_11_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/11,KAMPUNG SEBEMBAN,SMK LUNDU,1,314,304,ADENAN BIN SATEM,,,,,,,,,,,,8,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,312,2,0,,
P.193_N.03_193_03_11_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/11,KAMPUNG SEBEMBAN,SMK LUNDU,2,232,230,ADENAN BIN SATEM,,,,,,,,,,,,1,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,231,1,0,,
P.193_N.03_193_03_12_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/12,TEMELAN,SK MELAYU SAMPADI,1,314,312,ADENAN BIN SATEM,,,,,,,,,,,,1,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,313,1,0,,
P.193_N.03_193_03_13_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/13,SAMPADI,SMK SAMPADI,1,234,206,ADENAN BIN SATEM,,,,,,,,,,,,24,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,230,4,0,,
P.193_N.03_193_03_13_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/13,SAMPADI,SMK SAMPADI,2,222,200,ADENAN BIN SATEM,,,,,,,,,,,,17,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,217,5,0,,
P.193_N.03_193_03_14_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/14,STOH,SK TANJONG NIBONG,1,238,219,ADENAN BIN SATEM,,,,,,,,,,,,19,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,238,0,0,,
P.193_N.03_193_03_15_1,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/15,RAMBUNGAN,SK MELAYU RAMBUNGAN,1,212,186,ADENAN BIN SATEM,,,,,,,,,,,,25,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,211,1,0,,
P.193_N.03_193_03_15_2,SARAWAK,ORDINARY VOTE,P.193,SANTUBONG,N.03,TANJONG DATU,193/03/15,RAMBUNGAN,SK MELAYU RAMBUNGAN,2,220,189,ADENAN BIN SATEM,,,,,,,,,,,,28,JAZOLKIPLI BIN NUMAN,,,,,,,,,,,,,,,,,,,,217,3,0,,
