UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.215_N.61___1,SARAWAK,POSTAL VOTE,P.215,KAPIT,N.61,PELAGUS,,UNDI POS,UNDI POS,1,70,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,54,,,,,0,54,4,12,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,"RH. BUNYAU, PULAU PISANG",1,108,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,108,,,,,0,108,0,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,"RH. BARAOH, NG. SEMENUANG",1,148,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,147,,,,,0,147,1,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,"RH. JELANI, KERANGAN BANGAT, BATANG RAJANG",1,59,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,59,,,,,0,59,0,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,SEK. KEB. NG. ENCHEREMIN,1,203,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,198,,,,,0,198,5,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,RH. SELIONG,1,134,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,131,,,,,0,131,3,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,"RH. RABAR, NG. SETAPANG",1,64,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,64,,,,,0,64,0,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,"RH. JENGENG, NG. MELA",1,131,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,131,,,,,0,131,0,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,SEK. KEB. NG. PELAGUS,1,100,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,98,,,,,0,98,2,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,"RH. GARAI, NG. BENIN",1,106,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,105,,,,,0,105,1,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,SEK. KEB. ULU PELAGUS,1,107,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,105,,,,,0,105,2,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,"RH. EKONG, SG. PELAGUS",1,63,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,62,,,,,0,62,1,0,,
P.215_N.61_215_61_01_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/01,PELAGUS,"RH. GEORGE, SG. PELAGUS",1,101,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,100,,,,,0,100,1,0,,
P.215_N.61_215_61_02_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/02,SUNGAI AMANG,SEK. KEB. SG. AMANG,1,429,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,428,,,,,0,428,1,0,,
P.215_N.61_215_61_03_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/03,NANGA PERARAN,SEK. KEB. NG. PERARAN,1,224,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,218,,,,,0,218,6,0,,
P.215_N.61_215_61_03_1,SARAWAK,ORDINARY VOTE,P.215,KAPIT,N.61,PELAGUS,215/61/03,NANGA PERARAN,"RH. ALONG, NG. MEKEY",1,101,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,98,,,,,0,98,3,0,,
