UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.217_N.70_217/70/POS_1,SARAWAK,POSTAL VOTE,P.217,BINTULU,N.70,SAMALAJU,217/70/POS,UNDI POS,UNDI POS,1,49,PRS,MAJANG ANAK RENGGI,MALE,59,34,DAP,BABA ANAK EMPERAN,MALE,48,1,,,,,,PAS,ZHARUDIN,MALE,31,0,,,,,,,,,,,,,,,,,,,,,35,4,10,,
P.217_N.70_217/70/01_1,SARAWAK,ORDINARY VOTE,P.217,BINTULU,N.70,SAMALAJU,217/70/01,SIBIEW SIMILAJAU,SEK. KEB. KEM BATU 18 JLN. BINTULU-MIRI,1,277,PRS,MAJANG ANAK RENGGI,MALE,59,214,DAP,BABA ANAK EMPERAN,MALE,48,50,,,,,,PAS,ZHARUDIN,MALE,31,6,,,,,,,,,,,,,,,,,,,,,270,7,0,,
P.217_N.70_217/70/01_2,SARAWAK,ORDINARY VOTE,P.217,BINTULU,N.70,SAMALAJU,217/70/01,SIBIEW SIMILAJAU,SEK. KEB. KEM BATU 18 JLN. BINTULU-MIRI,2,479,PRS,MAJANG ANAK RENGGI,MALE,59,335,DAP,BABA ANAK EMPERAN,MALE,48,125,,,,,,PAS,ZHARUDIN,MALE,31,17,,,,,,,,,,,,,,,,,,,,,477,2,0,,
P.217_N.70_217/70/01_3,SARAWAK,ORDINARY VOTE,P.217,BINTULU,N.70,SAMALAJU,217/70/01,SIBIEW SIMILAJAU,SEK. KEB. KEM BATU 18 JLN. BINTULU-MIRI,3,448,PRS,MAJANG ANAK RENGGI,MALE,59,289,DAP,BABA ANAK EMPERAN,MALE,48,132,,,,,,PAS,ZHARUDIN,MALE,31,18,,,,,,,,,,,,,,,,,,,,,439,9,0,,
P.217_N.70_217/70/01_1,SARAWAK,ORDINARY VOTE,P.217,BINTULU,N.70,SAMALAJU,217/70/01,SIBIEW SIMILAJAU,SEK. KEB. SG. TISANG BATU 8,1,264,PRS,MAJANG ANAK RENGGI,MALE,59,177,DAP,BABA ANAK EMPERAN,MALE,48,70,,,,,,PAS,ZHARUDIN,MALE,31,7,,,,,,,,,,,,,,,,,,,,,254,10,0,,
P.217_N.70_217/70/01_2,SARAWAK,ORDINARY VOTE,P.217,BINTULU,N.70,SAMALAJU,217/70/01,SIBIEW SIMILAJAU,SEK. KEB. SG. TISANG BATU 8,2,380,PRS,MAJANG ANAK RENGGI,MALE,59,242,DAP,BABA ANAK EMPERAN,MALE,48,119,,,,,,PAS,ZHARUDIN,MALE,31,16,,,,,,,,,,,,,,,,,,,,,377,3,0,,
P.217_N.70_217/70/01_3,SARAWAK,ORDINARY VOTE,P.217,BINTULU,N.70,SAMALAJU,217/70/01,SIBIEW SIMILAJAU,SEK. KEB. SG. TISANG BATU 8,3,345,PRS,MAJANG ANAK RENGGI,MALE,59,223,DAP,BABA ANAK EMPERAN,MALE,48,111,,,,,,PAS,ZHARUDIN,MALE,31,9,,,,,,,,,,,,,,,,,,,,,343,2,0,,
P.217_N.70_217/70/01_4,SARAWAK,ORDINARY VOTE,P.217,BINTULU,N.70,SAMALAJU,217/70/01,SIBIEW SIMILAJAU,SEK. KEB. SG. TISANG BATU 8,4,312,PRS,MAJANG ANAK RENGGI,MALE,59,174,DAP,BABA ANAK EMPERAN,MALE,48,116,,,,,,PAS,ZHARUDIN,MALE,31,17,,,,,,,,,,,,,,,,,,,,,307,5,0,,
P.217_N.70_217/70/01_1,SARAWAK,ORDINARY VOTE,P.217,BINTULU,N.70,SAMALAJU,217/70/01,SIBIEW SIMILAJAU,SEK. JENIS KEB. SIBIEW CHINESE BATU 5,1,362,PRS,MAJANG ANAK RENGGI,MALE,59,112,DAP,BABA ANAK EMPERAN,MALE,48,239,,,,,,PAS,ZHARUDIN,MALE,31,7,,,,,,,,,,,,,,,,,,,,,358,4,0,,
P.217_N.70_217/70/02_1,SARAWAK,ORDINARY VOTE,P.217,BINTULU,N.70,SAMALAJU,217/70/02,TANJUNG KIDURONG,SEK. MEN. TEKNIK BINTULU,1,245,PRS,MAJANG ANAK RENGGI,MALE,59,152,DAP,BABA ANAK EMPERAN,MALE,48,77,,,,,,PAS,ZHARUDIN,MALE,31,14,,,,,,,,,,,,,,,,,,,,,243,2,0,,
