UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.216_N.65_216/65/POS_1,SARAWAK,POSTAL VOTE,P.216,HULU RAJANG,N.65,BELAGA,216/65/POS,UNDI POS,UNDI POS,1,66,PRS,LIWAN LAGANG,MALE,58,47,PKR,ALEXANDER LEHAN,MALE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,6,11,,
P.216_N.65_216/65/00_1,SARAWAK,EARLY VOTE,P.216,HULU RAJANG,N.65,BELAGA,216/65/00,UNDI AWAL,"PEJABAT CAWANGAN PIFOS, IPD BELAGA",1,54,PRS,LIWAN LAGANG,MALE,58,52,PKR,ALEXANDER LEHAN,MALE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,0,,
P.216_N.65_216/65/01_1,SARAWAK,ORDINARY VOTE,P.216,HULU RAJANG,N.65,BELAGA,216/65/01,DATA KAKUS,SEK. KEB. DATA KAKUS,1,244,PRS,LIWAN LAGANG,MALE,58,215,PKR,ALEXANDER LEHAN,MALE,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2,0,,
P.216_N.65_216/65/01_2,SARAWAK,ORDINARY VOTE,P.216,HULU RAJANG,N.65,BELAGA,216/65/01,DATA KAKUS,SEK. KEB. DATA KAKUS,2,203,PRS,LIWAN LAGANG,MALE,58,163,PKR,ALEXANDER LEHAN,MALE,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,0,0,,
P.216_N.65_216/65/02_1,SARAWAK,ORDINARY VOTE,P.216,HULU RAJANG,N.65,BELAGA,216/65/02,MERIT,SEK. KEB. NG. MERIT,1,217,PRS,LIWAN LAGANG,MALE,58,194,PKR,ALEXANDER LEHAN,MALE,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,2,0,,
P.216_N.65_216/65/02_2,SARAWAK,ORDINARY VOTE,P.216,HULU RAJANG,N.65,BELAGA,216/65/02,MERIT,SEK. KEB. NG. MERIT,2,204,PRS,LIWAN LAGANG,MALE,58,171,PKR,ALEXANDER LEHAN,MALE,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,2,0,,
P.216_N.65_216/65/02_1,SARAWAK,ORDINARY VOTE,P.216,HULU RAJANG,N.65,BELAGA,216/65/02,MERIT,RH. GUYANG NG. JELI,1,43,PRS,LIWAN LAGANG,MALE,58,41,PKR,ALEXANDER LEHAN,MALE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,1,0,,
P.216_N.65_216/65/02_1,SARAWAK,ORDINARY VOTE,P.216,HULU RAJANG,N.65,BELAGA,216/65/02,MERIT,RH. ENTILI NG. MUSA,1,88,PRS,LIWAN LAGANG,MALE,58,87,PKR,ALEXANDER LEHAN,MALE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,0,0,,
P.216_N.65_216/65/02_1,SARAWAK,ORDINARY VOTE,P.216,HULU RAJANG,N.65,BELAGA,216/65/02,MERIT,"CHURCH OF LIVING WATER KEM IRONWALL, ULU PILA",1,78,PRS,LIWAN LAGANG,MALE,58,77,PKR,ALEXANDER LEHAN,MALE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,1,0,,
P.216_N.65_216/65/02_1,SARAWAK,ORDINARY VOTE,P.216,HULU RAJANG,N.65,BELAGA,216/65/02,MERIT,RH. GENDANG SG. PILA*,1,40,PRS,LIWAN LAGANG,MALE,58,39,PKR,ALEXANDER LEHAN,MALE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,0,,
