UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.194_N.07_194_07_02_4,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/02,LINTANG,SEK. KEB. ENCIK BUYONG,4,283,,,,,BN,NANI BINTI SAHARI,,,8,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,220,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,2,0,,
P.194_N.07_194_07_03_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/03,KANDIS,KOLEJ DATUK PATINGGI ABANG ABDILLAH,1,206,,,,,BN,NANI BINTI SAHARI,,,8,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,172,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,7,0,,
P.194_N.07_194_07_03_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/03,KANDIS,KOLEJ DATUK PATINGGI ABANG ABDILLAH,2,414,,,,,BN,NANI BINTI SAHARI,,,26,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,341,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,1,0,,
P.194_N.07_194_07_03_3,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/03,KANDIS,KOLEJ DATUK PATINGGI ABANG ABDILLAH,3,414,,,,,BN,NANI BINTI SAHARI,,,17,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,347,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,5,0,,
P.194_N.07_194_07_03_4,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/03,KANDIS,KOLEJ DATUK PATINGGI ABANG ABDILLAH,4,340,,,,,BN,NANI BINTI SAHARI,,,15,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,270,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,8,0,,
P.194_N.07_194_07_03_5,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/03,KANDIS,KOLEJ DATUK PATINGGI ABANG ABDILLAH,5,338,,,,,BN,NANI BINTI SAHARI,,,16,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,278,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,1,0,,
P.194_N.07_194_07_04_1,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/04,SEMERAH PADI,SEK. MEN. KEB. SEMERAH PADI,1,261,,,,,BN,NANI BINTI SAHARI,,,5,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,224,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,2,0,,
P.194_N.07_194_07_04_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/04,SEMERAH PADI,SEK. MEN. KEB. SEMERAH PADI,2,463,,,,,BN,NANI BINTI SAHARI,,,13,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,389,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,4,0,,
P.194_N.07_194_07_04_3,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/04,SEMERAH PADI,SEK. MEN. KEB. SEMERAH PADI,3,416,,,,,BN,NANI BINTI SAHARI,,,22,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,315,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413,3,0,,
P.194_N.07_194_07_04_4,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.07,SAMARIANG,194/07/04,SEMERAH PADI,SEK. MEN. KEB. SEMERAH PADI,4,392,,,,,BN,NANI BINTI SAHARI,,,13,,,,,,,,PH (2),SHARIFAH HASIDAH BT SAYEED AMAN GHAZALI,,,309,PAS,USTAZ YUSOF AHMAD SHARKAWI,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,4,0,,
