UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.220_N.77___1,SARAWAK,POSTAL VOTE,P.220,BARAM,N.77,TELANG USAN,,UNDI POS,UNDI POS,1,19,,,,,7,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,,,,,0,8,0,11,,
P.220_N.77_220_77_00_1,SARAWAK,EARLY VOTE,P.220,BARAM,N.77,TELANG USAN,220/77/00,UNDI AWAL,"RUANG B, RUMAH PERKEP, IPD MARUDI",1,9,,,,,9,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,9,0,0,,
P.220_N.77_220_77_01_1,SARAWAK,ORDINARY VOTE,P.220,BARAM,N.77,TELANG USAN,220/77/01,LONG MIRI,SEK. KEB. LG. MIRI (DALEH LG. PELUTAN),1,301,,,,,155,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,142,,,,,0,297,4,0,,
P.220_N.77_220_77_01_1,SARAWAK,ORDINARY VOTE,P.220,BARAM,N.77,TELANG USAN,220/77/01,LONG MIRI,SEK. KEB. LG. TEPEN PELUTAN,1,107,,,,,66,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,40,,,,,0,106,1,0,,
P.220_N.77_220_77_01_1,SARAWAK,ORDINARY VOTE,P.220,BARAM,N.77,TELANG USAN,220/77/01,LONG MIRI,SEK. KEB. UMA BAWANG,1,159,,,,,55,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,104,,,,,0,159,0,0,,
P.220_N.77_220_77_01_1,SARAWAK,ORDINARY VOTE,P.220,BARAM,N.77,TELANG USAN,220/77/01,LONG MIRI,SEK. KEB. LG. PILAH,1,296,,,,,141,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,152,,,,,0,293,3,0,,
P.220_N.77_220_77_02_1,SARAWAK,ORDINARY VOTE,P.220,BARAM,N.77,TELANG USAN,220/77/02,PANA,RH. TK KALONG NUN LG. BUKEN,1,22,,,,,13,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,8,,,,,0,21,1,0,,
P.220_N.77_220_77_02_1,SARAWAK,ORDINARY VOTE,P.220,BARAM,N.77,TELANG USAN,220/77/02,PANA,RH. TK BITANG SAKAI LG. LIAW,1,9,,,,,5,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,4,,,,,0,9,0,0,,
P.220_N.77_220_77_02_1,SARAWAK,ORDINARY VOTE,P.220,BARAM,N.77,TELANG USAN,220/77/02,PANA,SEK. KEB. LG. PANA,1,121,,,,,66,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,53,,,,,0,119,2,0,,
P.220_N.77_220_77_02_1,SARAWAK,ORDINARY VOTE,P.220,BARAM,N.77,TELANG USAN,220/77/02,PANA,SEK. KEB. LG. SUBENG,1,103,,,,,59,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,43,,,,,0,102,1,0,,
