P.194_N.31_202/31/02_1f,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/02,KARA,SEK. KEB. ST. MARTIN LACHAU,1,313,PRS,MONG ANAK DAGANG,MALE,61,266,PKR,JUBRI ANAK ATAK,MALE,53,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,6,0,,
P.194_N.31_202/31/02_1g,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/02,KARA,RH. TANGGU KUBAU ILI,1,72,PRS,MONG ANAK DAGANG,MALE,61,58,PKR,JUBRI ANAK ATAK,MALE,53,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,0,0,,
P.194_N.31_202/31/02_1h,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/02,KARA,SEK. JENIS KEB. CHUNG HUA BANGKONG,1,188,PRS,MONG ANAK DAGANG,MALE,61,146,PKR,JUBRI ANAK ATAK,MALE,53,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,3,0,,
P.194_N.31_202/31/03_1a,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/03,MELUGU,DEWAN MASYARAKAT GUA,1,183,PRS,MONG ANAK DAGANG,MALE,61,160,PKR,JUBRI ANAK ATAK,MALE,53,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,1,0,,
P.194_N.31_202/31/03_1b,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/03,MELUGU,RH. JAWAN PANGGIL,1,203,PRS,MONG ANAK DAGANG,MALE,61,129,PKR,JUBRI ANAK ATAK,MALE,53,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,2,0,,
P.194_N.31_202/31/03_1c,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/03,MELUGU,BALAI RAYA RH. ANYAI ENTULANG,1,305,PRS,MONG ANAK DAGANG,MALE,61,264,PKR,JUBRI ANAK ATAK,MALE,53,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,1,0,,
P.194_N.31_202/31/03_1d,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/03,MELUGU,TEMUDOK AGRICULTURE STATION,1,146,PRS,MONG ANAK DAGANG,MALE,61,111,PKR,JUBRI ANAK ATAK,MALE,53,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,2,0,,
P.194_N.31_202/31/04_1a,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/04,KLAUH,"RH. KEDENI, BATU BESAI",1,148,PRS,MONG ANAK DAGANG,MALE,61,106,PKR,JUBRI ANAK ATAK,MALE,53,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,4,0,,
P.194_N.31_202/31/04_1b,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/04,KLAUH,BALAI RAYA RH. BERIKU PAKIT,1,266,PRS,MONG ANAK DAGANG,MALE,61,231,PKR,JUBRI ANAK ATAK,MALE,53,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,6,0,,
P.194_N.31_202/31/04_1c,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/04,KLAUH,SEK. KEB. SELEPONG,1,310,PRS,MONG ANAK DAGANG,MALE,61,257,PKR,JUBRI ANAK ATAK,MALE,53,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,7,0,,
P.194_N.31_202/31/04_1d,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/04,KLAUH,SEK. MEN. KEB. MELUGU,1,287,PRS,MONG ANAK DAGANG,MALE,61,225,PKR,JUBRI ANAK ATAK,MALE,53,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,10,0,,
P.194_N.31_202/31/04_2,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/04,KLAUH,SEK. MEN. KEB. MELUGU,2,297,PRS,MONG ANAK DAGANG,MALE,61,221,PKR,JUBRI ANAK ATAK,MALE,53,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,8,0,,
P.194_N.31_202/31/04_1e,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/04,KLAUH,RH. JUMAT PO AI ENGGAT,1,195,PRS,MONG ANAK DAGANG,MALE,61,161,PKR,JUBRI ANAK ATAK,MALE,53,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,1,0,,
P.194_N.31_202/31/05_1a,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/05,BUKIT BALAU,SEK. KEB. BAKONG,1,269,PRS,MONG ANAK DAGANG,MALE,61,245,PKR,JUBRI ANAK ATAK,MALE,53,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,7,1,,
P.194_N.31_202/31/05_2a,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/05,BUKIT BALAU,SEK. KEB. BAKONG,2,244,PRS,MONG ANAK DAGANG,MALE,61,217,PKR,JUBRI ANAK ATAK,MALE,53,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,3,0,,
P.194_N.31_202/31/05_1b,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/05,BUKIT BALAU,RH. LANGAU ANAK SELUMBANG JONGKONG PANJAI,1,54,PRS,MONG ANAK DAGANG,MALE,61,54,PKR,JUBRI ANAK ATAK,MALE,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,0,,
P.194_N.31_202/31/05_1c,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/05,BUKIT BALAU,RH. RESA AK GAYAU EMPELANJAU ASAL BAKONG,1,37,PRS,MONG ANAK DAGANG,MALE,61,31,PKR,JUBRI ANAK ATAK,MALE,53,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,0,,
P.194_N.31_202/31/05_1d,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/05,BUKIT BALAU,SEK. KEB. TANJONG BIJAT,1,269,PRS,MONG ANAK DAGANG,MALE,61,244,PKR,JUBRI ANAK ATAK,MALE,53,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,6,0,,
P.194_N.31_202/31/05_2b,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,202/31/05,BUKIT BALAU,SEK. KEB. TANJONG BIJAT,2,330,PRS,MONG ANAK DAGANG,MALE,61,283,PKR,JUBRI ANAK ATAK,MALE,53,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,9,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.194_N.31__33,SARAWAK,ORDINARY VOTE,P.194,PETRA JAYA,N.31,BUKIT BEGUNAN,,,,33,6547,BN,MONG ANAK DAGANG,MALE,61,5550,PH (1),JUBRI ANAK ATAK,MALE,53,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6405,125,17,,

P.194_N.32_202/32/POS_1,SARAWAK,POSTAL VOTE,P.194,PETRA JAYA,N.32,SIMANGGANG,202/32/POS,UNDI POS,UNDI POS,1,152,SUPP,FRANCIS HARDEN ANAK HOLLIS,MALE,60,86,PKR,NORINA UMOI UTOT,FEMALE,55,2,DAP,LEON JIMAT DONALD,MALE,42,6,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DATO DR NGU PIEW SENG,MALE,,9,,,,,,103,2,47,,
P.194_N.32_202/32/00_1,SARAWAK,EARLY VOTE,P.194,PETRA JAYA,N.32,SIMANGGANG,202/32/00,UNDI AWAL,"RUANG B, RUANG LEGAR, BAHAGIAN SIASATAN JENAYAH NARKOTIK IPD SRI AMAN",1,213,SUPP,FRANCIS HARDEN ANAK HOLLIS,MALE,60,183,PKR,NORINA UMOI UTOT,FEMALE,55,4,DAP,LEON JIMAT DONALD,MALE,42,0,,,,,,,,,,,,,,,,INDEPENDENT - KEY,DATO DR NGU PIEW SENG,MALE,,23,,,,,,210,3,0,,
