UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.199_N.34_203/34/POS_1,SARAWAK,POSTAL VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/POS,UNDI POS,UNDI POS,1,80,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,50,PKR,KOLIEN LIONG,MALE,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,5,18,,
P.199_N.34_203/34/00_1,SARAWAK,EARLY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/00,UNDI AWAL,"DEWAN BESAR, IPD LUBOK ANTU",1,29,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,29,PKR,KOLIEN LIONG,MALE,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,0,,
P.199_N.34_203/34/01_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/01,SEBANGKI,SEK. KEB. SEBANGKI,1,465,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,400,PKR,KOLIEN LIONG,MALE,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,7,0,,
P.199_N.34_203/34/02_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/02,LUBOK ANTU,SEK. MEN. KEB. LUBOK ANTU,1,334,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,218,PKR,KOLIEN LIONG,MALE,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,5,0,,
P.199_N.34_203/34/03_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/03,SEKAROK,SEK. KEB. SEKAROK,1,293,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,202,PKR,KOLIEN LIONG,MALE,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,9,0,,
P.199_N.34_203/34/04_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/04,KESIT,SEK. KEB. NG. KESIT,1,395,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,220,PKR,KOLIEN LIONG,MALE,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,3,0,,
P.199_N.34_203/34/04_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/04,KESIT,RH. LIMPENG LEPONG MAWANG KESIT,1,239,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,196,PKR,KOLIEN LIONG,MALE,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,3,0,,
P.199_N.34_203/34/05_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/05,ENGKARI,SEK. KEB. ULU ENGKARI,1,68,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,67,PKR,KOLIEN LIONG,MALE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,0,0,,
P.199_N.34_203/34/06_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/06,DELOK,SEK. KEB. NG. DELOK LUBOK ANTU,1,156,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,133,PKR,KOLIEN LIONG,MALE,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,2,0,,
P.199_N.34_203/34/07_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/07,KAONG,TADIKA KEMAS KAONG ULU,1,410,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,312,PKR,KOLIEN LIONG,MALE,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,8,0,,
P.199_N.34_203/34/08_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/08,EMPIT,SEK. KEB. MELABAN EMPIT,1,389,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,300,PKR,KOLIEN LIONG,MALE,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,8,0,,
P.199_N.34_203/34/09_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/09,KUMPANG,SEK. KEB. NG. AUP,1,133,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,79,PKR,KOLIEN LIONG,MALE,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,1,0,,
P.199_N.34_203/34/10_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/10,KLAMPU,"RH. RENGGIE, BUKONG",1,162,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,125,PKR,KOLIEN LIONG,MALE,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,2,0,,
P.199_N.34_203/34/11_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/11,SAYAT,SEK. KEB. NG. KUMPANG,1,410,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,325,PKR,KOLIEN LIONG,MALE,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,4,0,,
P.199_N.34_203/34/12_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/12,KUTAI,SEK. KEB. LUBOK ANTU,1,254,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,195,PKR,KOLIEN LIONG,MALE,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,3,0,,
P.199_N.34_203/34/12_2,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/12,KUTAI,SEK. KEB. LUBOK ANTU,2,213,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,150,PKR,KOLIEN LIONG,MALE,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,5,0,,
P.199_N.34_203/34/13_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/13,MEPI,SEK. KEB. BATANG AI,1,389,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,302,PKR,KOLIEN LIONG,MALE,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,6,0,,
P.199_N.34_203/34/14_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/14,JELA,TADIKA KEMAS NG. JELA,1,372,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,229,PKR,KOLIEN LIONG,MALE,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,2,0,,
P.199_N.34_203/34/15_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/15,SEMPANG,TADIKA KEMAS SEMPANG,1,127,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,79,PKR,KOLIEN LIONG,MALE,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,1,0,,
P.199_N.34_203/34/16_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/16,BERTIK,DEWAN SERBAGUNA SALCRA SPS BATANG AI,1,127,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,96,PKR,KOLIEN LIONG,MALE,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,6,0,,
P.199_N.34_203/34/17_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/17,KRANGAN MONG,TADIKA KEMAS KRANGAN MONG,1,133,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,105,PKR,KOLIEN LIONG,MALE,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,3,0,,
P.199_N.34_203/34/18_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/18,ENSAWANG,DEWAN SERBAGUNA SALCRA SKIM BATU KAYA,1,272,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,205,PKR,KOLIEN LIONG,MALE,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,13,0,,
P.199_N.34_203/34/18_2,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/18,ENSAWANG,DEWAN SERBAGUNA SALCRA SKIM BATU KAYA,2,238,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,151,PKR,KOLIEN LIONG,MALE,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,5,0,,
P.199_N.34_203/34/19_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/19,KACHONG,SEK. KEB. NG. MENYEBAT,1,180,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,124,PKR,KOLIEN LIONG,MALE,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,2,0,,
P.199_N.34_203/34/20_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/20,PATOH,PEJABAT PERTANIAN NG. PATOH,1,128,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,73,PKR,KOLIEN LIONG,MALE,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,1,0,,
P.199_N.34_203/34/21_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/21,BILARARAP,SEK. KEB. ULU LEMANAK NG. UYAU,1,145,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,41,PKR,KOLIEN LIONG,MALE,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,6,0,,
P.199_N.34_203/34/22_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/22,SEPAYA,SEK. KEB. NG. TIBU,1,292,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,259,PKR,KOLIEN LIONG,MALE,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,1,0,,
P.199_N.34_203/34/23_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/23,GUGU,RH. INTANG MENGILING,1,225,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,167,PKR,KOLIEN LIONG,MALE,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,5,0,,
P.199_N.34_203/34/24_1,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,203/34/24,NENYANG,SESCO TOWNSHIP HALL,1,58,PRS,MALCOM MUSSEN ANAK LAMOH,MALE,57,52,PKR,KOLIEN LIONG,MALE,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.199_N.34__29,SARAWAK,ORDINARY VOTE,P.199,SERIAN,N.34,BATANG AI,,,,29,6716,BN,MALCOM MUSSEN ANAK LAMOH,MALE,57,4884,PH (1),KOLIEN ANAK LIONG,MALE,,1698,,,,,0,,,,,0,,,,,0,,,,,0,,,,,6582,,,,,0,6582,116,18,,
