P.211_N.51_211/51/POS_1,SARAWAK,POSTAL VOTE,P.211,LANANG,N.51,BUKIT ASSEK,211/51/POS,UNDI POS,UNDI POS,1,287,SUPP,CHIENG BUONG TOON,MALE,,189,DAP,IRENE CHANG,FEMALE,51,24,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,0,,,,,,,,,,,,,,,,213,37,37,,
P.211_N.51_211/51/01_1,SARAWAK,ORDINARY VOTE,P.211,LANANG,N.51,BUKIT ASSEK,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,1,174,SUPP,CHIENG BUONG TOON,MALE,,66,DAP,IRENE CHANG,FEMALE,51,101,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,3,,,,,,,,,,,,,,,,170,4,0,,
P.211_N.51_211/51/01_2,SARAWAK,ORDINARY VOTE,P.211,LANANG,N.51,BUKIT ASSEK,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,2,389,SUPP,CHIENG BUONG TOON,MALE,,155,DAP,IRENE CHANG,FEMALE,51,209,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,6,,,,,,,,,,,,,,,,370,19,0,,
P.211_N.51_211/51/01_3,SARAWAK,ORDINARY VOTE,P.211,LANANG,N.51,BUKIT ASSEK,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,3,387,SUPP,CHIENG BUONG TOON,MALE,,145,DAP,IRENE CHANG,FEMALE,51,233,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,4,,,,,,,,,,,,,,,,382,5,0,,
P.211_N.51_211/51/01_4,SARAWAK,ORDINARY VOTE,P.211,LANANG,N.51,BUKIT ASSEK,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,4,404,SUPP,CHIENG BUONG TOON,MALE,,121,DAP,IRENE CHANG,FEMALE,51,273,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,8,,,,,,,,,,,,,,,,402,2,0,,
P.211_N.51_211/51/01_5,SARAWAK,ORDINARY VOTE,P.211,LANANG,N.51,BUKIT ASSEK,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,5,386,SUPP,CHIENG BUONG TOON,MALE,,95,DAP,IRENE CHANG,FEMALE,51,281,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,8,,,,,,,,,,,,,,,,384,2,0,,
P.211_N.51_211/51/01_6,SARAWAK,ORDINARY VOTE,P.211,LANANG,N.51,BUKIT ASSEK,211/51/01,TIONG HUA,SEK. KEB. PERBANDARAN SIBU NO. 4 JLN. OYA,6,367,SUPP,CHIENG BUONG TOON,MALE,,82,DAP,IRENE CHANG,FEMALE,51,270,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,13,,,,,,,,,,,,,,,,365,2,0,,
P.211_N.51_211/51/02_1,SARAWAK,ORDINARY VOTE,P.211,LANANG,N.51,BUKIT ASSEK,211/51/02,TONG SANG,SEK. JENIS KEB. SACRED HEART CHINESE JLN. BUKIT ASSEK,1,195,SUPP,CHIENG BUONG TOON,MALE,,88,DAP,IRENE CHANG,FEMALE,51,98,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,6,,,,,,,,,,,,,,,,192,3,0,,
P.211_N.51_211/51/02_2,SARAWAK,ORDINARY VOTE,P.211,LANANG,N.51,BUKIT ASSEK,211/51/02,TONG SANG,SEK. JENIS KEB. SACRED HEART CHINESE JLN. BUKIT ASSEK,2,440,SUPP,CHIENG BUONG TOON,MALE,,159,DAP,IRENE CHANG,FEMALE,51,273,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,5,,,,,,,,,,,,,,,,437,3,0,,
P.211_N.51_211/51/02_3,SARAWAK,ORDINARY VOTE,P.211,LANANG,N.51,BUKIT ASSEK,211/51/02,TONG SANG,SEK. JENIS KEB. SACRED HEART CHINESE JLN. BUKIT ASSEK,3,417,SUPP,CHIENG BUONG TOON,MALE,,133,DAP,IRENE CHANG,FEMALE,51,273,,,,,,,,,,,STAR,MOH HIONG KING,MALE,46,9,,,,,,,,,,,,,,,,415,2,0,,
