BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ABE JOE,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ADIK MAD,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
11,024/17/10,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR SALOR,4,368,232,134,366,2,0
12,024/17/11,DEWAN,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,1,319,218,94,312,7,0
12,024/17/11,DEWAN,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,2,368,255,102,357,10,1
12,024/17/11,DEWAN,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,3,326,252,74,326,0,0
12,024/17/11,DEWAN,SEKOLAH MENENGAH KEBANGSAAN DEWAN BETA,4,392,271,117,388,2,2
13,024/17/12,BETA HILIR,SEKOLAH KEBANGSAAN DEWAN BETA,1,307,210,96,306,1,0
13,024/17/12,BETA HILIR,SEKOLAH KEBANGSAAN DEWAN BETA,2,374,266,106,372,2,0
13,024/17/12,BETA HILIR,SEKOLAH KEBANGSAAN DEWAN BETA,3,290,215,71,286,4,0
13,024/17/12,BETA HILIR,SEKOLAH KEBANGSAAN DEWAN BETA,4,293,207,84,291,2,0
13,024/17/12,BETA HILIR,SEKOLAH KEBANGSAAN DEWAN BETA,5,380,263,117,380,0,0
14,024/17/13,LUBOK JAMBU,SEKOLAH KEBANGSAAN MULONG,1,320,259,57,316,4,0
14,024/17/13,LUBOK JAMBU,SEKOLAH KEBANGSAAN MULONG,2,245,205,40,245,0,0
14,024/17/13,LUBOK JAMBU,SEKOLAH KEBANGSAAN MULONG,3,300,234,64,298,2,0
15,024/17/14,KAMPUNG KOR,SEKOLAH KEBANGSAAN KOR,1,318,230,85,315,3,0
15,024/17/14,KAMPUNG KOR,SEKOLAH KEBANGSAAN KOR,2,407,308,96,404,3,0
15,024/17/14,KAMPUNG KOR,SEKOLAH KEBANGSAAN KOR,3,333,262,68,330,3,0
15,024/17/14,KAMPUNG KOR,SEKOLAH KEBANGSAAN KOR,4,372,282,85,367,5,0
16,024/17/15,BETA HULU,SEKOLAH KEBANGSAAN BETA HULU,1,314,244,68,312,2,0
16,024/17/15,BETA HULU,SEKOLAH KEBANGSAAN BETA HULU,2,399,311,88,399,0,0
16,024/17/15,BETA HULU,SEKOLAH KEBANGSAAN BETA HULU,3,302,257,45,302,0,0
16,024/17/15,BETA HULU,SEKOLAH KEBANGSAAN BETA HULU,4,375,291,82,373,2,0
17,024/17/16,KEDAI PIAH,SEKOLAH KEBANGSAAN KEDAI PIAH,1,324,269,55,324,0,0
17,024/17/16,KEDAI PIAH,SEKOLAH KEBANGSAAN KEDAI PIAH,2,385,320,63,383,1,1
17,024/17/16,KEDAI PIAH,SEKOLAH KEBANGSAAN KEDAI PIAH,3,317,263,52,315,2,0
17,024/17/16,KEDAI PIAH,SEKOLAH KEBANGSAAN KEDAI PIAH,4,380,310,70,380,0,0
JUMLAH,,,,67,22545,15893,6433,22326,159,60
