BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) KAK YAH,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) HAJI MIE,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
15,025/21/13,TANGOK,SEKOLAH MENENGAH KEBANGSAAN DATO' PERDANA,1,306,148,156,304,1,1
15,025/21/13,TANGOK,SEKOLAH MENENGAH KEBANGSAAN DATO' PERDANA,2,396,150,246,396,0,0
15,025/21/13,TANGOK,SEKOLAH MENENGAH KEBANGSAAN DATO' PERDANA,3,311,105,204,309,2,0
15,025/21/13,TANGOK,SEKOLAH MENENGAH KEBANGSAAN DATO' PERDANA,4,267,90,176,266,1,0
15,025/21/13,TANGOK,SEKOLAH MENENGAH KEBANGSAAN DATO' PERDANA,5,384,127,254,381,3,0
16,025/21/14,RUSA,SEKOLAH MENENGAH KEBANGSAAN (AGAMA) TOK BACHOK,1,322,137,184,321,1,0
16,025/21/14,RUSA,SEKOLAH MENENGAH KEBANGSAAN (AGAMA) TOK BACHOK,2,453,162,290,452,1,0
16,025/21/14,RUSA,SEKOLAH MENENGAH KEBANGSAAN (AGAMA) TOK BACHOK,3,346,88,258,346,0,0
16,025/21/14,RUSA,SEKOLAH MENENGAH KEBANGSAAN (AGAMA) TOK BACHOK,4,426,125,297,422,4,0
17,025/21/15,TELONG,SEKOLAH MENENGAH KEBANGSAAN KANDIS,1,332,89,239,328,4,0
17,025/21/15,TELONG,SEKOLAH MENENGAH KEBANGSAAN KANDIS,2,294,51,241,292,2,0
17,025/21/15,TELONG,SEKOLAH MENENGAH KEBANGSAAN KANDIS,3,291,51,238,289,2,0
17,025/21/15,TELONG,SEKOLAH MENENGAH KEBANGSAAN KANDIS,4,317,53,264,317,0,0
18,025/21/16,KANDIS,SEKOLAH KEBANGSAAN KANDIS,1,327,123,197,320,7,0
18,025/21/16,KANDIS,SEKOLAH KEBANGSAAN KANDIS,2,346,119,225,344,2,0
18,025/21/16,KANDIS,SEKOLAH KEBANGSAAN KANDIS,3,401,111,290,401,0,0
18,025/21/16,KANDIS,SEKOLAH KEBANGSAAN KANDIS,4,344,70,271,341,3,0
18,025/21/16,KANDIS,SEKOLAH KEBANGSAAN KANDIS,5,348,88,258,346,2,0
18,025/21/16,KANDIS,SEKOLAH KEBANGSAAN KANDIS,6,412,107,305,412,0,0
JUMLAH,,,,72,25344,7330,17779,25109,204,31
