BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) AHMAD DERAMAN (ABE MAT JELIRA),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' FARID,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
9,026/25/07,PANGKAL KALONG,SEKOLAH KEBANGSAAN PANGKAL KALONG,4,366,86,279,365,1,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,1,299,96,201,297,2,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,2,356,131,221,352,4,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,3,349,124,223,347,2,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,4,502,122,378,500,2,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,5,409,101,308,409,0,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,6,348,85,261,346,2,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,7,310,83,227,310,0,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,8,299,77,222,299,0,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,9,325,106,217,323,2,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,10,395,120,275,395,0,0
10,026/25/08,KEDAI KOK LANAS,SEKOLAH KEBANGSAAN KOK LANAS,11,495,141,352,493,1,1
