BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) TOK NAN,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ROZI MUHAMAD,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) ABE HARIRI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
13,022/11/11,KAMPUNG HUTAN PASIR,SEKOLAH MENENGAH KEBANGSAAN TANJONG BUNGA,5,325,16,201,108,325,0,0
14,022/11/12,TENDONG,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),1,308,15,166,126,307,1,0
14,022/11/12,TENDONG,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),2,341,12,184,144,340,1,0
14,022/11/12,TENDONG,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),3,417,20,250,146,416,1,0
14,022/11/12,TENDONG,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),4,320,22,223,73,318,2,0
14,022/11/12,TENDONG,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),5,328,30,204,93,327,1,0
14,022/11/12,TENDONG,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),6,345,32,203,110,345,0,0
14,022/11/12,TENDONG,SEKOLAH KEBANGSAAN OTHMAN TALIB (1),7,450,35,281,133,449,1,0
15,022/11/13,KEDONDONG,SEKOLAH MENENGAH KEBANGSAAN KEDONDONG,1,238,11,140,87,238,0,0
15,022/11/13,KEDONDONG,SEKOLAH MENENGAH KEBANGSAAN KEDONDONG,2,297,2,196,98,296,1,0
16,022/11/14,KAMPUNG CHAT,SEKOLAH KEBANGSAAN GELANG MAS,1,293,5,179,106,290,3,0
16,022/11/14,KAMPUNG CHAT,SEKOLAH KEBANGSAAN GELANG MAS,2,341,7,220,108,335,6,0
16,022/11/14,KAMPUNG CHAT,SEKOLAH KEBANGSAAN GELANG MAS,3,365,4,233,123,360,5,0
16,022/11/14,KAMPUNG CHAT,SEKOLAH KEBANGSAAN GELANG MAS,4,306,6,198,98,302,4,0
16,022/11/14,KAMPUNG CHAT,SEKOLAH KEBANGSAAN GELANG MAS,5,323,10,224,85,319,4,0
16,022/11/14,KAMPUNG CHAT,SEKOLAH KEBANGSAAN GELANG MAS,6,413,10,275,128,413,0,0
JUMLAH,,,,60,20175,1086,12360,6514,19960,189,26
