BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) DATO' YUSRI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) LOYAR ZAMERI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) BABA ZUL,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
15,025/22/13,MAHLIGAI,SEKOLAH KEBANGSAAN PAK BADOL,1,272,90,173,3,266,6,0
15,025/22/13,MAHLIGAI,SEKOLAH KEBANGSAAN PAK BADOL,2,307,86,214,3,303,4,0
15,025/22/13,MAHLIGAI,SEKOLAH KEBANGSAAN PAK BADOL,3,315,67,243,1,311,4,0
15,025/22/13,MAHLIGAI,SEKOLAH KEBANGSAAN PAK BADOL,4,307,63,237,5,305,2,0
15,025/22/13,MAHLIGAI,SEKOLAH KEBANGSAAN PAK BADOL,5,378,62,311,4,377,1,0
16,025/22/14,PAK BADOL,SEKOLAH MENENGAH KEBANGSAAN PAK BADOL,1,298,100,191,5,296,2,0
16,025/22/14,PAK BADOL,SEKOLAH MENENGAH KEBANGSAAN PAK BADOL,2,342,74,260,7,341,1,0
16,025/22/14,PAK BADOL,SEKOLAH MENENGAH KEBANGSAAN PAK BADOL,3,253,61,185,7,253,0,0
16,025/22/14,PAK BADOL,SEKOLAH MENENGAH KEBANGSAAN PAK BADOL,4,312,78,234,0,312,0,0
17,025/22/15,SERDANG,SEKOLAH KEBANGSAAN KOLAM,1,313,121,186,5,312,1,0
17,025/22/15,SERDANG,SEKOLAH KEBANGSAAN KOLAM,2,408,109,293,5,407,1,0
18,025/22/16,KOLAM,SMU (A) DARUL ULUM MUHAMMADIAH KOLAM,1,323,108,211,1,320,3,0
18,025/22/16,KOLAM,SMU (A) DARUL ULUM MUHAMMADIAH KOLAM,2,413,122,288,1,411,2,0
18,025/22/16,KOLAM,SMU (A) DARUL ULUM MUHAMMADIAH KOLAM,3,398,119,277,1,397,1,0
19,025/22/17,KUBANG TELAGA,SEKOLAH KEBANGSAAN KUBANG TELAGA,1,346,134,209,1,344,2,0
19,025/22/17,KUBANG TELAGA,SEKOLAH KEBANGSAAN KUBANG TELAGA,2,275,85,187,1,273,2,0
19,025/22/17,KUBANG TELAGA,SEKOLAH KEBANGSAAN KUBANG TELAGA,3,290,91,192,5,288,2,0
20,025/22/18,KAMPUNG BAKONG,SEKOLAH KEBANGSAAN BAKONG,1,349,106,239,2,347,2,0
20,025/22/18,KAMPUNG BAKONG,SEKOLAH KEBANGSAAN BAKONG,2,385,84,298,1,383,2,0
20,025/22/18,KAMPUNG BAKONG,SEKOLAH KEBANGSAAN BAKONG,3,389,83,301,2,386,3,0
JUMLAH,,,,73,24674,7277,16885,277,24439,199,36
