BIL.,KODDM,NAMADM,NAMA PUSAT MENGUNDI,NO. TEMPAT MENGUNDI (SALURAN),JUMLAH KERTAS UNDI YANG PATUT BERADA DI DALAM PETI UNDI (A),BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) WAN ROHIMI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) CIKGU HJ. AZMI,BILANGAN UNDIAN OLEH PEMILIH BAGI SETIAP ORANG CALON YANG BERTANDING (B) JUMLAH UNDIAN OLEH PEMILIH,BILANGAN KERTAS UNDI YANG DITOLAK (C),JUMLAH KERTAS UNDI YANG DIKELUARKAN KEPADA PENGUNDI TETAPI TIDAK DIMASUKKAN KE DALAM PETI UNDI (D)
7,026/23/05,PADANG RAJA,SEKOLAH MENENGAH KEBANGSAAN AGAMA MELOR,3,322,263,59,322,0,0
7,026/23/05,PADANG RAJA,SEKOLAH MENENGAH KEBANGSAAN AGAMA MELOR,4,343,271,72,343,0,0
7,026/23/05,PADANG RAJA,SEKOLAH MENENGAH KEBANGSAAN AGAMA MELOR,5,397,282,115,397,0,0
8,026/23/06,MELOR,SEKOLAH MENENGAH KEBANGSAAN MELOR,1,309,204,101,305,4,0
8,026/23/06,MELOR,SEKOLAH MENENGAH KEBANGSAAN MELOR,2,448,320,122,442,6,0
8,026/23/06,MELOR,SEKOLAH MENENGAH KEBANGSAAN MELOR,3,424,298,126,424,0,0
9,026/23/07,MELOR LAMA,SEKOLAH KEBANGSAAN SRI MELOR,1,310,211,97,308,2,0
9,026/23/07,MELOR LAMA,SEKOLAH KEBANGSAAN SRI MELOR,2,430,323,107,430,0,0
9,026/23/07,MELOR LAMA,SEKOLAH KEBANGSAAN SRI MELOR,3,422,323,97,420,2,0
10,026/23/08,TEGAYONG,SEKOLAH KEBANGSAAN TEGAYONG,1,303,190,111,301,2,0
10,026/23/08,TEGAYONG,SEKOLAH KEBANGSAAN TEGAYONG,2,337,204,133,337,0,0
10,026/23/08,TEGAYONG,SEKOLAH KEBANGSAAN TEGAYONG,3,430,280,146,426,4,0
10,026/23/08,TEGAYONG,SEKOLAH KEBANGSAAN TEGAYONG,4,383,281,100,381,2,0
10,026/23/08,TEGAYONG,SEKOLAH KEBANGSAAN TEGAYONG,5,373,268,104,372,1,0
10,026/23/08,TEGAYONG,SEKOLAH KEBANGSAAN TEGAYONG,6,454,345,108,453,1,0
11,026/23/09,PANGKAL PISANG,SEKOLAH KEBANGSAAN RAJA ABDULLAH,1,329,203,124,327,2,0
11,026/23/09,PANGKAL PISANG,SEKOLAH KEBANGSAAN RAJA ABDULLAH,2,404,269,134,403,1,0
11,026/23/09,PANGKAL PISANG,SEKOLAH KEBANGSAAN RAJA ABDULLAH,3,423,279,141,420,3,0
JUMLAH,,,,49,18246,12688,5405,18093,127,26
