Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :WONG KING WEI,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :TEO KUANG KIM,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :PAU KIU SUNG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
7,195/09/05,DESHON,"SEK. JENIS KEB. CHUNG HUA NO.3, JLN. PADUNGAN (KANAN)",6,386,289,2,94,385,1,0
8,195/09/06,SEKAMA,SEK. KEB. LUMBA KUDA KUCHING (KANAN),1,177,95,2,79,176,1,0
8,195/09/06,SEKAMA,SEK. KEB. LUMBA KUDA KUCHING (KANAN),2,255,167,3,85,255,0,0
8,195/09/06,SEKAMA,SEK. KEB. LUMBA KUDA KUCHING (KANAN),3,237,168,1,65,234,3,0
9,195/09/07,BUKIT TUAN,SEK. KEB. BATU LINTANG KUCHING,1,156,88,5,62,155,1,0
9,195/09/07,BUKIT TUAN,SEK. KEB. BATU LINTANG KUCHING,2,307,205,2,95,302,5,0
9,195/09/07,BUKIT TUAN,SEK. KEB. BATU LINTANG KUCHING,3,308,210,3,94,307,1,0
9,195/09/07,BUKIT TUAN,SEK. KEB. BATU LINTANG KUCHING,4,281,189,2,90,281,0,0
10,195/09/08,KINYANG,"SEK. KEB. CATHOLIC ENGLISH KUCHING, GREEN ROAD",1,340,235,2,102,339,1,0
11,195/09/09,ELLIS,SEK. MEN. KEB. PADUNGAN (BLOK A),1,198,111,2,81,194,4,0
11,195/09/09,ELLIS,SEK. MEN. KEB. PADUNGAN (BLOK A),2,292,192,0,99,291,1,0
11,195/09/09,ELLIS,SEK. MEN. KEB. PADUNGAN (BLOK A),3,281,142,2,137,281,0,0
12,195/09/10,BAN HOCK,SEK. KEB. SONG KHENG HAI (BLOK B),1,214,117,0,96,213,1,0
12,195/09/10,BAN HOCK,SEK. KEB. SONG KHENG HAI (BLOK B),2,360,202,2,152,356,4,0
12,195/09/10,BAN HOCK,SEK. KEB. SONG KHENG HAI (BLOK B),3,356,235,2,117,354,2,0
12,195/09/10,BAN HOCK,SEK. KEB. SONG KHENG HAI (BLOK B),4,336,212,3,121,336,0,0
13,195/09/11,LUMBA KUDA,SEK. MEN. KEB. PADUNGAN (BLOK B),1,218,107,2,109,218,0,0
13,195/09/11,LUMBA KUDA,SEK. MEN. KEB. PADUNGAN (BLOK B),2,332,182,1,149,332,0,0
14,195/09/12,CENTRAL,"SEK. JENIS KEB. CHUNG HUA NO.3, JLN. PADUNGAN (KIRI)",1,219,116,0,101,217,2,0
14,195/09/12,CENTRAL,"SEK. JENIS KEB. CHUNG HUA NO.3, JLN. PADUNGAN (KIRI)",2,380,253,3,122,378,2,0
15,195/09/13,PETANAK,SEK. KEB. LUMBA KUDA KUCHING (KIRI),1,188,119,0,65,184,4,0
15,195/09/13,PETANAK,SEK. KEB. LUMBA KUDA KUCHING (KIRI),2,416,305,4,105,414,2,0
15,195/09/13,PETANAK,SEK. KEB. LUMBA KUDA KUCHING (KIRI),3,419,334,3,81,418,1,0
JUMLAH,,,,49,14602,9332,116,5062,14510,78,14
