Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :DATU DR. PENGUANG MANGGIL,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :LOUIS JALONG,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ELIA BIT,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
6,220/76/04,BELURU,SEK. JENIS KEB. HUA KWONG BAKONG,1,301,174,0,124,298,3,0
6,220/76/04,BELURU,"DEWAN SERBAGUNA KPG. MELAYU, BELURU",1,178,129,1,34,164,14,0
6,220/76/04,BELURU,"RH. MORGAN, SG. NIPA, BAKONG",1,150,99,0,51,150,0,0
6,220/76/04,BELURU,"RH. LINGGIE, SG. URONG BAKONG",1,70,29,0,41,70,0,0
6,220/76/04,BELURU,SEK. KEB. SELEPIN,1,263,152,1,103,256,7,0
6,220/76/04,BELURU,"RH. SABA AK BAGUS, SELEPIN ATAS",1,76,52,0,21,73,3,0
6,220/76/04,BELURU,SEK. KEB. LAONG,1,221,99,3,116,218,3,0
6,220/76/04,BELURU,RH. EDWARD GANI SG. TEMAM,1,100,62,1,35,98,2,0
6,220/76/04,BELURU,SEK. KEB. KELABIT BAKONG,1,92,44,0,47,91,1,0
6,220/76/04,BELURU,RH. BANTAN SG. LUTONG ATAS,1,50,22,0,27,49,1,0
6,220/76/04,BELURU,"RH. DRAHMAM, SG. LUTONG ATAS",1,95,48,1,44,93,2,0
6,220/76/04,BELURU,"RH. JANTING SG. LUTONG BAWAH, BAKONG",1,57,36,0,19,55,2,0
6,220/76/04,BELURU,"RH. ALI SG. SEBUKUT, BAKONG",1,64,40,1,23,64,0,0
6,220/76/04,BELURU,SEK. KEB. BAKAS,1,124,95,0,29,124,0,0
6,220/76/04,BELURU,RH. PENGIRAN DAMIT SG. MANGKA BAKONG,1,260,160,2,98,260,0,0
7,220/76/05,TERUKING,SEK. KEB. PEMANCA ENTERI,1,377,221,3,148,372,5,0
7,220/76/05,TERUKING,RH. RIGGIE ANAK BELULOK SG. NAT ULU TERU,1,187,140,0,42,182,5,0
7,220/76/05,TERUKING,SEK. KEB. TANJONG MAWANG,1,344,184,1,154,339,5,0
7,220/76/05,TERUKING,SEK. KEB. SG. BAIN,1,173,75,1,97,173,0,0
7,220/76/05,TERUKING,"RH. BANYAH AK BANYI, SG. SEBUBU",1,97,79,1,17,97,0,0
7,220/76/05,TERUKING,SEK. KEB. SG. SEBATU,1,105,56,1,47,104,1,0
7,220/76/05,TERUKING,SEK. KEB. PEKING,1,217,107,3,105,215,2,0
8,220/76/06,LONG TERU,RH. JAMU NG. SERIDAN,1,30,14,1,14,29,1,0
8,220/76/06,LONG TERU,RH. NYIGA SG. NIRU,1,95,91,0,2,93,2,0
8,220/76/06,LONG TERU,RH. BALANG LG. TUYUT,1,143,29,0,113,142,1,0
8,220/76/06,LONG TERU,RH. HILLARY JUNGANG NG. AJOI,1,154,100,2,49,151,3,0
8,220/76/06,LONG TERU,"RH. KAJAN SIGEH LG. TERU, TINJAR",1,107,53,2,52,107,0,0
8,220/76/06,LONG TERU,"RH. MERAN SURANG, LOGAN BUNUT",1,51,21,0,30,51,0,0
8,220/76/06,LONG TERU,RH. MUSIN SEBATANG BOK,1,227,130,0,97,227,0,0
8,220/76/06,LONG TERU,SEK. KEB. LG. SPELLING,1,76,38,1,35,74,2,0
9,220/76/07,JEGAN,RH. MALINA NG. TISAM,1,160,56,1,102,159,1,0
9,220/76/07,JEGAN,SEK. KEB. LG. JEGAN,1,179,98,3,76,177,2,0
9,220/76/07,JEGAN,SEK. KEB. LG. TERAN,1,347,97,0,245,342,5,0
9,220/76/07,JEGAN,SEK. KEB. SG. SEPUTI,1,216,109,4,99,212,4,0
9,220/76/07,JEGAN,SEK. KEB. LAPOK TINJAR,1,295,118,2,165,285,10,0
JUMLAH,,,,60,9807,5493,56,4106,9655,131,21
