id,t,jp,pid,s,kid,kt,i,st,mi,nc,ju,mj,ut
402,ROLAND ENGAN,PEGUAM,31,L,22000,parlimen,,,2022-11-05T10:46:52.663Z,2,0,0,
573,WILFREDENTIKA,,20,L,22000,parlimen,029,,2022-11-05T10:46:52.663Z,3,0,0,
416,ALVIN CHANG,,27,L,14200,parlimen,,,2022-11-05T10:47:43.030Z,1,0,0,
342,PANG HOK LIONG,,31,L,14200,parlimen,,,2022-11-05T10:47:43.030Z,2,0,0,
97,CHUA TEE YONG,,1,L,14200,parlimen,,,2022-11-05T10:47:43.030Z,3,0,0,
112,SAIFUL FAIZAL,,25,L,14100,parlimen,,,2022-11-05T10:49:58.210Z,5,0,0,
122,UZZAIR BIN ISMAIL,,27,L,14100,parlimen,,,2022-11-05T10:49:58.210Z,2,0,0,
10,DR. ZALIHA MUSTAFA,,31,P,14100,parlimen,,,2022-11-05T10:49:58.210Z,4,0,0,
257,DR. MOHD ZOHAR,,54,L,14100,parlimen,,,2022-11-05T10:49:58.210Z,3,0,0,
154,MD SALLEHEEN BIN MOHAMAD,,1,L,14100,parlimen,,,2022-11-05T10:49:58.210Z,1,0,0,
186,HAJI ZU,TIADA,20,L,02500,parlimen,029,,2022-11-05T10:49:58.710Z,3,0,0,
115,DATUK HAJI ZAIN,BERNIAGA,1,L,02500,parlimen,,,2022-11-05T10:49:58.710Z,5,0,0,
340,CIKGU ZAM,PENIAGA,34,L,02500,parlimen,,,2022-11-05T10:49:58.710Z,4,0,0,
813,SYAHIR SULAIMAN,TIADA,2,L,02500,parlimen,,,2022-11-05T10:49:58.710Z,1,0,0,
870,NOR AZMIZA MAMAT,PENGUSAHA TADIKA,31,P,02500,parlimen,,,2022-11-05T10:49:58.710Z,2,0,0,
299,USTAZ ZAMANI IBRAHIM,,25,L,13300,parlimen,,,2022-11-05T10:50:19.157Z,2,0,0,
19,MOHD ISAM BIN MOHD ISA,ADUN GEMENCHEH,1,L,13300,parlimen,,,2022-11-05T10:50:19.157Z,1,0,0,
69,FAIZ FADZIL,PEGUAM,31,L,13300,parlimen,,,2022-11-05T10:50:19.157Z,4,0,0,
152,MEJAR (B) ABDUL HALIM,,27,L,13300,parlimen,,,2022-11-05T10:50:19.157Z,3,0,0,
256,DATO KAMARUDIN JAFFAR,TIMBALAN MENTERI,27,L,12400,parlimen,,,2022-11-05T10:50:46.543Z,3,0,0,
108,DATO' SERI DR WAN AZIZAH BINTI WAN ISMAIL,TIADA,31,P,12400,parlimen,,,2022-11-05T10:50:46.543Z,1,0,0,
354,DATUK CHEW YIN KEEN,PEGUAM,1,L,12400,parlimen,,,2022-11-05T10:50:46.543Z,2,0,0,
421,DATUK ZAIN,TIADA,7,L,02300,parlimen,,,2022-11-05T10:50:54.187Z,3,0,0,
513,DR SHAH,TIADA,31,L,02300,parlimen,,,2022-11-05T10:50:54.187Z,5,0,0,
39,DATO' DR. IBRAHIM ALI,PESARA,34,L,02300,parlimen,,,2022-11-05T10:50:54.187Z,1,0,0,
197,PROF UST ZUL,PESARA,1,L,02300,parlimen,,,2022-11-05T10:50:54.187Z,4,0,0,
599,KAK LAH,TIMBALAN MENTERI (SEMENTARA),2,P,02300,parlimen,,,2022-11-05T10:50:54.187Z,2,0,0,
288,USTAZ AZHAR,TIADA,31,L,03700,parlimen,,,2022-11-05T10:51:44.140Z,4,0,0,
8,JASMIRA OTHMAN,PEGUAM SYARIE,1,L,03700,parlimen,,,2022-11-05T10:51:44.140Z,2,0,0,
133,DR.ZARAWI BIN SULONG,USAHAWAN,25,L,03700,parlimen,,,2022-11-05T10:51:44.140Z,3,0,0,
414,TUAN GURU HAJI ABDUL HADI AWANG,TIADA,2,L,03700,parlimen,,,2022-11-05T10:51:44.140Z,1,0,0,
417,USTAZ MOHD NOOR SHAHAR,BEKERJA SENDIRI,27,L,09600,parlimen,,,2022-11-05T10:51:57.580Z,4,0,0,
527,TENGKU ZAFRUL AZIZ,,1,L,09600,parlimen,,,2022-11-05T10:51:57.580Z,1,0,0,
626,YB SHAID ROSLI ,AHLI PERNIAGAAN ,25,L,09600,parlimen,,,2022-11-05T10:51:57.580Z,2,0,0,
694,DS DR DZULKEFLY BIN AHMAD,,31,L,09600,parlimen,,,2022-11-05T10:51:57.580Z,3,0,0,
25,DATUK JASON TEOH,,1,L,16200,parlimen,,,2022-11-05T10:52:27.453Z,2,0,0,
168,JASHEN TAN,,27,L,16200,parlimen,,,2022-11-05T10:52:27.453Z,1,0,0,
179,LIEW CHIN TONG,,31,L,16200,parlimen,,,2022-11-05T10:52:27.453Z,3,0,0,
201,MUAZ ABDULLAH,,31,L,00700,parlimen,,,2022-11-05T10:52:31.800Z,3,0,0,
75,USTAZ NURUL AMIN,,27,L,00700,parlimen,,,2022-11-05T10:52:31.800Z,4,0,0,
477,MAHDZIR BIN KHALID,,1,L,00700,parlimen,,,2022-11-05T10:52:31.800Z,2,0,0,
302,RAZALI BIN LEBAI SALLEH,,25,L,00700,parlimen,,,2022-11-05T10:52:31.800Z,1,0,0,
125,DATO' ARMISHAH SIRAJ (DAS),,1,L,00400,parlimen,,,2022-11-05T10:52:54.563Z,4,0,0,
15,MAHATHIR BIN MOHAMAD,PESARA ,25,L,00400,parlimen,,,2022-11-05T10:52:54.563Z,3,0,0,
213,DATO PADUKA ABD KADIR,,20,L,00400,parlimen,021,,2022-11-05T10:52:54.563Z,1,0,0,
294,MOHD SUHAIMI BIN ABDULLAH,,27,L,00400,parlimen,,,2022-11-05T10:52:54.563Z,2,0,0,
248,ZABIDI YAHYA,,31,L,00400,parlimen,,,2022-11-05T10:52:54.563Z,5,0,0,
238,AIZUDDIN ARIFFIN,,31,L,00600,parlimen,,,2022-11-05T10:53:13.527Z,2,0,0,
161,HASMUNI BIN HASSAN (TOK MUNI),,1,L,00600,parlimen,,,2022-11-05T10:53:13.527Z,4,0,0,
535,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,,27,L,00600,parlimen,,,2022-11-05T10:53:13.527Z,1,0,0,
838,AMIRUDDIN HAMZAH (TOK MET),,25,L,00600,parlimen,,,2022-11-05T10:53:13.527Z,3,0,0,
853,ABANG HALIL,PESARA,31,L,19700,parlimen,,,2022-11-05T10:54:43.647Z,2,0,0,
451,DATUK HJH RUBIAH BINTI WANG,TIADA,32,P,19700,parlimen,,,2022-11-05T10:54:43.647Z,1,0,0,
255,DR.WAN AHMAD KAMIL,PESARA,31,L,02400,parlimen,,,2022-11-05T10:54:54.250Z,1,0,0,
138,RIZAL,TIADA,25,L,02400,parlimen,,,2022-11-05T10:54:54.250Z,2,0,0,
82,KAK LONG,BERNIAGA,1,P,02400,parlimen,,,2022-11-05T10:54:54.250Z,3,0,0,
682,USTAZ DATO' TUAN IBRAHIM,MENTERI (SEMENTARA),2,L,02400,parlimen,,,2022-11-05T10:54:54.250Z,4,0,0,
739,TAN CHUAN HONG,PENGURUS INSURANS,1,L,04300,parlimen,,,2022-11-05T10:55:18.577Z,1,0,0,
871,HAFIZ,AHLI PERNIAGAAN,25,L,04300,parlimen,,,2022-11-05T10:55:18.577Z,4,0,0,
240,ALAN OH,AHLI PERNIAGAAN,27,L,04300,parlimen,,,2022-11-05T10:55:18.577Z,3,0,0,
494,LIM GUAN ENG,AHLI DEWAN UNDANGAN NEGERI,31,L,04300,parlimen,,,2022-11-05T10:55:18.577Z,2,0,0,
506,DATUK JAZLAN,AHLI PERNIAGAAN,1,L,02900,parlimen,,,2022-11-05T10:55:37.297Z,1,0,0,
