UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED),,,
P.019_N.01_019/01/UNDI POS_1,KELANTAN,POSTAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/UNDI POS,UNDI POS,UNDI POS,1,318,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,115,,,,,,PAS,USTAZ LAN,MALE,57,167,,,,,,,,,,,,,,,,,,,,,,,,,,282,16,20,1,1,,,
P.019_N.01_019/01/00_1,KELANTAN,EARLY VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/00,UNDI AWAL,"BILIK A DEWAN TEMENGGONG, IBU PEJABAT POLIS DAERAH TUMPAT",1,90,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,34,,,,,,PAS,USTAZ LAN,MALE,57,55,,,,,,,,,,,,,,,,,,,,,,,,,,89,1,0,1,1,,,
P.019_N.01_019/01/01_1,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),1,144,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,82,,,,,,PAS,USTAZ LAN,MALE,57,60,,,,,,,,,,,,,,,,,,,,,,,,,,142,2,0,1,1,,,
P.019_N.01_019/01/01_2,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),2,212,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,121,,,,,,PAS,USTAZ LAN,MALE,57,88,,,,,,,,,,,,,,,,,,,,,,,,,,209,3,0,1,1,,,
P.019_N.01_019/01/01_3,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),3,357,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,178,,,,,,PAS,USTAZ LAN,MALE,57,177,,,,,,,,,,,,,,,,,,,,,,,,,,355,2,0,1,1,,,
P.019_N.01_019/01/01_4,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),4,316,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,149,,,,,,PAS,USTAZ LAN,MALE,57,163,,,,,,,,,,,,,,,,,,,,,,,,,,312,4,0,1,1,,,
P.019_N.01_019/01/01_5,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),5,295,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,116,,,,,,PAS,USTAZ LAN,MALE,57,174,,,,,,,,,,,,,,,,,,,,,,,,,,290,5,0,1,1,,,
P.019_N.01_019/01/01_6,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/01,PENGKALAN KUBOR,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),6,366,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,153,,,,,,PAS,USTAZ LAN,MALE,57,211,,,,,,,,,,,,,,,,,,,,,,,,,,364,2,0,1,1,,,
P.019_N.01_019/01/02_1,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),1,145,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,49,,,,,,PAS,USTAZ LAN,MALE,57,95,,,,,,,,,,,,,,,,,,,,,,,,,,144,1,0,1,1,,,
P.019_N.01_019/01/02_2,KELANTAN,NORMAL VOTE,P.019,TUMPAT,N.01,PENGKALAN KUBOR,019/01/02,KAMPUNG KETIL,SEKOLAH KEBANGSAAN PENGKALAN KUBOR (2),2,168,UMNO,DATUK ZULKIFLI TOK KRAWAT,MALE,59,67,,,,,,PAS,USTAZ LAN,MALE,57,99,,,,,,,,,,,,,,,,,,,,,,,,,,166,2,0,1,1,,,
