14001,14000,N.01,BULOH KASAP,D,28481,0,0,790,3088,3599,2316,1867,1727,671,194,51,738,2913,3383,2184,2015,1859,716,299,71
14002,14000,N.02,JEMENTAH,D,41221,0,0,992,3857,4513,3357,3219,2936,1382,443,95,936,3498,4142,3152,3205,3076,1574,721,123
14103,14100,N.03,PEMANIS,D,29923,0,0,809,2942,3449,2731,1974,1770,906,212,30,780,2885,3369,2562,2076,2123,902,344,59
14104,14100,N.04,KEMELAH,D,33702,0,0,1163,3999,4001,2942,2022,1473,851,204,24,1134,3852,3946,2773,2197,1810,942,328,41
14205,14200,N.05,TENANG,D,22613,0,0,556,2157,2440,2188,1863,1207,636,238,45,603,1962,2364,1964,1800,1366,806,360,58
14206,14200,N.06,BEKOK,D,27426,0,0,672,2505,2836,2495,2193,1791,937,300,81,644,2423,2729,2249,2137,1905,1010,432,87
14307,14300,N.07,BUKIT KEPONG,D,37495,0,0,974,3626,4418,3034,2830,2453,926,386,88,927,3508,4292,2904,2828,2382,1093,701,125
14308,14300,N.08,BUKIT PASIR,D,32213,0,0,1223,3804,3401,2727,2310,1529,701,268,52,1080,3607,3346,2711,2284,1688,873,510,99
14409,14400,N.09,GAMBIR,D,29434,0,0,999,3091,2982,2580,2236,1582,750,312,54,878,3005,3061,2457,2309,1644,956,463,75
14410,14400,N.10,TANGKAK,D,35554,0,0,1167,3788,3718,2988,2596,2042,996,299,51,1134,3685,3638,3019,2635,2059,1180,470,89
14411,14400,N.11,SEROM,D,39018,0,0,1302,4311,4197,3145,2788,2071,912,333,66,1184,4368,4224,3114,2889,2238,1176,594,106
14512,14500,N.12,BENTAYAN,D,34728,0,0,720,2762,3155,3011,2855,2572,1349,492,133,695,2594,3105,2843,2941,2859,1700,792,150
14513,14500,N.13,SIMPANG JERAM,D,40014,0,0,1429,4811,4487,3457,2472,1833,828,242,26,1296,4623,4552,3439,2814,2162,1106,373,64
14514,14500,N.14,BUKIT NANING,D,22594,0,0,644,2261,2559,2134,1874,1273,514,181,26,565,2190,2213,1971,1840,1329,648,326,46
14615,14600,N.15,MAHARANI,D,38596,0,0,1249,4207,4270,3238,2740,2088,969,351,79,1121,3994,4049,3133,2755,2356,1255,598,144
14616,14600,N.16,SUNGAI BALANG,D,30121,0,0,899,3319,3184,2597,2225,1615,740,275,66,899,3084,3262,2509,2156,1668,999,506,118
14717,14700,N.17,SEMERAH,D,46640,0,0,1348,4503,4462,3688,3834,3020,1415,490,133,1337,4488,4362,3689,3867,3190,1779,859,176
14718,14700,N.18,SRI MEDAN,D,32696,0,0,1082,3663,3450,2733,2524,1636,688,272,65,1058,3626,3459,2762,2496,1662,933,511,76
14819,14800,N.19,YONG PENG,D,33053,0,0,1075,3488,3455,2898,2596,1929,834,315,52,941,3430,3322,2784,2504,1949,981,437,63
14820,14800,N.20,SEMARANG,D,27734,0,0,985,3011,3017,2357,2148,1379,602,203,36,916,3078,2846,2371,2135,1423,789,370,68
14921,14900,N.21,PARIT YAANI,D,41851,0,0,1644,5408,4589,3489,2777,1824,676,269,23,1514,5353,4468,3471,2957,1972,939,416,62
14922,14900,N.22,PARIT RAJA,D,36059,0,0,1374,4405,3472,2855,2800,1839,775,295,51,1305,4137,3565,2851,2856,1926,1012,459,82
15023,15000,N.23,PENGGARAM,D,69092,0,0,1887,6955,7566,5958,4999,3829,1943,613,99,1763,6756,7278,5973,5366,4481,2474,978,174
15024,15000,N.24,SENGGARANG,D,37374,0,0,1286,4315,4057,3197,2889,1985,875,294,63,1124,3895,3874,3057,2763,1937,1134,510,119
15025,15000,N.25,RENGIT,D,27123,0,0,844,2804,3010,2197,1978,1399,730,279,80,830,2815,2919,2161,2035,1498,1025,425,94
15126,15100,N.26,MACHAP,D,33764,0,0,1147,3972,3712,2749,2434,1688,687,294,36,1139,3892,3729,2698,2486,1741,902,386,72
15127,15100,N.27,LAYANG-LAYANG,D,25147,0,0,679,2471,2976,2240,1922,1404,711,258,65,631,2382,2509,2062,1956,1577,883,341,80
15228,15200,N.28,MENGKIBOL,D,66362,0,0,1974,6825,6670,5621,4763,4272,2144,681,131,1768,6587,6585,5398,5113,4460,2334,870,166
15229,15200,N.29,MAHKOTA,D,65074,0,0,1952,7845,8234,5449,4287,3083,1500,419,90,1831,6870,7672,5368,4500,3551,1689,613,121
15330,15300,N.30,PALOH,D,25831,0,0,641,2278,2982,2321,2009,1664,824,253,63,596,2248,2672,2242,1940,1762,905,364,67
15331,15300,N.31,KAHANG,D,29343,0,0,795,3062,4003,2401,1580,1853,841,126,19,727,3008,4139,2240,1738,1970,635,172,34
15432,15400,N.32,ENDAU,D,27924,0,0,951,3150,3293,2220,2006,1512,588,164,49,889,3222,3107,2174,2048,1474,691,324,62
15433,15400,N.33,TENGGAROH,D,38408,0,0,950,4133,6192,3152,1641,2358,990,143,55,905,3680,5715,2823,1928,2645,797,242,59
15534,15500,N.34,PANTI,D,38408,0,0,1500,4587,4611,3562,2200,1403,901,168,17,1487,4552,4652,3576,2342,1810,857,165,18
15535,15500,N.35,PASIR RAJA,D,28045,0,0,1083,3660,3268,2318,2094,1207,375,171,43,973,3232,2974,2348,2099,1184,578,396,42
15636,15600,N.36,SEDILI,D,28659,0,0,777,2898,4159,2719,1423,1383,845,148,33,759,2765,3981,2589,1526,1718,784,132,20
15637,15600,N.37,JOHOR LAMA,D,32658,0,0,800,2984,4159,3233,2110,1743,1034,309,56,831,2796,3982,2938,2157,2007,1162,293,64
