Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NAZREE ARIS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD REDZUAN YUSOF (PAK WAN ),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) WONG NAI CHEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
28,135/08/05,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP BARU,2,445,3,320,114,437,8,0,MACHAP BARU ,UNDI BIASA
28,135/08/05,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP BARU,3,438,6,355,75,436,2,0,MACHAP BARU ,UNDI BIASA
28,135/08/05,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP BARU,4,434,2,384,46,432,2,0,MACHAP BARU ,UNDI BIASA
28,135/08/05,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP BARU,5,436,2,349,85,436,0,0,MACHAP BARU ,UNDI BIASA
29,135/08/06,SEK. REN. AGAMA (JAIM) KAMPUNG AYER PASIR MACHAP,1,501,17,251,220,488,13,0,AYER PASIR ,UNDI BIASA
30,135/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP UMBOO,1,293,6,195,80,281,12,0,MACHAP UMBOR ,UNDI BIASA
30,135/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP UMBOO,2,474,3,382,82,467,7,0,MACHAP UMBOR ,UNDI BIASA
30,135/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP UMBOO,3,471,5,395,71,471,0,0,MACHAP UMBOR ,UNDI BIASA
30,135/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) MACHAP UMBOO,4,471,14,415,40,469,2,0,MACHAP UMBOR ,UNDI BIASA
31,135/08/08,SEKOLAH KEBANGSAAN MELAKA PINDAH,1,291,19,89,164,272,19,0,MELAKA PINDAH ,UNDI BIASA
31,135/08/08,SEKOLAH KEBANGSAAN MELAKA PINDAH,2,491,49,187,242,478,13,0,MELAKA PINDAH ,UNDI BIASA
31,135/08/08,SEKOLAH KEBANGSAAN MELAKA PINDAH,3,479,42,231,201,474,5,0,MELAKA PINDAH ,UNDI BIASA
31,135/08/08,SEKOLAH KEBANGSAAN MELAKA PINDAH,4,437,48,247,138,433,4,0,MELAKA PINDAH ,UNDI BIASA
31,135/08/08,SEKOLAH KEBANGSAAN MELAKA PINDAH,5,454,59,248,147,454,0,0,MELAKA PINDAH ,UNDI BIASA
32,135/09/01,SEKOLAH KEBANGSAAN PARIT MELANA,1,290,23,85,177,285,5,0,PARIT MELANA ,UNDI BIASA
32,135/09/01,SEKOLAH KEBANGSAAN PARIT MELANA,2,485,51,177,247,475,10,0,PARIT MELANA ,UNDI BIASA
32,135/09/01,SEKOLAH KEBANGSAAN PARIT MELANA,3,470,49,203,214,466,4,0,PARIT MELANA ,UNDI BIASA
32,135/09/01,SEKOLAH KEBANGSAAN PARIT MELANA,4,441,63,221,154,438,1,2,PARIT MELANA ,UNDI BIASA
32,135/09/01,SEKOLAH KEBANGSAAN PARIT MELANA,5,446,51,217,177,445,1,0,PARIT MELANA ,UNDI BIASA
33,135/09/02,SEKOLAH KEBANGSAAN BELIMBING DALAM,1,310,34,68,184,286,24,0,BELIMBING DALAM ,UNDI BIASA
33,135/09/02,SEKOLAH KEBANGSAAN BELIMBING DALAM,2,517,107,160,244,511,5,1,BELIMBING DALAM ,UNDI BIASA
33,135/09/02,SEKOLAH KEBANGSAAN BELIMBING DALAM,3,484,98,194,190,482,2,0,BELIMBING DALAM ,UNDI BIASA
34,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,1,278,23,114,130,267,11,0,BUKIT TAMBUN ,UNDI BIASA
34,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,2,519,54,242,208,504,15,0,BUKIT TAMBUN ,UNDI BIASA
34,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,3,506,62,290,145,497,9,0,BUKIT TAMBUN ,UNDI BIASA
34,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,4,475,60,274,136,470,5,0,BUKIT TAMBUN ,UNDI BIASA
34,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,5,468,43,294,129,466,2,0,BUKIT TAMBUN ,UNDI BIASA
34,135/09/03,SEKOLAH KEBANGSAAN DURIAN TUNGGAL,6,470,68,261,137,466,4,0,BUKIT TAMBUN ,UNDI BIASA
35,135/09/04,SEKOLAH MENENGAH KEBANGSAAN DURIAN TUNGGAL,1,281,14,133,118,265,16,0,PEKAN DURIAN TUNGGAL ,UNDI BIASA
35,135/09/04,SEKOLAH MENENGAH KEBANGSAAN DURIAN TUNGGAL,2,555,34,315,191,540,15,0,PEKAN DURIAN TUNGGAL ,UNDI BIASA
35,135/09/04,SEKOLAH MENENGAH KEBANGSAAN DURIAN TUNGGAL,3,523,59,326,137,522,1,0,PEKAN DURIAN TUNGGAL ,UNDI BIASA
35,135/09/04,SEKOLAH MENENGAH KEBANGSAAN DURIAN TUNGGAL,4,500,51,300,148,499,1,0,PEKAN DURIAN TUNGGAL ,UNDI BIASA
36,135/09/05,SEKOLAH KEBANGSAAN GANGSA,1,273,22,111,123,256,17,0,GANGSA ,UNDI BIASA
36,135/09/05,SEKOLAH KEBANGSAAN GANGSA,2,582,79,253,246,578,4,0,GANGSA ,UNDI BIASA
36,135/09/05,SEKOLAH KEBANGSAAN GANGSA,3,567,100,296,169,565,2,0,GANGSA ,UNDI BIASA
36,135/09/05,SEKOLAH KEBANGSAAN GANGSA,4,560,91,340,127,558,2,0,GANGSA ,UNDI BIASA
36,135/09/05,SEKOLAH KEBANGSAAN GANGSA,5,526,77,317,131,525,1,0,GANGSA ,UNDI BIASA
36,135/09/05,SEKOLAH KEBANGSAAN GANGSA,6,530,96,306,125,527,3,0,GANGSA ,UNDI BIASA
37,135/10/01,SEKOLAH JENIS KEBANGSAAN (CINA) ON LOK,1,313,6,198,97,301,12,0,SIMPANG TEBONG ,UNDI BIASA
37,135/10/01,SEKOLAH JENIS KEBANGSAAN (CINA) ON LOK,2,413,5,310,96,411,2,0,SIMPANG TEBONG ,UNDI BIASA
38,135/10/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHIAO CHEE,1,274,13,128,121,262,12,0,PEKAN SELANDAR ,UNDI BIASA
38,135/10/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHIAO CHEE,2,483,34,254,185,473,10,0,PEKAN SELANDAR ,UNDI BIASA
38,135/10/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHIAO CHEE,3,438,30,279,125,434,4,0,PEKAN SELANDAR ,UNDI BIASA
38,135/10/02,SEKOLAH JENIS KEBANGSAAN (CINA) CHIAO CHEE,4,429,50,270,99,419,9,1,PEKAN SELANDAR ,UNDI BIASA
39,135/10/03,SEKOLAH KEBANGSAAN SERI MACHAP BUKIT SEDANAN,1,308,38,49,213,300,8,0,BUKIT SEDANAN ,UNDI BIASA
