Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ERIC CHOO WEI SERN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHOO POAY TIONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) GOH LEONG SAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1667,853,393,14,1260,60,347,UNDI POS,UNDI POS
2,138/19/00,BILIK BERTEMU PELANGGAN BALAI POLIS MALIM,1,32,26,4,1,31,1,0,UNDI AWAL ,UNDI AWAL
3,138/20/00,BILIK MESYUARAT BALAI POLIS TENGKERA,1,24,22,2,0,24,0,0,UNDI AWAL ,UNDI AWAL
4,138/22/00,BILIK MEDIA IBU PEJABAT POLIS DAERAH MELAKA TENGAH,1,315,276,36,1,313,2,0,UNDI AWAL ,UNDI AWAL
4,138/22/00,BILIK MEDIA IBU PEJABAT POLIS DAERAH MELAKA TENGAH,2,319,282,31,1,314,5,0,UNDI AWAL ,UNDI AWAL
5,138/23/00,BILIK GERAKAN BALAI POLIS KANDANG,1,16,11,3,0,14,2,0,UNDI AWAL ,UNDI AWAL
6,138/19/01,BALAI RAYA TAMAN MERDEKA,1,321,138,176,2,316,5,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,2,554,192,357,2,551,3,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,3,536,106,422,5,533,2,1,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,4,523,112,404,3,519,4,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,5,490,112,367,6,485,5,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,6,496,90,399,0,489,7,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,BALAI RAYA TAMAN MERDEKA,7,528,93,425,5,523,2,3,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,1,322,101,212,4,317,5,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,2,532,142,374,7,523,9,0,TAMAN MERDEKA ,UNDI BIASA
6,138/19/01,SEK. REN. AGAMA (JAIM) TAMAN DATUK THAMBY CHIK KARIM,3,523,116,396,6,518,5,0,TAMAN MERDEKA ,UNDI BIASA
