Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ KHAIRIL ANUAR WAFA,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NG KIAN NAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DAVID DASS ASEERPATHAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHA KEE CHIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
38,130/24/03,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU RAHANG,5,462,1,12,0,444,457,5,0,KAMPONG BAHRU RAHANG ,UNDI BIASA
39,130/24/04,SEKOLAH KEBANGSAAN TAMAN SRI MAWAR,1,298,24,129,4,134,291,7,0,SENAWANG ,UNDI BIASA
39,130/24/04,SEKOLAH KEBANGSAAN TAMAN SRI MAWAR,2,544,52,184,5,297,538,6,0,SENAWANG ,UNDI BIASA
39,130/24/04,SEKOLAH KEBANGSAAN TAMAN SRI MAWAR,3,526,54,124,2,341,521,5,0,SENAWANG ,UNDI BIASA
39,130/24/04,SEKOLAH KEBANGSAAN TAMAN SRI MAWAR,4,500,88,119,1,287,495,5,0,SENAWANG ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,1,260,11,72,3,168,254,6,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,2,599,55,154,8,366,583,15,1,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,3,593,72,160,6,347,585,8,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,4,601,63,153,5,369,590,11,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,5,583,43,100,3,433,579,4,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,6,591,49,90,5,443,587,3,1,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,7,570,38,61,2,467,568,2,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,8,564,45,83,4,424,556,8,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,9,572,39,66,2,461,568,4,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,10,550,31,64,5,448,548,2,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,11,536,29,62,5,432,528,8,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,12,530,48,54,2,422,526,4,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,13,519,57,54,1,406,518,0,1,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,14,517,72,79,1,363,515,2,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,15,538,54,85,2,391,532,2,4,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,16,547,82,87,0,377,546,1,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
40,130/24/05,SEKOLAH KEBANGSAAN SEREMBAN JAYA,17,503,74,85,2,342,503,0,0,TAMAN SEREMBAN JAYA ,UNDI BIASA
