UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS VOTE,OTHER PARTY (1) - PSM,OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2) - BERJASA,OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,IND 1 (AIRPLANE),INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,IND 2 (ELEPHANT),INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,IND 3 (BOOK),INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VERIFY_ISSUED
P.080_N.08_080/08/06_1,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/06,GALI TENGAH,SK GALI,1,282,BN,CHEW MEI FUN,FEMALE,,157,PKR,TENGKU ZULPURI SHAH,MALE,,62,PAS,DR MOHAMED NILAM,MALE,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,10,0,TRUE
P.080_N.08_080/08/06_2,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/06,GALI TENGAH,SK GALI,2,357,BN,CHEW MEI FUN,FEMALE,,159,PKR,TENGKU ZULPURI SHAH,MALE,,89,PAS,DR MOHAMED NILAM,MALE,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,2,0,TRUE
P.080_N.08_080/08/06_3,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/06,GALI TENGAH,SK GALI,3,359,BN,CHEW MEI FUN,FEMALE,,150,PKR,TENGKU ZULPURI SHAH,MALE,,92,PAS,DR MOHAMED NILAM,MALE,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,1,0,TRUE
P.080_N.08_080/08/07_1,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/07,GALI HILIR,DEWAN SERBAGUNA KAMPUNG GALI HILIR,1,306,BN,CHEW MEI FUN,FEMALE,,219,PKR,TENGKU ZULPURI SHAH,MALE,,37,PAS,DR MOHAMED NILAM,MALE,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,2,0,TRUE
P.080_N.08_080/08/07_2,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/07,GALI HILIR,DEWAN SERBAGUNA KAMPUNG GALI HILIR,2,317,BN,CHEW MEI FUN,FEMALE,,163,PKR,TENGKU ZULPURI SHAH,MALE,,62,PAS,DR MOHAMED NILAM,MALE,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,3,0,TRUE
P.080_N.08_080/08/07_3,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/07,GALI HILIR,DEWAN SERBAGUNA KAMPUNG GALI HILIR,3,288,BN,CHEW MEI FUN,FEMALE,,141,PKR,TENGKU ZULPURI SHAH,MALE,,56,PAS,DR MOHAMED NILAM,MALE,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,2,0,TRUE
P.080_N.08_080/08/08_1,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/08,DURIAN SEBATANG,BALAI RAYA DURIAN SEBATANG,1,344,BN,CHEW MEI FUN,FEMALE,,160,PKR,TENGKU ZULPURI SHAH,MALE,,61,PAS,DR MOHAMED NILAM,MALE,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,12,0,TRUE
P.080_N.08_080/08/09_1,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/09,KAMPUNG TEMAU,SK TEMAU,1,296,BN,CHEW MEI FUN,FEMALE,,195,PKR,TENGKU ZULPURI SHAH,MALE,,22,PAS,DR MOHAMED NILAM,MALE,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,13,0,TRUE
P.080_N.08_080/08/09_2,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/09,KAMPUNG TEMAU,SK TEMAU,2,449,BN,CHEW MEI FUN,FEMALE,,225,PKR,TENGKU ZULPURI SHAH,MALE,,67,PAS,DR MOHAMED NILAM,MALE,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,2,0,TRUE
P.080_N.08_080/08/10_1,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/10,PEKAN DONG,SMK DONG,1,289,BN,CHEW MEI FUN,FEMALE,,153,PKR,TENGKU ZULPURI SHAH,MALE,,52,PAS,DR MOHAMED NILAM,MALE,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,12,0,TRUE
P.080_N.08_080/08/10_2,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/10,PEKAN DONG,SMK DONG,2,450,BN,CHEW MEI FUN,FEMALE,,209,PKR,TENGKU ZULPURI SHAH,MALE,,92,PAS,DR MOHAMED NILAM,MALE,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,5,0,TRUE
P.080_N.08_080/08/10_3,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/10,PEKAN DONG,SMK DONG,3,422,BN,CHEW MEI FUN,FEMALE,,159,PKR,TENGKU ZULPURI SHAH,MALE,,96,PAS,DR MOHAMED NILAM,MALE,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,4,0,TRUE
P.080_N.08_080/08/11_1,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/11,TANJUNG PUTUS,SK TANJUNG PUTUS,1,310,BN,CHEW MEI FUN,FEMALE,,199,PKR,TENGKU ZULPURI SHAH,MALE,,22,PAS,DR MOHAMED NILAM,MALE,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,23,0,TRUE
P.080_N.08_080/08/11_2,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/11,TANJUNG PUTUS,SK TANJUNG PUTUS,2,429,BN,CHEW MEI FUN,FEMALE,,240,PKR,TENGKU ZULPURI SHAH,MALE,,42,PAS,DR MOHAMED NILAM,MALE,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,7,0,TRUE
P.080_N.08_080/08/11_3,PAHANG,NORMAL VOTE,P.080,RAUB,N.08,DONG,080/08/11,TANJUNG PUTUS,SK TANJUNG PUTUS,3,418,BN,CHEW MEI FUN,FEMALE,,227,PKR,TENGKU ZULPURI SHAH,MALE,,47,PAS,DR MOHAMED NILAM,MALE,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,6,0,TRUE
,PAHANG,,,,,,,,,,,,,,,,17500,,,,,20659,,,,,7866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
P.081_P.081/POSTAL VOTE_UNDI POS_1,PAHANG,POSTAL VOTE,P.081,JERANTUT,P.081/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,1,1340,BN,DATO' AHMAD NAZLAN,MALE,,689,PKR,WAN MOHD SHAHRIR,MALE,,86,PAS,USTAZ YOHANIS AHMAD,MALE,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062,67,211,TRUE
P.081_P.081/EARLY VOTE_081/09/00_1,PAHANG,EARLY VOTE,P.081,JERANTUT,P.081/EARLY VOTE,EARLY VOTE,081/09/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS KUALA TEMBELING,1,83,BN,DATO' AHMAD NAZLAN,MALE,,56,PKR,WAN MOHD SHAHRIR,MALE,,4,PAS,USTAZ YOHANIS AHMAD,MALE,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,1,0,TRUE
P.081_P.081/EARLY VOTE_081/10/00_1,PAHANG,EARLY VOTE,P.081,JERANTUT,P.081/EARLY VOTE,EARLY VOTE,081/10/00,UNDI AWAL,BILIK GERAKAN CAWANGAN TRAFIK IBU PEJABAT POLIS DAERAH JERANTUT,1,272,BN,DATO' AHMAD NAZLAN,MALE,,209,PKR,WAN MOHD SHAHRIR,MALE,,10,PAS,USTAZ YOHANIS AHMAD,MALE,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,1,1,TRUE
P.081_P.081/EARLY VOTE_081/11/00_1,PAHANG,EARLY VOTE,P.081,JERANTUT,P.081/EARLY VOTE,EARLY VOTE,081/11/00,UNDI AWAL,BILIK KETUA CAWANGAN TRAFIK IBU PEJABAT POLIS DAERAH JERANTUT,1,2,BN,DATO' AHMAD NAZLAN,MALE,,0,PKR,WAN MOHD SHAHRIR,MALE,,0,PAS,USTAZ YOHANIS AHMAD,MALE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,TRUE
P.081_N.09_081/09/01_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/01,KAMPUNG SAT,SK KUALA SAT,1,259,BN,DATO' AHMAD NAZLAN,MALE,,202,PKR,WAN MOHD SHAHRIR,MALE,,2,PAS,USTAZ YOHANIS AHMAD,MALE,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,10,0,TRUE
P.081_N.09_081/09/02_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/02,KAMPUNG GUSAI,SK GUSAI,1,146,BN,DATO' AHMAD NAZLAN,MALE,,110,PKR,WAN MOHD SHAHRIR,MALE,,2,PAS,USTAZ YOHANIS AHMAD,MALE,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,6,0,TRUE
P.081_N.09_081/09/03_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/03,KAMPUNG BANTAL,SK ULU TEMBELING,1,193,BN,DATO' AHMAD NAZLAN,MALE,,119,PKR,WAN MOHD SHAHRIR,MALE,,9,PAS,USTAZ YOHANIS AHMAD,MALE,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,12,0,TRUE
P.081_N.09_081/09/03_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/03,KAMPUNG BANTAL,SK ULU TEMBELING,2,194,BN,DATO' AHMAD NAZLAN,MALE,,129,PKR,WAN MOHD SHAHRIR,MALE,,2,PAS,USTAZ YOHANIS AHMAD,MALE,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,4,0,TRUE
P.081_N.09_081/09/04_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/04,KAMPUNG MAT DALING,SK BUKIT MAT DALING,1,292,BN,DATO' AHMAD NAZLAN,MALE,,205,PKR,WAN MOHD SHAHRIR,MALE,,27,PAS,USTAZ YOHANIS AHMAD,MALE,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,6,0,TRUE
P.081_N.09_081/09/05_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/05,KAMPUNG PAGI,SK KAMPUNG PAGI,1,208,BN,DATO' AHMAD NAZLAN,MALE,,148,PKR,WAN MOHD SHAHRIR,MALE,,9,PAS,USTAZ YOHANIS AHMAD,MALE,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,2,0,TRUE
P.081_N.09_081/09/06_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/06,FELDA SUNGAI RETANG,SK LKTP SUNGAI RETANG,1,307,BN,DATO' AHMAD NAZLAN,MALE,,178,PKR,WAN MOHD SHAHRIR,MALE,,24,PAS,USTAZ YOHANIS AHMAD,MALE,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,6,0,TRUE
P.081_N.09_081/09/06_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/06,FELDA SUNGAI RETANG,SK LKTP SUNGAI RETANG,2,508,BN,DATO' AHMAD NAZLAN,MALE,,292,PKR,WAN MOHD SHAHRIR,MALE,,55,PAS,USTAZ YOHANIS AHMAD,MALE,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,12,0,TRUE
P.081_N.09_081/09/06_3,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/06,FELDA SUNGAI RETANG,SK LKTP SUNGAI RETANG,3,431,BN,DATO' AHMAD NAZLAN,MALE,,205,PKR,WAN MOHD SHAHRIR,MALE,,45,PAS,USTAZ YOHANIS AHMAD,MALE,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,4,1,TRUE
P.081_N.09_081/09/06_4,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/06,FELDA SUNGAI RETANG,SK LKTP SUNGAI RETANG,4,468,BN,DATO' AHMAD NAZLAN,MALE,,210,PKR,WAN MOHD SHAHRIR,MALE,,61,PAS,USTAZ YOHANIS AHMAD,MALE,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,6,2,TRUE
P.081_N.09_081/09/07_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/07,FELDA PADANG PIOL,SK (FELDA) PADANG PIOL,1,289,BN,DATO' AHMAD NAZLAN,MALE,,169,PKR,WAN MOHD SHAHRIR,MALE,,16,PAS,USTAZ YOHANIS AHMAD,MALE,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,6,0,TRUE
P.081_N.09_081/09/07_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/07,FELDA PADANG PIOL,SK (FELDA) PADANG PIOL,2,478,BN,DATO' AHMAD NAZLAN,MALE,,252,PKR,WAN MOHD SHAHRIR,MALE,,36,PAS,USTAZ YOHANIS AHMAD,MALE,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,12,0,TRUE
P.081_N.09_081/09/07_3,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/07,FELDA PADANG PIOL,SK (FELDA) PADANG PIOL,3,439,BN,DATO' AHMAD NAZLAN,MALE,,199,PKR,WAN MOHD SHAHRIR,MALE,,32,PAS,USTAZ YOHANIS AHMAD,MALE,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,4,0,TRUE
P.081_N.09_081/09/07_4,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/07,FELDA PADANG PIOL,SK (FELDA) PADANG PIOL,4,403,BN,DATO' AHMAD NAZLAN,MALE,,144,PKR,WAN MOHD SHAHRIR,MALE,,51,PAS,USTAZ YOHANIS AHMAD,MALE,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,2,0,TRUE
P.081_N.09_081/09/07_5,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/07,FELDA PADANG PIOL,SK (FELDA) PADANG PIOL,5,394,BN,DATO' AHMAD NAZLAN,MALE,,132,PKR,WAN MOHD SHAHRIR,MALE,,57,PAS,USTAZ YOHANIS AHMAD,MALE,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,3,0,TRUE
P.081_N.09_081/09/07_6,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/07,FELDA PADANG PIOL,SK (FELDA) PADANG PIOL,6,421,BN,DATO' AHMAD NAZLAN,MALE,,138,PKR,WAN MOHD SHAHRIR,MALE,,58,PAS,USTAZ YOHANIS AHMAD,MALE,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,5,0,TRUE
P.081_N.09_081/09/08_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/08,KAMPUNG GAJAH MATI,BALAI RAYA KAMPUNG GAJAH MATI,1,508,BN,DATO' AHMAD NAZLAN,MALE,,234,PKR,WAN MOHD SHAHRIR,MALE,,19,PAS,USTAZ YOHANIS AHMAD,MALE,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,7,1,TRUE
P.081_N.09_081/09/09_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/09,PULAU MANSUK,SK PULAU MANSOK,1,271,BN,DATO' AHMAD NAZLAN,MALE,,123,PKR,WAN MOHD SHAHRIR,MALE,,11,PAS,USTAZ YOHANIS AHMAD,MALE,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,6,0,TRUE
P.081_N.09_081/09/09_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/09,PULAU MANSUK,SK PULAU MANSOK,2,340,BN,DATO' AHMAD NAZLAN,MALE,,141,PKR,WAN MOHD SHAHRIR,MALE,,18,PAS,USTAZ YOHANIS AHMAD,MALE,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,3,0,TRUE
P.081_N.09_081/09/10_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/10,JERANTUT FERI,SK PEDAH,1,297,BN,DATO' AHMAD NAZLAN,MALE,,129,PKR,WAN MOHD SHAHRIR,MALE,,26,PAS,USTAZ YOHANIS AHMAD,MALE,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,12,0,TRUE
P.081_N.09_081/09/10_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/10,JERANTUT FERI,SK PEDAH,2,375,BN,DATO' AHMAD NAZLAN,MALE,,168,PKR,WAN MOHD SHAHRIR,MALE,,28,PAS,USTAZ YOHANIS AHMAD,MALE,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,8,0,TRUE
P.081_N.09_081/09/10_3,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/10,JERANTUT FERI,SK PEDAH,3,371,BN,DATO' AHMAD NAZLAN,MALE,,139,PKR,WAN MOHD SHAHRIR,MALE,,39,PAS,USTAZ YOHANIS AHMAD,MALE,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,10,0,TRUE
P.081_N.09_081/09/11_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/11,TANAH ROM,SK TANAH ROM,1,226,BN,DATO' AHMAD NAZLAN,MALE,,91,PKR,WAN MOHD SHAHRIR,MALE,,12,PAS,USTAZ YOHANIS AHMAD,MALE,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,26,0,TRUE
P.081_N.09_081/09/12_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/12,TEH,SK TEH,1,301,BN,DATO' AHMAD NAZLAN,MALE,,170,PKR,WAN MOHD SHAHRIR,MALE,,19,PAS,USTAZ YOHANIS AHMAD,MALE,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,5,0,TRUE
P.081_N.09_081/09/12_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/12,TEH,SK TEH,2,394,BN,DATO' AHMAD NAZLAN,MALE,,184,PKR,WAN MOHD SHAHRIR,MALE,,28,PAS,USTAZ YOHANIS AHMAD,MALE,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,0,0,TRUE
P.081_N.09_081/09/12_3,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/12,TEH,SK TEH,3,359,BN,DATO' AHMAD NAZLAN,MALE,,163,PKR,WAN MOHD SHAHRIR,MALE,,53,PAS,USTAZ YOHANIS AHMAD,MALE,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,2,0,TRUE
P.081_N.09_081/09/13_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/13,KUALA TEMBELING,SK KUALA TEMBELING,1,280,BN,DATO' AHMAD NAZLAN,MALE,,157,PKR,WAN MOHD SHAHRIR,MALE,,20,PAS,USTAZ YOHANIS AHMAD,MALE,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,13,0,TRUE
P.081_N.09_081/09/13_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/13,KUALA TEMBELING,SK KUALA TEMBELING,2,291,BN,DATO' AHMAD NAZLAN,MALE,,141,PKR,WAN MOHD SHAHRIR,MALE,,23,PAS,USTAZ YOHANIS AHMAD,MALE,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,3,0,TRUE
P.081_N.09_081/09/13_3,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/13,KUALA TEMBELING,SK KUALA TEMBELING,3,262,BN,DATO' AHMAD NAZLAN,MALE,,110,PKR,WAN MOHD SHAHRIR,MALE,,16,PAS,USTAZ YOHANIS AHMAD,MALE,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,1,0,TRUE
P.081_N.09_081/09/14_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/14,PASIR DURIAN,SK PASIR DURIAN,1,337,BN,DATO' AHMAD NAZLAN,MALE,,219,PKR,WAN MOHD SHAHRIR,MALE,,10,PAS,USTAZ YOHANIS AHMAD,MALE,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,6,0,TRUE
P.081_N.09_081/09/15_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/15,KAMPUNG CHEBONG,SK CHEBONG,1,290,BN,DATO' AHMAD NAZLAN,MALE,,161,PKR,WAN MOHD SHAHRIR,MALE,,23,PAS,USTAZ YOHANIS AHMAD,MALE,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,18,0,TRUE
P.081_N.09_081/09/15_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/15,KAMPUNG CHEBONG,SK CHEBONG,2,361,BN,DATO' AHMAD NAZLAN,MALE,,153,PKR,WAN MOHD SHAHRIR,MALE,,31,PAS,USTAZ YOHANIS AHMAD,MALE,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,9,0,TRUE
P.081_N.09_081/09/16_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/16,KAMPUNG MERTING,SK MERTING,1,273,BN,DATO' AHMAD NAZLAN,MALE,,160,PKR,WAN MOHD SHAHRIR,MALE,,46,PAS,USTAZ YOHANIS AHMAD,MALE,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,11,0,TRUE
P.081_N.09_081/09/16_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/16,KAMPUNG MERTING,SK MERTING,2,275,BN,DATO' AHMAD NAZLAN,MALE,,159,PKR,WAN MOHD SHAHRIR,MALE,,38,PAS,USTAZ YOHANIS AHMAD,MALE,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,16,2,TRUE
P.081_N.09_081/09/17_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/17,KUALA TAHAN,SK KUALA TAHAN,1,304,BN,DATO' AHMAD NAZLAN,MALE,,195,PKR,WAN MOHD SHAHRIR,MALE,,24,PAS,USTAZ YOHANIS AHMAD,MALE,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,9,0,TRUE
P.081_N.09_081/09/17_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.09,TAHAN,081/09/17,KUALA TAHAN,SK KUALA TAHAN,2,487,BN,DATO' AHMAD NAZLAN,MALE,,294,PKR,WAN MOHD SHAHRIR,MALE,,31,PAS,USTAZ YOHANIS AHMAD,MALE,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,5,0,TRUE
P.081_N.10_081/10/01_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.10,DAMAK,081/10/01,BATU BALAI,SJK(C) BATU BALAI,1,270,BN,DATO' AHMAD NAZLAN,MALE,,88,PKR,WAN MOHD SHAHRIR,MALE,,95,PAS,USTAZ YOHANIS AHMAD,MALE,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,16,0,TRUE
P.081_N.10_081/10/01_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.10,DAMAK,081/10/01,BATU BALAI,SJK(C) BATU BALAI,2,533,BN,DATO' AHMAD NAZLAN,MALE,,130,PKR,WAN MOHD SHAHRIR,MALE,,167,PAS,USTAZ YOHANIS AHMAD,MALE,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529,4,0,TRUE
P.081_N.10_081/10/01_3,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.10,DAMAK,081/10/01,BATU BALAI,SJK(C) BATU BALAI,3,486,BN,DATO' AHMAD NAZLAN,MALE,,121,PKR,WAN MOHD SHAHRIR,MALE,,110,PAS,USTAZ YOHANIS AHMAD,MALE,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,5,0,TRUE
P.081_N.10_081/10/02_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.10,DAMAK,081/10/02,KAMPUNG DAMAK,SK DAMAK,1,268,BN,DATO' AHMAD NAZLAN,MALE,,98,PKR,WAN MOHD SHAHRIR,MALE,,78,PAS,USTAZ YOHANIS AHMAD,MALE,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,15,0,TRUE
P.081_N.10_081/10/02_2,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.10,DAMAK,081/10/02,KAMPUNG DAMAK,SK DAMAK,2,378,BN,DATO' AHMAD NAZLAN,MALE,,102,PKR,WAN MOHD SHAHRIR,MALE,,117,PAS,USTAZ YOHANIS AHMAD,MALE,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,6,0,TRUE
P.081_N.10_081/10/02_3,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.10,DAMAK,081/10/02,KAMPUNG DAMAK,SK DAMAK,3,355,BN,DATO' AHMAD NAZLAN,MALE,,77,PKR,WAN MOHD SHAHRIR,MALE,,103,PAS,USTAZ YOHANIS AHMAD,MALE,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,0,0,TRUE
P.081_N.10_081/10/03_1,PAHANG,NORMAL VOTE,P.081,JERANTUT,N.10,DAMAK,081/10/03,KAMPUNG KOI,DEWAN ORANG RAMAI KG. KOI,1,263,BN,DATO' AHMAD NAZLAN,MALE,,155,PKR,WAN MOHD SHAHRIR,MALE,,28,PAS,USTAZ YOHANIS AHMAD,MALE,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,10,0,TRUE
