Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHAMAD RAFIDEE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HAJI KAMAL BIN ASHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HAJI ISMAIL BIN HAJI MOHAMED SAID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
25,087/28/10,SBPI TEMERLOH,3,506,107,178,221,506,0,0,DESA MURNI,UNDI BIASA
26,087/28/11,SK PAYA TARAM,1,276,94,43,131,268,8,0,KERDAU,UNDI BIASA
26,087/28/11,SK PAYA TARAM,2,345,150,55,137,342,3,0,KERDAU,UNDI BIASA
26,087/28/11,SK PAYA TARAM,3,320,108,103,108,319,1,0,KERDAU,UNDI BIASA
27,087/28/12,SK KERDAU,1,490,41,225,222,488,2,0,KUALA KERDAU,UNDI BIASA
28,087/28/13,SK TELUK SENTANG,1,293,24,113,152,289,4,0,TELUK SENTANG,UNDI BIASA
28,087/28/13,SK TELUK SENTANG,2,558,57,305,194,556,2,0,TELUK SENTANG,UNDI BIASA
29,087/29/01,SK LKTP JENGKA 11,1,311,11,93,192,296,14,1,FELDA JENGKA 11,UNDI BIASA
29,087/29/01,SK LKTP JENGKA 11,2,493,29,190,271,490,3,0,FELDA JENGKA 11,UNDI BIASA
29,087/29/01,SK LKTP JENGKA 11,3,424,40,212,171,423,1,0,FELDA JENGKA 11,UNDI BIASA
29,087/29/01,SK LKTP JENGKA 11,4,426,53,210,163,426,0,0,FELDA JENGKA 11,UNDI BIASA
29,087/29/01,SK LKTP JENGKA 11,5,439,77,205,154,436,3,0,FELDA JENGKA 11,UNDI BIASA
30,087/29/02,SK BANDAR PUSAT JENGKA,1,286,26,139,116,281,5,0,BANDAR PUSAT,UNDI BIASA
30,087/29/02,SK BANDAR PUSAT JENGKA,2,534,62,243,227,532,2,0,BANDAR PUSAT,UNDI BIASA
30,087/29/02,SK BANDAR PUSAT JENGKA,3,541,74,279,182,535,6,0,BANDAR PUSAT,UNDI BIASA
30,087/29/02,SK BANDAR PUSAT JENGKA,4,518,60,285,169,514,4,0,BANDAR PUSAT,UNDI BIASA
30,087/29/02,SK BANDAR PUSAT JENGKA,5,463,77,267,119,463,0,0,BANDAR PUSAT,UNDI BIASA
30,087/29/02,SK BANDAR PUSAT JENGKA,6,473,85,285,101,471,2,0,BANDAR PUSAT,UNDI BIASA
30,087/29/02,SK BANDAR PUSAT JENGKA,7,530,108,288,133,529,1,0,BANDAR PUSAT,UNDI BIASA
31,087/29/03,SK LKTP JENGKA 14,1,299,17,88,179,284,15,0,FELDA JENGKA 14,UNDI BIASA
31,087/29/03,SK LKTP JENGKA 14,2,479,36,161,277,474,5,0,FELDA JENGKA 14,UNDI BIASA
31,087/29/03,SK LKTP JENGKA 14,3,427,62,178,183,423,4,0,FELDA JENGKA 14,UNDI BIASA
31,087/29/03,SK LKTP JENGKA 14,4,405,66,178,159,403,2,0,FELDA JENGKA 14,UNDI BIASA
31,087/29/03,SK LKTP JENGKA 14,5,432,72,197,157,426,6,0,FELDA JENGKA 14,UNDI BIASA
32,087/29/04,SK LKTP JENGKA 21,1,310,11,94,198,303,7,0,FELDA JENGKA 21,UNDI BIASA
32,087/29/04,SK LKTP JENGKA 21,2,493,33,179,276,488,5,0,FELDA JENGKA 21,UNDI BIASA
32,087/29/04,SK LKTP JENGKA 21,3,435,48,182,199,429,6,0,FELDA JENGKA 21,UNDI BIASA
32,087/29/04,SK LKTP JENGKA 21,4,466,50,226,184,460,6,0,FELDA JENGKA 21,UNDI BIASA
33,087/29/05,SK LKTP JENGKA 15,1,317,22,103,182,307,10,0,FELDA JENGKA 15,UNDI BIASA
33,087/29/05,SK LKTP JENGKA 15,2,464,35,224,197,456,8,0,FELDA JENGKA 15,UNDI BIASA
33,087/29/05,SK LKTP JENGKA 15,3,414,41,229,144,414,0,0,FELDA JENGKA 15,UNDI BIASA
33,087/29/05,SK LKTP JENGKA 15,4,422,42,248,130,420,2,0,FELDA JENGKA 15,UNDI BIASA
34,087/29/06,SK LKTP JENGKA 16,1,311,26,104,169,299,12,0,FELDA JENGKA 16,UNDI BIASA
34,087/29/06,SK LKTP JENGKA 16,2,436,47,155,232,434,2,0,FELDA JENGKA 16,UNDI BIASA
34,087/29/06,SK LKTP JENGKA 16,3,399,51,179,165,395,4,0,FELDA JENGKA 16,UNDI BIASA
34,087/29/06,SK LKTP JENGKA 16,4,410,60,187,161,408,2,0,FELDA JENGKA 16,UNDI BIASA
35,087/29/07,SK LKTP JENGKA 20,1,316,15,121,174,310,6,0,FELDA JENGKA 20,UNDI BIASA
