Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TENGKU ZULPURI SHAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHEW MEI FUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR MOHAMED NILAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
19,080/07/03,SM SAINS TENGKU ABDULLAH,2,241,90,99,49,238,3,0,PINTU PADANG,UNDI BIASA
19,080/07/03,SM SAINS TENGKU ABDULLAH,3,240,110,62,66,238,2,0,PINTU PADANG,UNDI BIASA
20,080/07/04,BALAI RAYA KAMPUNG BARU SEMPALIT,1,284,227,46,5,278,6,0,KAMPUNG SEMPALIT,UNDI BIASA
20,080/07/04,BALAI RAYA KAMPUNG BARU SEMPALIT,2,494,422,61,7,490,4,0,KAMPUNG SEMPALIT,UNDI BIASA
20,080/07/04,BALAI RAYA KAMPUNG BARU SEMPALIT,3,473,425,38,5,468,5,0,KAMPUNG SEMPALIT,UNDI BIASA
20,080/07/04,BALAI RAYA KAMPUNG BARU SEMPALIT,4,496,455,36,4,495,1,0,KAMPUNG SEMPALIT,UNDI BIASA
20,080/07/04,BALAI RAYA KAMPUNG BARU SEMPALIT,5,490,463,21,6,490,0,0,KAMPUNG SEMPALIT,UNDI BIASA
21,080/07/05,SJK(C) SEMPALIT,1,247,175,61,5,241,6,0,KAMPUNG BARU SEMPALIT,UNDI BIASA
21,080/07/05,SJK(C) SEMPALIT,2,431,348,73,6,427,4,0,KAMPUNG BARU SEMPALIT,UNDI BIASA
21,080/07/05,SJK(C) SEMPALIT,3,428,345,77,2,424,4,0,KAMPUNG BARU SEMPALIT,UNDI BIASA
21,080/07/05,SJK(C) SEMPALIT,4,428,365,57,3,425,2,1,KAMPUNG BARU SEMPALIT,UNDI BIASA
21,080/07/05,SJK(C) SEMPALIT,5,389,349,38,2,389,0,0,KAMPUNG BARU SEMPALIT,UNDI BIASA
22,080/07/06,SMK SERI RAUB,1,256,134,96,18,248,8,0,SIMPANG KALLANG,UNDI BIASA
22,080/07/06,SMK SERI RAUB,2,506,249,173,79,501,5,0,SIMPANG KALLANG,UNDI BIASA
22,080/07/06,SMK SERI RAUB,3,465,266,124,74,464,1,0,SIMPANG KALLANG,UNDI BIASA
22,080/07/06,SMK SERI RAUB,4,420,270,91,57,418,2,0,SIMPANG KALLANG,UNDI BIASA
22,080/07/06,SMK SERI RAUB,5,412,239,83,88,410,2,0,SIMPANG KALLANG,UNDI BIASA
22,080/07/06,SMK SERI RAUB,6,465,216,113,131,460,5,0,SIMPANG KALLANG,UNDI BIASA
