P.126_P.126/POSTAL VOTE_UNDI POS_1,,POSTAL VOTE,P.126,JELEBU,P.126/POSTAL VOTE,POSTAL VOTE,UNDI POS,UNDI POS,,1,1199
P.126_P.126/EARLY VOTE_126/01/00_1,,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/01/00,UNDI AWAL ,IPD JELEBU KHEMAH 2A,1,29
P.126_P.126/EARLY VOTE_126/02/00_1,,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/02/00,UNDI AWAL ,IPD JELEBU KHEMAH B,1,17
P.126_P.126/EARLY VOTE_126/03/00_1,,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/03/00,UNDI AWAL ,DEWAN PERDANA PULAPOL AIR HITAM,1,375
P.126_P.126/EARLY VOTE_126/03/00_2,,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/03/00,UNDI AWAL ,DEWAN PERDANA PULAPOL AIR HITAM,2,361
P.126_P.126/EARLY VOTE_126/03/00_3,,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/03/00,UNDI AWAL ,DEWAN PERDANA PULAPOL AIR HITAM,3,410
P.126_P.126/EARLY VOTE_126/04/00_1,,EARLY VOTE,P.126,JELEBU,P.126/EARLY VOTE,EARLY VOTE,126/04/00,UNDI AWAL ,RUMAH KELAB IPD JELEBU,1,194
P.126_N.01_126/01/01_1,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/01,KAMPONG SUNGAI BULOH ,SEKOLAH KEBANGSAAN SUNGAI BULOH,1,302
P.126_N.01_126/01/01_2,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/01,KAMPONG SUNGAI BULOH ,SEKOLAH KEBANGSAAN SUNGAI BULOH,2,334
P.126_N.01_126/01/02_1,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/02,DURIAN TIPUS ,SEKOLAH KEBANGSAAN DURIAN TIPUS,1,272
P.126_N.01_126/01/02_2,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/02,DURIAN TIPUS ,SEKOLAH KEBANGSAAN DURIAN TIPUS,2,248
P.126_N.01_126/01/03_1,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/03,SIMPANG DURIAN ,SEKOLAH MENENGAH KEBANGSAAN TERIANG HILIR,1,294
P.126_N.01_126/01/03_2,,NORMAL VOTE,P.126,JELEBU,N.01,CHENNAH,126/01/03,SIMPANG DURIAN ,SEKOLAH MENENGAH KEBANGSAAN TERIANG HILIR,2,534
