Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KAMARULZAMAN KAMDIAS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUSTAFFA BIN DAHARUN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ SALIM SHARIF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
33,127/07/09,SEKOLAH KEBANGSAAN (FELDA) PALONG 2,4.0,442,153,78,207,438,4,0,PALONG 2 ,UNDI BIASA
34,127/07/10,SEKOLAH KEBANGSAAN (FELDA) PALONG 1,1.0,315,49,33,221,303,12,0,PALONG 1 ,UNDI BIASA
34,127/07/10,SEKOLAH KEBANGSAAN (FELDA) PALONG 1,2.0,570,139,66,356,561,9,0,PALONG 1 ,UNDI BIASA
34,127/07/10,SEKOLAH KEBANGSAAN (FELDA) PALONG 1,3.0,521,149,91,271,511,10,0,PALONG 1 ,UNDI BIASA
35,127/08/01,DEWAN ORANG RAMAI BATU KIKIR,1.0,303,88,35,177,300,3,0,KAMPONG BUKIT PERAH ,UNDI BIASA
36,127/08/02,SEKOLAH MENENGAH KEBANGSAAN BATU KIKIR,1.0,271,106,30,131,267,4,0,KAMPONG BATU KIKIR ,UNDI BIASA
36,127/08/02,SEKOLAH MENENGAH KEBANGSAAN BATU KIKIR,2.0,517,235,77,198,510,7,0,KAMPONG BATU KIKIR ,UNDI BIASA
36,127/08/02,SEKOLAH MENENGAH KEBANGSAAN BATU KIKIR,3.0,517,241,79,196,516,1,0,KAMPONG BATU KIKIR ,UNDI BIASA
37,127/08/03,BALAI RAYA KAMPONG LONEK,1.0,454,127,71,250,448,6,0,KAMPONG LONEK ,UNDI BIASA
38,127/08/04,SEKOLAH KEBANGSAAN JEMPOL,1.0,266,27,60,164,251,15,0,KUALA JEMPOL ,UNDI BIASA
38,127/08/04,SEKOLAH KEBANGSAAN JEMPOL,2.0,488,125,128,226,479,9,0,KUALA JEMPOL ,UNDI BIASA
38,127/08/04,SEKOLAH KEBANGSAAN JEMPOL,3.0,440,129,153,155,437,3,0,KUALA JEMPOL ,UNDI BIASA
39,127/08/05,SEKOLAH KEBANGSAAN KUALA KEPIS,1.0,177,50,21,104,175,2,0,KAMPUNG KUALA KEPIS ,UNDI BIASA
40,127/08/06,SEKOLAH MENENGAH KEBANGSAAN DATUK MANSOR,1.0,293,168,7,115,290,3,0,KAMPUNG JAMBU LAPAN ,UNDI BIASA
40,127/08/06,SEKOLAH MENENGAH KEBANGSAAN DATUK MANSOR,2.0,473,316,33,120,469,4,0,KAMPUNG JAMBU LAPAN ,UNDI BIASA
40,127/08/06,SEKOLAH MENENGAH KEBANGSAAN DATUK MANSOR,3.0,448,330,28,88,446,2,0,KAMPUNG JAMBU LAPAN ,UNDI BIASA
40,127/08/06,SEKOLAH MENENGAH KEBANGSAAN DATUK MANSOR,4.0,433,341,25,64,430,3,0,KAMPUNG JAMBU LAPAN ,UNDI BIASA
40,127/08/06,SEKOLAH MENENGAH KEBANGSAAN DATUK MANSOR,5.0,465,360,25,77,462,3,0,KAMPUNG JAMBU LAPAN ,UNDI BIASA
41,127/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) BAHAU,1.0,291,203,2,79,284,7,0,TAMAN ACBE ,UNDI BIASA
41,127/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) BAHAU,2.0,590,498,9,79,586,4,0,TAMAN ACBE ,UNDI BIASA
41,127/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) BAHAU,3.0,542,487,4,50,541,1,0,TAMAN ACBE ,UNDI BIASA
41,127/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) BAHAU,4.0,564,508,8,45,561,3,0,TAMAN ACBE ,UNDI BIASA
41,127/08/07,SEKOLAH JENIS KEBANGSAAN (CINA) BAHAU,5.0,563,520,8,33,561,2,0,TAMAN ACBE ,UNDI BIASA
