Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SABRI BIN AZIT,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SERI JAMIL KHIR BIN BAHAROM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AKHRAMSYAH BIN SANUSI JUNID,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
47,012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",1,304,77,182,36,295,9,0,BONGKOK GURUN,UNDI BIASA
47,012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",2,520,173,240,102,515,5,0,BONGKOK GURUN,UNDI BIASA
47,012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",3,470,174,168,127,469,1,0,BONGKOK GURUN,UNDI BIASA
47,012/22/09,"SEKOLAH KEBANGSAAN BATU EMPAT, GURUN",4,463,210,135,117,462,1,0,BONGKOK GURUN,UNDI BIASA
48,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",1,264,18,74,163,255,9,0,PEKAN GURUN,UNDI BIASA
48,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",2,529,63,155,305,523,5,1,PEKAN GURUN,UNDI BIASA
48,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",3,512,50,82,371,503,9,0,PEKAN GURUN,UNDI BIASA
48,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",4,501,52,92,352,496,5,0,PEKAN GURUN,UNDI BIASA
48,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",5,462,61,85,313,459,3,0,PEKAN GURUN,UNDI BIASA
48,012/22/10,"SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HWA, TAMAN GURUN JAYA",6,487,89,81,317,487,0,0,PEKAN GURUN,UNDI BIASA
