Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SHAMSUL ISKANDAR HAJI MOHD AKIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) TAN SRI HJ MOHD ALI BIN MOHD RUSTAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR KHALID KASSIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
30,137/17/08,SEK. REN. AGAMA (JAIM) BUKIT KATIL,3.0,582,217,280,81,578,4,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
30,137/17/08,SEK. REN. AGAMA (JAIM) BUKIT KATIL,4.0,552,218,256,76,550,2,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
30,137/17/08,SEK. REN. AGAMA (JAIM) BUKIT KATIL,5.0,512,208,231,69,508,2,2,KAMPUNG BUKIT KATIL ,UNDI BIASA
30,137/17/08,SEK. REN. AGAMA (JAIM) BUKIT KATIL,6.0,529,214,257,52,523,6,0,KAMPUNG BUKIT KATIL ,UNDI BIASA
31,137/18/01,SEK. REN. AGAMA (JAIM) PENGKALAN MINYAK,1.0,315,64,213,35,312,3,0,PENGKALAN MINYAK ,UNDI BIASA
31,137/18/01,SEK. REN. AGAMA (JAIM) PENGKALAN MINYAK,2.0,629,207,319,97,623,6,0,PENGKALAN MINYAK ,UNDI BIASA
31,137/18/01,SEK. REN. AGAMA (JAIM) PENGKALAN MINYAK,3.0,603,230,285,87,602,1,0,PENGKALAN MINYAK ,UNDI BIASA
31,137/18/01,SEK. REN. AGAMA (JAIM) PENGKALAN MINYAK,4.0,529,219,221,84,524,5,0,PENGKALAN MINYAK ,UNDI BIASA
31,137/18/01,SEK. REN. AGAMA (JAIM) PENGKALAN MINYAK,5.0,551,219,237,92,548,3,0,PENGKALAN MINYAK ,UNDI BIASA
32,137/18/02,SEKOLAH KEBANGSAAN TAMBAK PAYA,1.0,313,105,184,14,303,10,0,TAMBAK PAYA ,UNDI BIASA
32,137/18/02,SEKOLAH KEBANGSAAN TAMBAK PAYA,2.0,442,209,193,37,439,3,0,TAMBAK PAYA ,UNDI BIASA
32,137/18/02,SEKOLAH KEBANGSAAN TAMBAK PAYA,3.0,387,176,181,29,386,1,0,TAMBAK PAYA ,UNDI BIASA
33,137/18/03,SEKOLAH  KEBANGSAAN AYER MOLEK,1.0,292,90,162,31,283,9,0,KG AYER MOLEK ,UNDI BIASA
33,137/18/03,SEKOLAH  KEBANGSAAN AYER MOLEK,2.0,541,185,246,102,533,8,0,KG AYER MOLEK ,UNDI BIASA
33,137/18/03,SEKOLAH  KEBANGSAAN AYER MOLEK,3.0,495,150,233,109,492,3,0,KG AYER MOLEK ,UNDI BIASA
33,137/18/03,SEKOLAH  KEBANGSAAN AYER MOLEK,4.0,480,175,214,91,480,0,0,KG AYER MOLEK ,UNDI BIASA
34,137/18/04,SEKOLAH KEBANGSAAN BUKIT LINTANG,1.0,284,54,163,54,271,13,0,BUKIT LINTANG ,UNDI BIASA
34,137/18/04,SEKOLAH KEBANGSAAN BUKIT LINTANG,2.0,554,141,265,138,544,10,0,BUKIT LINTANG ,UNDI BIASA
34,137/18/04,SEKOLAH KEBANGSAAN BUKIT LINTANG,3.0,514,130,215,166,511,3,0,BUKIT LINTANG ,UNDI BIASA
34,137/18/04,SEKOLAH KEBANGSAAN BUKIT LINTANG,4.0,496,156,239,98,493,3,0,BUKIT LINTANG ,UNDI BIASA
34,137/18/04,SEKOLAH KEBANGSAAN BUKIT LINTANG,5.0,500,164,217,118,499,1,0,BUKIT LINTANG ,UNDI BIASA
35,137/18/05,SEKOLAH KEBANGSAAN BENDAHARA SERI MAHARAJA,1.0,294,47,201,35,283,11,0,KANDANG ,UNDI BIASA
35,137/18/05,SEKOLAH KEBANGSAAN BENDAHARA SERI MAHARAJA,2.0,614,143,358,105,606,8,0,KANDANG ,UNDI BIASA
35,137/18/05,SEKOLAH KEBANGSAAN BENDAHARA SERI MAHARAJA,3.0,617,167,316,133,616,1,0,KANDANG ,UNDI BIASA
35,137/18/05,SEKOLAH KEBANGSAAN BENDAHARA SERI MAHARAJA,4.0,566,165,275,121,561,5,0,KANDANG ,UNDI BIASA
35,137/18/05,SEKOLAH KEBANGSAAN BENDAHARA SERI MAHARAJA,5.0,540,176,243,118,537,3,0,KANDANG ,UNDI BIASA
35,137/18/05,SEKOLAH KEBANGSAAN BENDAHARA SERI MAHARAJA,6.0,559,169,259,125,553,6,0,KANDANG ,UNDI BIASA
36,137/18/06,SEKOLAH JENIS KEBANGSAAN (CINA) TIANG DUA,1.0,287,139,124,9,272,15,0,TIANG DUA ,UNDI BIASA
36,137/18/06,SEKOLAH JENIS KEBANGSAAN (CINA) TIANG DUA,2.0,358,252,92,14,358,0,0,TIANG DUA ,UNDI BIASA
36,137/18/06,SEKOLAH JENIS KEBANGSAAN (CINA) TIANG DUA,3.0,338,244,75,19,338,0,0,TIANG DUA ,UNDI BIASA
37,137/18/07,SEKOLAH KEBANGSAAN PAYA DALAM,1.0,296,44,194,47,285,11,0,PAYA DALAM ,UNDI BIASA
37,137/18/07,SEKOLAH KEBANGSAAN PAYA DALAM,2.0,568,152,332,76,560,8,0,PAYA DALAM ,UNDI BIASA
37,137/18/07,SEKOLAH KEBANGSAAN PAYA DALAM,3.0,541,181,249,107,537,4,0,PAYA DALAM ,UNDI BIASA
37,137/18/07,SEKOLAH KEBANGSAAN PAYA DALAM,4.0,520,171,257,89,517,3,0,PAYA DALAM ,UNDI BIASA
37,137/18/07,SEKOLAH KEBANGSAAN PAYA DALAM,5.0,500,214,196,86,496,4,0,PAYA DALAM ,UNDI BIASA
37,137/18/07,SEKOLAH KEBANGSAAN PAYA DALAM,6.0,532,214,246,68,528,4,0,PAYA DALAM ,UNDI BIASA
