Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HASSAN BIN SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD TAUFIK BIN HJ YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK AZEEZ RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
56,016/31/24,"SEKOLAH  KEBANGSAAN MALAU, KULIM",3,395,182,68,144,394,1,0,PEKAN MALAU,UNDI BIASA
57,016/31/25,"SEKOLAH  KEBANGSAAN BADANG, KAMPUNG BADANG",1,313,122,33,146,301,12,0,BADANG,UNDI BIASA
57,016/31/25,"SEKOLAH  KEBANGSAAN BADANG, KAMPUNG BADANG",2,594,261,61,263,585,9,0,BADANG,UNDI BIASA
57,016/31/25,"SEKOLAH  KEBANGSAAN BADANG, KAMPUNG BADANG",3,548,265,66,212,543,5,0,BADANG,UNDI BIASA
57,016/31/25,"SEKOLAH  KEBANGSAAN BADANG, KAMPUNG BADANG",4,518,259,65,187,511,7,0,BADANG,UNDI BIASA
58,016/31/26,"SEKOLAH KEBANGSAAN BADANG, KAMPUNG BADANG",5,303,114,24,162,300,3,0,KAMPUNG SIDIM,UNDI BIASA
58,016/31/26,"SEKOLAH KEBANGSAAN BADANG, KAMPUNG BADANG",6,456,181,66,205,452,4,0,KAMPUNG SIDIM,UNDI BIASA
59,016/32/01,"SEKOLAH KEBANGSAAN TELOI KANAN, FELDA TELOI KANAN",1,303,61,20,201,282,20,1,FELDA TELOI KANAN,UNDI BIASA
59,016/32/01,"SEKOLAH KEBANGSAAN TELOI KANAN, FELDA TELOI KANAN",2,620,161,77,368,606,14,0,FELDA TELOI KANAN,UNDI BIASA
59,016/32/01,"SEKOLAH KEBANGSAAN TELOI KANAN, FELDA TELOI KANAN",3,565,207,115,239,561,4,0,FELDA TELOI KANAN,UNDI BIASA
59,016/32/01,"SEKOLAH KEBANGSAAN TELOI KANAN, FELDA TELOI KANAN",4,531,195,92,241,528,2,1,FELDA TELOI KANAN,UNDI BIASA
60,016/32/02,"SEKOLAH KEBANGSAAN MOHD ARIFF ABDULLAH, TELOI, KAMPUNG GUAR CEMPEDAK",1,318,163,7,141,311,7,0,KAMPUNG GUAR CHEMPEDAK,UNDI BIASA
60,016/32/02,"SEKOLAH KEBANGSAAN MOHD ARIFF ABDULLAH, TELOI, KAMPUNG GUAR CEMPEDAK",2,621,435,28,156,619,2,0,KAMPUNG GUAR CHEMPEDAK,UNDI BIASA
60,016/32/02,"SEKOLAH KEBANGSAAN MOHD ARIFF ABDULLAH, TELOI, KAMPUNG GUAR CEMPEDAK",3,573,410,30,124,564,9,0,KAMPUNG GUAR CHEMPEDAK,UNDI BIASA
61,016/32/03,TABIKA KEMAS KAMPUNG PADANG KULIM,1,314,122,22,166,310,4,0,PADANG KULIM,UNDI BIASA
61,016/32/03,TABIKA KEMAS KAMPUNG PADANG KULIM,2,527,264,62,197,523,4,0,PADANG KULIM,UNDI BIASA
62,016/32/04,"DEWAN MAJLIS DAERAH BALING, KUALA KETIL",1,312,41,70,191,302,10,0,PEKAN BARU KUALA KETIL,UNDI BIASA
62,016/32/04,"DEWAN MAJLIS DAERAH BALING, KUALA KETIL",2,550,133,176,239,548,2,0,PEKAN BARU KUALA KETIL,UNDI BIASA
63,016/32/05,"SEKOLAH  JENIS KEBANGSAAN  (CINA) KUALA KETIL, KUALA KETIL",1,279,30,95,140,265,14,0,PEKAN LAMA KUALA KETIL,UNDI BIASA
63,016/32/05,"SEKOLAH  JENIS KEBANGSAAN  (CINA) KUALA KETIL, KUALA KETIL",2,524,88,175,251,514,10,0,PEKAN LAMA KUALA KETIL,UNDI BIASA
63,016/32/05,"SEKOLAH  JENIS KEBANGSAAN  (CINA) KUALA KETIL, KUALA KETIL",3,490,118,173,194,485,5,0,PEKAN LAMA KUALA KETIL,UNDI BIASA
63,016/32/05,"SEKOLAH  JENIS KEBANGSAAN  (CINA) KUALA KETIL, KUALA KETIL",4,459,124,200,131,455,4,0,PEKAN LAMA KUALA KETIL,UNDI BIASA
63,016/32/05,"SEKOLAH  JENIS KEBANGSAAN  (CINA) KUALA KETIL, KUALA KETIL",5,447,132,158,155,445,2,0,PEKAN LAMA KUALA KETIL,UNDI BIASA
64,016/32/06,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PUTERI, KUALA KETIL",1,300,7,177,111,295,5,0,TAMAN BATU PEKAKA,UNDI BIASA
64,016/32/06,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PUTERI, KUALA KETIL",2,398,27,205,160,392,6,0,TAMAN BATU PEKAKA,UNDI BIASA
64,016/32/06,"SEKOLAH MENENGAH KEBANGSAAN TANJUNG PUTERI, KUALA KETIL",3,364,22,207,135,364,0,0,TAMAN BATU PEKAKA,UNDI BIASA
65,016/32/07,"SEKOLAH KEBANGSAAN BATU PEKAKA, KUALA KETIL",1,296,57,71,159,287,9,0,BATU PEKAKA,UNDI BIASA
65,016/32/07,"SEKOLAH KEBANGSAAN BATU PEKAKA, KUALA KETIL",2,612,153,168,284,605,7,0,BATU PEKAKA,UNDI BIASA
65,016/32/07,"SEKOLAH KEBANGSAAN BATU PEKAKA, KUALA KETIL",3,557,219,154,181,554,3,0,BATU PEKAKA,UNDI BIASA
66,016/32/08,"TABIKA KEMAS KAMPUNG THYE SENG, KUALA KETIL",1,490,86,122,273,481,9,0,KAMPUNG THYE SENG,UNDI BIASA
67,016/32/09,"SEKOLAH KEBANGSAAN SERI JEMERLI, LADANG KUALA KETIL",1,301,37,53,203,293,8,0,KUALA KULI,UNDI BIASA
67,016/32/09,"SEKOLAH KEBANGSAAN SERI JEMERLI, LADANG KUALA KETIL",2,398,87,69,241,397,1,0,KUALA KULI,UNDI BIASA
67,016/32/09,"SEKOLAH KEBANGSAAN SERI JEMERLI, LADANG KUALA KETIL",3,366,84,86,189,359,7,0,KUALA KULI,UNDI BIASA
68,016/32/10,"SEKOLAH KEBANGSAAN KUALA KETIL, KUALA KETIL",1,299,59,58,179,296,3,0,KAMPUNG JAWA,UNDI BIASA
68,016/32/10,"SEKOLAH KEBANGSAAN KUALA KETIL, KUALA KETIL",2,390,127,64,196,387,3,0,KAMPUNG JAWA,UNDI BIASA
69,016/32/11,"TABIKA PERPADUAN TAMAN SERI WANGI, KUALA KETIL",1,325,160,18,140,318,7,0,PADANG GEH,UNDI BIASA
69,016/32/11,"TABIKA PERPADUAN TAMAN SERI WANGI, KUALA KETIL",2,445,191,78,173,442,3,0,PADANG GEH,UNDI BIASA
69,016/32/11,"TABIKA PERPADUAN TAMAN SERI WANGI, KUALA KETIL",3,396,207,71,117,395,1,0,PADANG GEH,UNDI BIASA
70,016/32/12,"SEKOLAH  KEBANGSAAN KUALA MERAH, KAMPUNG KUALA MERAH",1,313,112,31,167,310,3,0,KUALA MERAH,UNDI BIASA
70,016/32/12,"SEKOLAH  KEBANGSAAN KUALA MERAH, KAMPUNG KUALA MERAH",2,310,162,42,105,309,1,0,KUALA MERAH,UNDI BIASA
71,016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",1,296,221,7,56,284,12,0,PARIT PANJANG,UNDI BIASA
71,016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",2,549,394,31,118,543,6,0,PARIT PANJANG,UNDI BIASA
71,016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",3,540,414,31,92,537,3,0,PARIT PANJANG,UNDI BIASA
71,016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",4,502,380,29,90,499,3,0,PARIT PANJANG,UNDI BIASA
71,016/32/13,"SEKOLAH MENENGAH KEBANGSAAN  PARIT PANJANG, PARIT PANJANG",5,505,398,18,88,504,1,0,PARIT PANJANG,UNDI BIASA
72,016/32/14,"SEKOLAH KEBANGSAAN TEMBAK, JALAN PARIT PANJANG",1,306,206,17,61,284,22,0,KAMPUNG TEMBAK,UNDI BIASA
72,016/32/14,"SEKOLAH KEBANGSAAN TEMBAK, JALAN PARIT PANJANG",2,594,417,31,139,587,7,0,KAMPUNG TEMBAK,UNDI BIASA
72,016/32/14,"SEKOLAH KEBANGSAAN TEMBAK, JALAN PARIT PANJANG",3,539,406,42,90,538,1,0,KAMPUNG TEMBAK,UNDI BIASA
72,016/32/14,"SEKOLAH KEBANGSAAN TEMBAK, JALAN PARIT PANJANG",4,541,429,29,81,539,2,0,KAMPUNG TEMBAK,UNDI BIASA
73,016/32/15,"SEKOLAH  KEBANGSAAN PAYA BESAR PAYA BESAR, KAMPUNG",1,312,181,6,118,305,7,0,PAYA BESAR,UNDI BIASA
73,016/32/15,"SEKOLAH  KEBANGSAAN PAYA BESAR PAYA BESAR, KAMPUNG",2,586,369,28,187,584,2,0,PAYA BESAR,UNDI BIASA
73,016/32/15,"SEKOLAH  KEBANGSAAN PAYA BESAR PAYA BESAR, KAMPUNG",3,552,355,24,172,551,1,0,PAYA BESAR,UNDI BIASA
74,016/32/16,"SEKOLAH  KEBANGSAAN KUALA SAMAK, KUALA KETIL",1,329,204,13,107,324,5,0,KUALA SAMAK,UNDI BIASA
74,016/32/16,"SEKOLAH  KEBANGSAAN KUALA SAMAK, KUALA KETIL",2,417,256,12,148,416,0,1,KUALA SAMAK,UNDI BIASA
74,016/32/16,"SEKOLAH  KEBANGSAAN KUALA SAMAK, KUALA KETIL",3,422,273,17,131,421,1,0,KUALA SAMAK,UNDI BIASA
75,016/32/17,"SEKOLAH  KEBANGSAAN BINJUL DALAM BINJUL DALAM, KAMPUNG",1,317,158,25,130,313,4,0,BINJOL DALAM,UNDI BIASA
75,016/32/17,"SEKOLAH  KEBANGSAAN BINJUL DALAM BINJUL DALAM, KAMPUNG",2,332,187,23,120,330,2,0,BINJOL DALAM,UNDI BIASA
75,016/32/17,"SEKOLAH  KEBANGSAAN BINJUL DALAM BINJUL DALAM, KAMPUNG",3,304,171,30,98,299,5,0,BINJOL DALAM,UNDI BIASA
76,016/32/18,"SEKOLAH KEBANGSAAN TAWAR, JALAN BALING",1,291,74,30,183,287,4,0,KAMPUNG TAWAR,UNDI BIASA
76,016/32/18,"SEKOLAH KEBANGSAAN TAWAR, JALAN BALING",2,323,111,28,184,323,0,0,KAMPUNG TAWAR,UNDI BIASA
76,016/32/18,"SEKOLAH KEBANGSAAN TAWAR, JALAN BALING",3,300,116,34,147,297,3,0,KAMPUNG TAWAR,UNDI BIASA
77,016/32/19,"SEKOLAH  JENIS KEBANGSAAN  (CINA) KONG MIN, TAWAR",1,284,20,70,189,279,5,0,PEKAN TAWAR,UNDI BIASA
77,016/32/19,"SEKOLAH  JENIS KEBANGSAAN  (CINA) KONG MIN, TAWAR",2,528,96,158,268,522,6,0,PEKAN TAWAR,UNDI BIASA
78,016/32/20,"SEKOLAH KEBANGSAAN BINJUL, BINJUL",1,303,71,26,196,293,10,0,BINJAL LUAR,UNDI BIASA
78,016/32/20,"SEKOLAH KEBANGSAAN BINJUL, BINJUL",2,350,110,56,180,346,4,0,BINJAL LUAR,UNDI BIASA
78,016/32/20,"SEKOLAH KEBANGSAAN BINJUL, BINJUL",3,332,158,94,63,315,15,2,BINJAL LUAR,UNDI BIASA
79,016/32/21,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG MALAKOFF, KUALA KETIL",1,299,22,81,183,286,13,0,LADANG MALAKOFF,UNDI BIASA
79,016/32/21,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG MALAKOFF, KUALA KETIL",2,469,86,98,278,462,7,0,LADANG MALAKOFF,UNDI BIASA
80,016/32/22,"SEKOLAH  KEBANGSAAN KAMPUNG SELARONG, KAMPUNG SELARONG",1,308,136,62,104,302,6,0,KEJAI,UNDI BIASA
80,016/32/22,"SEKOLAH  KEBANGSAAN KAMPUNG SELARONG, KAMPUNG SELARONG",2,626,277,140,203,620,6,0,KEJAI,UNDI BIASA
80,016/32/22,"SEKOLAH  KEBANGSAAN KAMPUNG SELARONG, KAMPUNG SELARONG",3,578,306,127,141,574,3,1,KEJAI,UNDI BIASA
80,016/32/22,"SEKOLAH  KEBANGSAAN KAMPUNG SELARONG, KAMPUNG SELARONG",4,553,334,81,136,551,2,0,KEJAI,UNDI BIASA
81,016/32/23,"SEKOLAH KEBANGSAAN SERI INAS, KAMPUNG BAKAI",1,320,58,46,192,296,24,0,KAMPUNG BAKAI,UNDI BIASA
81,016/32/23,"SEKOLAH KEBANGSAAN SERI INAS, KAMPUNG BAKAI",2,305,66,68,167,301,4,0,KAMPUNG BAKAI,UNDI BIASA
82,016/32/24,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG PELAM, KULIM",1,486,72,131,273,476,10,0,PELAM,UNDI BIASA
