Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HASSAN BIN SAAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MOHD TAUFIK BIN HJ YAACOB,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK AZEEZ RAHIM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
10,016/30/06,"SEKOLAH KEBANGSAAN SIONG, KAMPUNG LALANG",3,407,192,55,158,405,2,0,KAMPUNG LALANG,UNDI BIASA
10,016/30/06,"SEKOLAH KEBANGSAAN SIONG, KAMPUNG LALANG",4,403,184,53,165,402,1,0,KAMPUNG LALANG,UNDI BIASA
11,016/30/07,"SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG LALANG, KAMPUNG LALANG",1,321,147,27,142,316,5,0,KAMPUNG LUAR,UNDI BIASA
11,016/30/07,"SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG LALANG, KAMPUNG LALANG",2,390,197,52,132,381,9,0,KAMPUNG LUAR,UNDI BIASA
11,016/30/07,"SEKOLAH JENIS KEBANGSAAN (CINA) KAMPUNG LALANG, KAMPUNG LALANG",3,383,224,57,99,380,3,0,KAMPUNG LUAR,UNDI BIASA
12,016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",1,312,109,21,170,300,12,0,KAMPUNG BANDAR,UNDI BIASA
12,016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",2,471,221,37,208,466,5,0,KAMPUNG BANDAR,UNDI BIASA
12,016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",3,408,208,43,149,400,8,0,KAMPUNG BANDAR,UNDI BIASA
12,016/30/08,"SEKOLAH KEBANGSAAN KAMPUNG BANDAR, BALING",4,398,188,44,165,397,1,0,KAMPUNG BANDAR,UNDI BIASA
13,016/30/09,"SEKOLAH KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",1,332,91,20,207,318,14,0,TANDOP,UNDI BIASA
13,016/30/09,"SEKOLAH KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",2,480,167,44,251,462,18,0,TANDOP,UNDI BIASA
13,016/30/09,"SEKOLAH KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",3,436,188,28,214,430,6,0,TANDOP,UNDI BIASA
14,016/30/10,"MAKTAB MAHMUD BALING, JALAN WENG",1,308,44,36,223,303,5,0,BONGOR MESJID,UNDI BIASA
14,016/30/10,"MAKTAB MAHMUD BALING, JALAN WENG",2,471,125,98,242,465,6,0,BONGOR MESJID,UNDI BIASA
14,016/30/10,"MAKTAB MAHMUD BALING, JALAN WENG",3,422,131,95,187,413,9,0,BONGOR MESJID,UNDI BIASA
15,016/30/11,"SEKOLAH  KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",4,318,53,46,212,311,7,0,BONGOR SEKOLAH,UNDI BIASA
15,016/30/11,"SEKOLAH  KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",5,306,85,52,165,302,4,0,BONGOR SEKOLAH,UNDI BIASA
15,016/30/11,"SEKOLAH  KEBANGSAAN PENGHULU ABU BAKAR, JALAN WENG",6,295,97,60,135,292,2,1,BONGOR SEKOLAH,UNDI BIASA
16,016/30/12,"DEWAN TABIKA KAMPUNG BAWAH GUNUNG, BALING",1,320,28,36,233,297,23,0,KAMPUNG HAJI ABBAS,UNDI BIASA
16,016/30/12,"DEWAN TABIKA KAMPUNG BAWAH GUNUNG, BALING",2,307,58,57,192,307,0,0,KAMPUNG HAJI ABBAS,UNDI BIASA
16,016/30/12,"DEWAN TABIKA KAMPUNG BAWAH GUNUNG, BALING",3,316,74,84,155,313,3,0,KAMPUNG HAJI ABBAS,UNDI BIASA
17,016/30/13,"DEWAN ORANG RAMAI KAMPUNG RAMBONG, BALING",1,321,164,25,121,310,11,0,RAMBONG BALING,UNDI BIASA
17,016/30/13,"DEWAN ORANG RAMAI KAMPUNG RAMBONG, BALING",2,454,272,46,130,448,5,1,RAMBONG BALING,UNDI BIASA
