Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' JOHARI ABDUL USTAZ SHARIR LONG,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SHAHANIM BINTI MOHAMAD YUSOFF,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) P. SRITHARAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
41,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",5,587,333,90,160,2,585,2,0,TAMAN RIA JAYA,UNDI BIASA
41,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",6,551,330,84,134,1,549,2,0,TAMAN RIA JAYA,UNDI BIASA
41,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",7,555,364,73,113,1,551,4,0,TAMAN RIA JAYA,UNDI BIASA
41,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",8,538,364,59,107,3,533,5,0,TAMAN RIA JAYA,UNDI BIASA
41,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",9,527,353,64,104,1,522,3,2,TAMAN RIA JAYA,UNDI BIASA
41,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",10,501,334,78,83,2,497,2,2,TAMAN RIA JAYA,UNDI BIASA
41,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",11,486,307,90,87,0,484,2,0,TAMAN RIA JAYA,UNDI BIASA
41,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",12,500,312,100,84,0,496,4,0,TAMAN RIA JAYA,UNDI BIASA
41,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",13,497,277,131,89,0,497,0,0,TAMAN RIA JAYA,UNDI BIASA
41,015/29/01,"SEKOLAH MENENGAH KEBANGSAAN TAMAN RIA JAYA, SUNGAI PETANI",14,532,260,166,105,0,531,1,0,TAMAN RIA JAYA,UNDI BIASA
42,015/29/02,"SEKOLAH KEBANGSAAN SUNGAI PETANI, SUNGAI PETANI",1,245,199,7,38,1,245,0,0,TAMAN MUTIARA,UNDI BIASA
42,015/29/02,"SEKOLAH KEBANGSAAN SUNGAI PETANI, SUNGAI PETANI",2,550,469,14,61,1,545,5,0,TAMAN MUTIARA,UNDI BIASA
