Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' ABD AZIZ HJ. SHEIKH FADZIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SAIFUDDIN NASUTION ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ HASSAN RAZAK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
24,018/35/21,"SEKOLAH KEBANGSAAN JUNJONG, JUNJONG",3,346,44,271,30,345,1,0,JUNJONG,UNDI BIASA
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",1,287,171,40,65,276,11,0,PADANG PENYANGGA,UNDI BIASA
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",2,556,279,106,162,547,8,1,PADANG PENYANGGA,UNDI BIASA
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",3,529,186,124,214,524,5,0,PADANG PENYANGGA,UNDI BIASA
25,018/35/22,"SEKOLAH JENIS KEBANGSAAN (CINA) SIN MIN, JUNJONG",4,506,175,130,181,486,20,0,PADANG PENYANGGA,UNDI BIASA
26,018/35/23,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SOMME, SERDANG",1,284,151,69,63,283,1,0,DURIAN BURONG,UNDI BIASA
26,018/35/23,"SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SOMME, SERDANG",2,428,162,128,138,428,0,0,DURIAN BURONG,UNDI BIASA
27,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",1,308,150,42,107,299,9,0,SUNGAI BATU,UNDI BIASA
27,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",2,342,143,72,126,341,1,0,SUNGAI BATU,UNDI BIASA
27,018/36/01,"SEKOLAH KEBANGSAAN SUNGAI BATU, SUNGAI BATU",3,334,109,86,137,332,2,0,SUNGAI BATU,UNDI BIASA
28,018/36/02,"SEKOLAH KEBANGSAAN SUNGAI TAKA, KAMPUNG SUNGAI TAKA",1,287,147,52,81,280,7,0,SUNGAI TAKA,UNDI BIASA
